time,pm10,pm2.5
2016-04-01:01,50,15
2016-04-01:02,51,23
2016-04-01:03,50,18
2016-04-01:04,46,19
2016-04-01:05,53,24
2016-04-01:06,71,33
2016-04-01:07,71,29
2016-04-01:08,77,53
2016-04-01:09,85,38
2016-04-01:10,85,31
2016-04-01:11,64,19
2016-04-01:12,54,12
2016-04-01:13,51,12
2016-04-01:14,40,11
2016-04-01:15,55,20
2016-04-01:16,94,32
2016-04-01:17,98,24
2016-04-01:18,76,24
2016-04-01:19,67,22
2016-04-01:20,68,20
2016-04-01:21,65,25
2016-04-01:22,64,27
2016-04-01:23,66,25
2016-04-01:24,60,31
2016-04-02:01,57,21
2016-04-02:02,61,39
2016-04-02:03,66,28
2016-04-02:04,58,24
2016-04-02:05,60,25
2016-04-02:06,59,23
2016-04-02:07,58,27
2016-04-02:08,60,22
2016-04-02:09,65,25
2016-04-02:10,73,30
2016-04-02:11,72,27
2016-04-02:12,74,27
2016-04-02:13,65,30
2016-04-02:14,73,38
2016-04-02:15,61,29
2016-04-02:16,69,31
2016-04-02:17,90,38
2016-04-02:18,84,35
2016-04-02:19,76,29
2016-04-02:20,66,30
2016-04-02:21,72,45
2016-04-02:22,84,55
2016-04-02:23,90,61
2016-04-02:24,93,54
2016-04-03:01,88,48
2016-04-03:02,70,27
2016-04-03:03,58,29
2016-04-03:04,60,33
2016-04-03:05,72,41
2016-04-03:06,69,39
2016-04-03:07,74,42
2016-04-03:08,63,40
2016-04-03:09,59,32
2016-04-03:10,50,27
2016-04-03:11,47,26
2016-04-03:12,41,21
2016-04-03:13,49,26
2016-04-03:14,29,18
2016-04-03:15,40,23
2016-04-03:16,36,16
2016-04-03:17,13,3
2016-04-03:18,20,9
2016-04-03:19,15,7
2016-04-03:20,17,8
2016-04-03:21,8,19
2016-04-03:22,19,16
2016-04-03:23,23,8
2016-04-03:24,21,12
2016-04-04:01,15,13
2016-04-04:02,23,8
2016-04-04:03,25,14
2016-04-04:04,34,18
2016-04-04:05,34,20
2016-04-04:06,33,13
2016-04-04:07,24,5
2016-04-04:08,26,9
2016-04-04:09,27,15
2016-04-04:10,24,9
2016-04-04:11,21,2
2016-04-04:12,18,4
2016-04-04:13,14,1
2016-04-04:14,23,9
2016-04-04:15,21,4
2016-04-04:16,25,8
2016-04-04:17,34,12
2016-04-04:18,32,11
2016-04-04:19,39,12
2016-04-04:20,34,11
2016-04-04:21,31,15
2016-04-04:22,30,11
2016-04-04:23,37,8
2016-04-04:24,34,19
2016-04-05:01,33,16
2016-04-05:02,39,15
2016-04-05:03,40,14
2016-04-05:04,37,15
2016-04-05:05,42,19
2016-04-05:06,52,19
2016-04-05:07,50,21
2016-04-05:08,52,18
2016-04-05:09,53,19
2016-04-05:10,60,17
2016-04-05:11,60,16
2016-04-05:12,59,14
2016-04-05:13,56,21
2016-04-05:14,61,15
2016-04-05:15,55,13
2016-04-05:16,56,16
2016-04-05:17,59,19
2016-04-05:18,65,29
2016-04-05:19,71,28
2016-04-05:20,85,25
2016-04-05:21,73,33
2016-04-05:22,75,30
2016-04-05:23,71,34
2016-04-05:24,63,23
2016-04-06:01,66,23
2016-04-06:02,78,29
2016-04-06:03,75,30
2016-04-06:04,64,21
2016-04-06:05,60,21
2016-04-06:06,56,23
2016-04-06:07,58,25
2016-04-06:08,60,24
2016-04-06:09,62,27
2016-04-06:10,66,13
2016-04-06:11,65,26
2016-04-06:12,71,29
2016-04-06:13,72,28
2016-04-06:14,58,25
2016-04-06:15,57,25
2016-04-06:16,63,26
2016-04-06:17,69,21
2016-04-06:18,61,24
2016-04-06:19,64,28
2016-04-06:20,68,33
2016-04-06:21,,51
2016-04-06:22,,67
2016-04-06:23,,57
2016-04-06:24,61,31
2016-04-07:01,46,24
2016-04-07:02,,26
2016-04-07:03,51,18
2016-04-07:04,43,21
2016-04-07:05,26,12
2016-04-07:06,30,19
2016-04-07:07,37,14
2016-04-07:08,23,16
2016-04-07:09,29,20
2016-04-07:10,35,18
2016-04-07:11,42,15
2016-04-07:12,31,17
2016-04-07:13,22,22
2016-04-07:14,49,29
2016-04-07:15,57,26
2016-04-07:16,58,22
2016-04-07:17,52,21
2016-04-07:18,40,18
2016-04-07:19,33,16
2016-04-07:20,31,14
2016-04-07:21,28,14
2016-04-07:22,26,17
2016-04-07:23,26,16
2016-04-07:24,26,16
2016-04-08:01,24,15
2016-04-08:02,44,18
2016-04-08:03,50,25
2016-04-08:04,47,24
2016-04-08:05,42,19
2016-04-08:06,55,30
2016-04-08:07,47,24
2016-04-08:08,46,24
2016-04-08:09,53,30
2016-04-08:10,59,21
2016-04-08:11,56,22
2016-04-08:12,70,24
2016-04-08:13,,
2016-04-08:14,,
2016-04-08:15,,
2016-04-08:16,151,62
2016-04-08:17,151,55
2016-04-08:18,139,56
2016-04-08:19,111,44
2016-04-08:20,102,41
2016-04-08:21,88,44
2016-04-08:22,86,43
2016-04-08:23,99,46
2016-04-08:24,101,41
2016-04-09:01,105,33
2016-04-09:02,102,32
2016-04-09:03,90,36
2016-04-09:04,103,38
2016-04-09:05,105,37
2016-04-09:06,99,35
2016-04-09:07,95,35
2016-04-09:08,93,35
2016-04-09:09,101,39
2016-04-09:10,115,44
2016-04-09:11,138,41
2016-04-09:12,143,40
2016-04-09:13,143,47
2016-04-09:14,144,42
2016-04-09:15,141,55
2016-04-09:16,164,64
2016-04-09:17,163,62
2016-04-09:18,163,48
2016-04-09:19,122,54
2016-04-09:20,114,64
2016-04-09:21,111,54
2016-04-09:22,104,54
2016-04-09:23,92,47
2016-04-09:24,89,38
2016-04-10:01,107,38
2016-04-10:02,139,37
2016-04-10:03,144,38
2016-04-10:04,145,40
2016-04-10:05,124,52
2016-04-10:06,132,62
2016-04-10:07,145,55
2016-04-10:08,143,52
2016-04-10:09,187,50
2016-04-10:10,165,60
2016-04-10:11,169,59
2016-04-10:12,162,69
2016-04-10:13,153,55
2016-04-10:14,160,51
2016-04-10:15,181,58
2016-04-10:16,162,97
2016-04-10:17,138,87
2016-04-10:18,132,74
2016-04-10:19,135,75
2016-04-10:20,124,67
2016-04-10:21,155,75
2016-04-10:22,142,63
2016-04-10:23,136,56
2016-04-10:24,90,40
2016-04-11:01,68,31
2016-04-11:02,66,24
2016-04-11:03,59,23
2016-04-11:04,54,22
2016-04-11:05,51,24
2016-04-11:06,53,22
2016-04-11:07,45,16
2016-04-11:08,41,16
2016-04-11:09,30,15
2016-04-11:10,23,
2016-04-11:11,31,8
2016-04-11:12,46,12
2016-04-11:13,49,13
2016-04-11:14,45,15
2016-04-11:15,47,11
2016-04-11:16,38,15
2016-04-11:17,43,16
2016-04-11:18,46,20
2016-04-11:19,50,15
2016-04-11:20,50,25
2016-04-11:21,47,17
2016-04-11:22,50,28
2016-04-11:23,53,28
2016-04-11:24,59,25
2016-04-12:01,64,24
2016-04-12:02,66,24
2016-04-12:03,52,28
2016-04-12:04,67,26
2016-04-12:05,78,29
2016-04-12:06,51,21
2016-04-12:07,44,21
2016-04-12:08,45,20
2016-04-12:09,42,17
2016-04-12:10,46,17
2016-04-12:11,49,21
2016-04-12:12,48,19
2016-04-12:13,57,18
2016-04-12:14,56,25
2016-04-12:15,59,24
2016-04-12:16,70,32
2016-04-12:17,83,36
2016-04-12:18,67,16
2016-04-12:19,67,24
2016-04-12:20,56,22
2016-04-12:21,56,31
2016-04-12:22,51,28
2016-04-12:23,46,29
2016-04-12:24,55,26
2016-04-13:01,51,29
2016-04-13:02,57,30
2016-04-13:03,62,29
2016-04-13:04,58,35
2016-04-13:05,59,27
2016-04-13:06,52,31
2016-04-13:07,56,25
2016-04-13:08,62,34
2016-04-13:09,57,26
2016-04-13:10,48,28
2016-04-13:11,44,26
2016-04-13:12,38,22
2016-04-13:13,36,24
2016-04-13:14,40,17
2016-04-13:15,45,23
2016-04-13:16,51,26
2016-04-13:17,51,32
2016-04-13:18,48,25
2016-04-13:19,60,32
2016-04-13:20,78,39
2016-04-13:21,83,32
2016-04-13:22,68,45
2016-04-13:23,67,48
2016-04-13:24,66,37
2016-04-14:01,86,38
2016-04-14:02,76,28
2016-04-14:03,36,12
2016-04-14:04,35,11
2016-04-14:05,43,21
2016-04-14:06,42,18
2016-04-14:07,50,18
2016-04-14:08,51,21
2016-04-14:09,47,27
2016-04-14:10,50,25
2016-04-14:11,51,25
2016-04-14:12,44,24
2016-04-14:13,40,21
2016-04-14:14,53,24
2016-04-14:15,65,30
2016-04-14:16,70,31
2016-04-14:17,65,21
2016-04-14:18,53,20
2016-04-14:19,47,21
2016-04-14:20,50,19
2016-04-14:21,47,13
2016-04-14:22,43,24
2016-04-14:23,52,22
2016-04-14:24,55,26
2016-04-15:01,58,28
2016-04-15:02,62,31
2016-04-15:03,59,31
2016-04-15:04,63,30
2016-04-15:05,64,31
2016-04-15:06,58,29
2016-04-15:07,48,24
2016-04-15:08,38,14
2016-04-15:09,36,18
2016-04-15:10,38,12
2016-04-15:11,53,14
2016-04-15:12,49,18
2016-04-15:13,54,17
2016-04-15:14,50,29
2016-04-15:15,50,18
2016-04-15:16,59,27
2016-04-15:17,64,26
2016-04-15:18,58,24
2016-04-15:19,55,23
2016-04-15:20,67,32
2016-04-15:21,62,26
2016-04-15:22,50,28
2016-04-15:23,55,23
2016-04-15:24,51,26
2016-04-16:01,46,24
2016-04-16:02,55,30
2016-04-16:03,55,29
2016-04-16:04,59,27
2016-04-16:05,63,34
2016-04-16:06,61,30
2016-04-16:07,57,32
2016-04-16:08,58,25
2016-04-16:09,58,27
2016-04-16:10,45,12
2016-04-16:11,53,22
2016-04-16:12,50,21
2016-04-16:13,57,20
2016-04-16:14,64,25
2016-04-16:15,63,30
2016-04-16:16,64,24
2016-04-16:17,63,31
2016-04-16:18,79,21
2016-04-16:19,40,15
2016-04-16:20,46,21
2016-04-16:21,29,21
2016-04-16:22,24,14
2016-04-16:23,18,10
2016-04-16:24,14,11
2016-04-17:01,8,6
2016-04-17:02,11,10
2016-04-17:03,12,5
2016-04-17:04,4,1
2016-04-17:05,5,5
2016-04-17:06,9,4
2016-04-17:07,6,6
2016-04-17:08,10,5
2016-04-17:09,8,5
2016-04-17:10,14,7
2016-04-17:11,12,6
2016-04-17:12,58,19
2016-04-17:13,135,36
2016-04-17:14,149,33
2016-04-17:15,102,27
2016-04-17:16,72,22
2016-04-17:17,53,15
2016-04-17:18,55,13
2016-04-17:19,55,18
2016-04-17:20,57,22
2016-04-17:21,59,11
2016-04-17:22,54,16
2016-04-17:23,52,16
2016-04-17:24,43,10
2016-04-18:01,44,17
2016-04-18:02,44,8
2016-04-18:03,42,14
2016-04-18:04,48,12
2016-04-18:05,45,19
2016-04-18:06,55,10
2016-04-18:07,58,15
2016-04-18:08,55,10
2016-04-18:09,58,17
2016-04-18:10,85,14
2016-04-18:11,,
2016-04-18:12,,
2016-04-18:13,84,17
2016-04-18:14,48,16
2016-04-18:15,46,21
2016-04-18:16,51,19
2016-04-18:17,104,45
2016-04-18:18,97,33
2016-04-18:19,56,26
2016-04-18:20,67,25
2016-04-18:21,68,27
2016-04-18:22,65,37
2016-04-18:23,59,33
2016-04-18:24,41,26
2016-04-19:01,45,16
2016-04-19:02,40,19
2016-04-19:03,36,17
2016-04-19:04,35,17
2016-04-19:05,34,17
2016-04-19:06,34,15
2016-04-19:07,28,14
2016-04-19:08,30,9
2016-04-19:09,30,14
2016-04-19:10,42,14
2016-04-19:11,33,11
2016-04-19:12,47,12
2016-04-19:13,42,12
2016-04-19:14,48,17
2016-04-19:15,51,16
2016-04-19:16,49,21
2016-04-19:17,48,21
2016-04-19:18,68,24
2016-04-19:19,68,28
2016-04-19:20,63,27
2016-04-19:21,53,32
2016-04-19:22,69,29
2016-04-19:23,73,28
2016-04-19:24,70,28
2016-04-20:01,70,30
2016-04-20:02,66,22
2016-04-20:03,65,25
2016-04-20:04,55,28
2016-04-20:05,58,23
2016-04-20:06,54,23
2016-04-20:07,58,29
2016-04-20:08,61,26
2016-04-20:09,62,22
2016-04-20:10,55,25
2016-04-20:11,45,18
2016-04-20:12,55,19
2016-04-20:13,62,23
2016-04-20:14,68,30
2016-04-20:15,80,32
2016-04-20:16,85,37
2016-04-20:17,82,26
2016-04-20:18,54,21
2016-04-20:19,74,25
2016-04-20:20,81,31
2016-04-20:21,75,43
2016-04-20:22,75,45
2016-04-20:23,76,43
2016-04-20:24,62,32
2016-04-21:01,65,28
2016-04-21:02,55,18
2016-04-21:03,38,11
2016-04-21:04,20,6
2016-04-21:05,24,14
2016-04-21:06,21,11
2016-04-21:07,19,9
2016-04-21:08,16,7
2016-04-21:09,12,8
2016-04-21:10,13,7
2016-04-21:11,13,8
2016-04-21:12,18,11
2016-04-21:13,15,10
2016-04-21:14,23,18
2016-04-21:15,30,15
2016-04-21:16,24,18
2016-04-21:17,19,11
2016-04-21:18,22,13
2016-04-21:19,28,16
2016-04-21:20,28,16
2016-04-21:21,21,18
2016-04-21:22,31,22
2016-04-21:23,31,22
2016-04-21:24,21,17
2016-04-22:01,33,15
2016-04-22:02,38,14
2016-04-22:03,46,27
2016-04-22:04,29,18
2016-04-22:05,31,17
2016-04-22:06,37,19
2016-04-22:07,38,23
2016-04-22:08,51,28
2016-04-22:09,57,30
2016-04-22:10,87,45
2016-04-22:11,82,45
2016-04-22:12,93,47
2016-04-22:13,115,62
2016-04-22:14,118,64
2016-04-22:15,136,74
2016-04-22:16,153,68
2016-04-22:17,102,48
2016-04-22:18,95,49
2016-04-22:19,99,46
2016-04-22:20,92,40
2016-04-22:21,89,50
2016-04-22:22,109,54
2016-04-22:23,127,49
2016-04-22:24,124,47
2016-04-23:01,155,41
2016-04-23:02,169,37
2016-04-23:03,184,35
2016-04-23:04,173,39
2016-04-23:05,179,27
2016-04-23:06,203,22
2016-04-23:07,204,20
2016-04-23:08,204,25
2016-04-23:09,213,33
2016-04-23:10,220,36
2016-04-23:11,252,36
2016-04-23:12,256,31
2016-04-23:13,208,30
2016-04-23:14,190,35
2016-04-23:15,153,23
2016-04-23:16,155,20
2016-04-23:17,197,26
2016-04-23:18,184,27
2016-04-23:19,143,21
2016-04-23:20,155,18
2016-04-23:21,285,30
2016-04-23:22,349,36
2016-04-23:23,386,39
2016-04-23:24,367,38
2016-04-24:01,322,41
2016-04-24:02,314,33
2016-04-24:03,249,31
2016-04-24:04,249,28
2016-04-24:05,252,32
2016-04-24:06,220,32
2016-04-24:07,193,25
2016-04-24:08,210,33
2016-04-24:09,193,25
2016-04-24:10,171,22
2016-04-24:11,125,16
2016-04-24:12,91,10
2016-04-24:13,72,12
2016-04-24:14,61,11
2016-04-24:15,65,11
2016-04-24:16,55,10
2016-04-24:17,51,14
2016-04-24:18,70,18
2016-04-24:19,89,25
2016-04-24:20,96,26
2016-04-24:21,77,10
2016-04-24:22,76,19
2016-04-24:23,76,23
2016-04-24:24,68,17
2016-04-25:01,70,23
2016-04-25:02,68,20
2016-04-25:03,62,19
2016-04-25:04,60,19
2016-04-25:05,63,22
2016-04-25:06,63,19
2016-04-25:07,59,19
2016-04-25:08,63,17
2016-04-25:09,76,21
2016-04-25:10,87,21
2016-04-25:11,94,23
2016-04-25:12,88,22
2016-04-25:13,90,28
2016-04-25:14,95,17
2016-04-25:15,105,22
2016-04-25:16,113,28
2016-04-25:17,108,27
2016-04-25:18,72,17
2016-04-25:19,69,14
2016-04-25:20,73,21
2016-04-25:21,72,22
2016-04-25:22,71,24
2016-04-25:23,72,26
2016-04-25:24,75,23
2016-04-26:01,62,25
2016-04-26:02,90,26
2016-04-26:03,93,31
2016-04-26:04,86,30
2016-04-26:05,88,31
2016-04-26:06,89,34
2016-04-26:07,87,33
2016-04-26:08,91,30
2016-04-26:09,98,36
2016-04-26:10,90,26
2016-04-26:11,86,28
2016-04-26:12,90,25
2016-04-26:13,93,24
2016-04-26:14,76,20
2016-04-26:15,73,24
2016-04-26:16,75,28
2016-04-26:17,68,24
2016-04-26:18,88,31
2016-04-26:19,94,36
2016-04-26:20,81,26
2016-04-26:21,76,30
2016-04-26:22,67,29
2016-04-26:23,65,26
2016-04-26:24,56,24
2016-04-27:01,65,24
2016-04-27:02,66,25
2016-04-27:03,63,27
2016-04-27:04,58,25
2016-04-27:05,58,20
2016-04-27:06,54,20
2016-04-27:07,54,22
2016-04-27:08,57,16
2016-04-27:09,59,18
2016-04-27:10,60,18
2016-04-27:11,58,19
2016-04-27:12,,
2016-04-27:13,,
2016-04-27:14,46,11
2016-04-27:15,38,12
2016-04-27:16,38,9
2016-04-27:17,35,12
2016-04-27:18,32,12
2016-04-27:19,45,9
2016-04-27:20,43,16
2016-04-27:21,34,14
2016-04-27:22,44,18
2016-04-27:23,58,22
2016-04-27:24,45,17
2016-04-28:01,43,18
2016-04-28:02,46,17
2016-04-28:03,43,11
2016-04-28:04,43,18
2016-04-28:05,43,16
2016-04-28:06,45,18
2016-04-28:07,51,22
2016-04-28:08,54,21
2016-04-28:09,54,13
2016-04-28:10,45,14
2016-04-28:11,50,9
2016-04-28:12,40,11
2016-04-28:13,48,12
2016-04-28:14,62,17
2016-04-28:15,62,17
2016-04-28:16,71,26
2016-04-28:17,76,22
2016-04-28:18,70,22
2016-04-28:19,77,24
2016-04-28:20,78,31
2016-04-28:21,85,49
2016-04-28:22,80,31
2016-04-28:23,83,33
2016-04-28:24,57,26
2016-04-29:01,40,24
2016-04-29:02,48,21
2016-04-29:03,45,19
2016-04-29:04,42,18
2016-04-29:05,44,21
2016-04-29:06,34,19
2016-04-29:07,44,18
2016-04-29:08,34,17
2016-04-29:09,41,11
2016-04-29:10,45,19
2016-04-29:11,49,16
2016-04-29:12,49,18
2016-04-29:13,63,25
2016-04-29:14,71,22
2016-04-29:15,90,39
2016-04-29:16,107,45
2016-04-29:17,89,36
2016-04-29:18,88,33
2016-04-29:19,96,33
2016-04-29:20,86,31
2016-04-29:21,85,22
2016-04-29:22,85,42
2016-04-29:23,82,42
2016-04-29:24,87,44
2016-04-30:01,85,41
2016-04-30:02,91,40
2016-04-30:03,79,37
2016-04-30:04,74,38
2016-04-30:05,61,32
2016-04-30:06,60,29
2016-04-30:07,69,36
2016-04-30:08,53,26
2016-04-30:09,56,23
2016-04-30:10,47,25
2016-04-30:11,59,22
2016-04-30:12,85,27
2016-04-30:13,92,28
2016-04-30:14,107,40
2016-04-30:15,132,44
2016-04-30:16,148,59
2016-04-30:17,117,48
2016-04-30:18,71,25
2016-04-30:19,67,23
2016-04-30:20,77,29
2016-04-30:21,82,39
2016-04-30:22,76,42
2016-04-30:23,69,32
2016-04-30:24,69,35
