time,pm10,pm2.5
2019-05-01:01,18,9
2019-05-01:02,19,9
2019-05-01:03,20,12
2019-05-01:04,20,11
2019-05-01:05,21,12
2019-05-01:06,18,10
2019-05-01:07,20,12
2019-05-01:08,21,13
2019-05-01:09,28,19
2019-05-01:10,29,18
2019-05-01:11,38,24
2019-05-01:12,53,29
2019-05-01:13,57,31
2019-05-01:14,50,26
2019-05-01:15,49,23
2019-05-01:16,59,30
2019-05-01:17,68,37
2019-05-01:18,64,30
2019-05-01:19,78,28
2019-05-01:20,82,31
2019-05-01:21,98,29
2019-05-01:22,101,20
2019-05-01:23,94,17
2019-05-01:24,88,17
2019-05-02:01,83,16
2019-05-02:02,77,16
2019-05-02:03,76,16
2019-05-02:04,74,17
2019-05-02:05,65,16
2019-05-02:06,67,18
2019-05-02:07,60,17
2019-05-02:08,67,17
2019-05-02:09,68,20
2019-05-02:10,55,15
2019-05-02:11,46,15
2019-05-02:12,32,9
2019-05-02:13,26,6
2019-05-02:14,29,9
2019-05-02:15,29,7
2019-05-02:16,30,8
2019-05-02:17,35,9
2019-05-02:18,40,10
2019-05-02:19,36,8
2019-05-02:20,25,9
2019-05-02:21,22,12
2019-05-02:22,26,13
2019-05-02:23,26,10
2019-05-02:24,32,12
2019-05-03:01,38,14
2019-05-03:02,39,15
2019-05-03:03,39,15
2019-05-03:04,35,15
2019-05-03:05,31,12
2019-05-03:06,33,16
2019-05-03:07,27,10
2019-05-03:08,29,11
2019-05-03:09,32,12
2019-05-03:10,39,15
2019-05-03:11,45,17
2019-05-03:12,45,18
2019-05-03:13,44,19
2019-05-03:14,46,19
2019-05-03:15,61,32
2019-05-03:16,59,30
2019-05-03:17,58,29
2019-05-03:18,53,26
2019-05-03:19,66,37
2019-05-03:20,75,43
2019-05-03:21,90,56
2019-05-03:22,86,48
2019-05-03:23,92,53
2019-05-03:24,83,50
2019-05-04:01,95,52
2019-05-04:02,85,52
2019-05-04:03,89,55
2019-05-04:04,82,54
