time,pm10,pm2.5
2016-02-01:01,32,
2016-02-01:02,29,
2016-02-01:03,32,
2016-02-01:04,34,
2016-02-01:05,35,
2016-02-01:06,34,
2016-02-01:07,34,
2016-02-01:08,38,
2016-02-01:09,48,
2016-02-01:10,57,
2016-02-01:11,39,
2016-02-01:12,41,
2016-02-01:13,32,
2016-02-01:14,38,
2016-02-01:15,36,
2016-02-01:16,31,
2016-02-01:17,30,
2016-02-01:18,36,
2016-02-01:19,37,
2016-02-01:20,43,
2016-02-01:21,42,
2016-02-01:22,35,
2016-02-01:23,44,
2016-02-01:24,41,
2016-02-02:01,38,
2016-02-02:02,34,
2016-02-02:03,32,
2016-02-02:04,33,
2016-02-02:05,33,
2016-02-02:06,29,
2016-02-02:07,40,
2016-02-02:08,42,
2016-02-02:09,52,
2016-02-02:10,68,
2016-02-02:11,58,
2016-02-02:12,50,
2016-02-02:13,38,
2016-02-02:14,41,
2016-02-02:15,49,
2016-02-02:16,43,
2016-02-02:17,40,
2016-02-02:18,43,
2016-02-02:19,47,
2016-02-02:20,51,
2016-02-02:21,44,
2016-02-02:22,47,
2016-02-02:23,45,
2016-02-02:24,49,
2016-02-03:01,44,
2016-02-03:02,49,
2016-02-03:03,48,
2016-02-03:04,44,
2016-02-03:05,46,
2016-02-03:06,51,
2016-02-03:07,49,
2016-02-03:08,53,
2016-02-03:09,64,
2016-02-03:10,70,
2016-02-03:11,80,
2016-02-03:12,91,
2016-02-03:13,66,
2016-02-03:14,,
2016-02-03:15,,
2016-02-03:16,,
2016-02-03:17,,
2016-02-03:18,49,
2016-02-03:19,51,
2016-02-03:20,53,
2016-02-03:21,57,
2016-02-03:22,50,
2016-02-03:23,57,
2016-02-03:24,56,
2016-02-04:01,50,
2016-02-04:02,49,
2016-02-04:03,46,
2016-02-04:04,42,
2016-02-04:05,50,
2016-02-04:06,65,
2016-02-04:07,61,
2016-02-04:08,57,
2016-02-04:09,75,
2016-02-04:10,83,
2016-02-04:11,81,
2016-02-04:12,73,
2016-02-04:13,70,
2016-02-04:14,55,
2016-02-04:15,54,
2016-02-04:16,53,
2016-02-04:17,45,
2016-02-04:18,53,
2016-02-04:19,54,
2016-02-04:20,56,
2016-02-04:21,52,
2016-02-04:22,55,
2016-02-04:23,49,
2016-02-04:24,50,
2016-02-05:01,34,
2016-02-05:02,32,
2016-02-05:03,30,
2016-02-05:04,32,
2016-02-05:05,28,
2016-02-05:06,37,
2016-02-05:07,40,
2016-02-05:08,44,
2016-02-05:09,59,
