time,pm10,pm2.5
2019-09-01:01,20,13
2019-09-01:02,22,8
2019-09-01:03,20,6
2019-09-01:04,20,9
2019-09-01:05,20,9
2019-09-01:06,25,10
2019-09-01:07,25,9
2019-09-01:08,25,13
2019-09-01:09,24,14
2019-09-01:10,24,19
2019-09-01:11,29,19
2019-09-01:12,11,10
2019-09-01:13,17,10
2019-09-01:14,17,7
2019-09-01:15,13,10
2019-09-01:16,14,8
2019-09-01:17,14,8
2019-09-01:18,16,9
2019-09-01:19,15,15
2019-09-01:20,25,11
2019-09-01:21,18,12
2019-09-01:22,18,12
2019-09-01:23,23,16
2019-09-01:24,23,13
2019-09-02:01,27,13
2019-09-02:02,32,14
2019-09-02:03,25,17
2019-09-02:04,25,21
2019-09-02:05,29,11
2019-09-02:06,26,17
2019-09-02:07,25,16
2019-09-02:08,25,13
2019-09-02:09,27,11
2019-09-02:10,27,11
2019-09-02:11,26,15
2019-09-02:12,36,9
2019-09-02:13,25,9
2019-09-02:14,25,12
2019-09-02:15,,
2019-09-02:16,27,19
2019-09-02:17,27,11
2019-09-02:18,26,17
2019-09-02:19,26,7
2019-09-02:20,34,
2019-09-02:21,28,16
2019-09-02:22,28,16
2019-09-02:23,26,15
2019-09-02:24,26,18
2019-09-03:01,25,13
2019-09-03:02,30,18
2019-09-03:03,30,18
2019-09-03:04,30,18
2019-09-03:05,29,22
2019-09-03:06,29,20
2019-09-03:07,29,17
2019-09-03:08,29,17
2019-09-03:09,36,16
2019-09-03:10,36,19
2019-09-03:11,27,19
2019-09-03:12,26,13
2019-09-03:13,24,12
2019-09-03:14,18,9
2019-09-03:15,18,14
2019-09-03:16,13,8
2019-09-03:17,13,9
2019-09-03:18,30,8
2019-09-03:19,10,6
2019-09-03:20,14,6
2019-09-03:21,9,7
2019-09-03:22,9,6
2019-09-03:23,6,7
2019-09-03:24,6,4
2019-09-04:01,9,4
2019-09-04:02,5,4
2019-09-04:03,5,3
2019-09-04:04,5,3
2019-09-04:05,5,3
2019-09-04:06,6,3
2019-09-04:07,7,3
2019-09-04:08,7,3
2019-09-04:09,6,3
2019-09-04:10,6,3
2019-09-04:11,5,3
2019-09-04:12,7,5
2019-09-04:13,6,3
2019-09-04:14,6,3
2019-09-04:15,17,4
2019-09-04:16,12,6
2019-09-04:17,12,6
2019-09-04:18,13,4
2019-09-04:19,17,6
2019-09-04:20,9,5
2019-09-04:21,12,3
2019-09-04:22,12,3
2019-09-04:23,11,7
2019-09-04:24,11,6
2019-09-05:01,10,3
2019-09-05:02,7,3
2019-09-05:03,7,3
2019-09-05:04,7,3
2019-09-05:05,10,3
2019-09-05:06,10,4
2019-09-05:07,8,4
2019-09-05:08,10,4
2019-09-05:09,9,5
2019-09-05:10,9,3
2019-09-05:11,10,3
2019-09-05:12,18,6
2019-09-05:13,16,4
2019-09-05:14,10,7
2019-09-05:15,10,6
2019-09-05:16,8,3
2019-09-05:17,6,3
2019-09-05:18,5,3
2019-09-05:19,5,3
2019-09-05:20,6,3
2019-09-05:21,6,4
2019-09-05:22,8,3
2019-09-05:23,8,3
2019-09-05:24,6,3
2019-09-06:01,5,3
2019-09-06:02,5,3
2019-09-06:03,5,3
2019-09-06:04,6,3
2019-09-06:05,7,3
2019-09-06:06,5,3
2019-09-06:07,13,5
2019-09-06:08,11,3
2019-09-06:09,10,3
2019-09-06:10,12,4
2019-09-06:11,15,3
2019-09-06:12,18,6
2019-09-06:13,19,11
2019-09-06:14,18,9
2019-09-06:15,21,8
2019-09-06:16,21,15
2019-09-06:17,23,13
2019-09-06:18,25,8
2019-09-06:19,19,13
2019-09-06:20,22,12
2019-09-06:21,22,9
2019-09-06:22,20,14
2019-09-06:23,22,10
2019-09-06:24,19,10
2019-09-07:01,15,10
2019-09-07:02,12,6
2019-09-07:03,12,9
2019-09-07:04,10,6
2019-09-07:05,10,3
2019-09-07:06,6,3
2019-09-07:07,7,3
2019-09-07:08,8,4
2019-09-07:09,8,3
2019-09-07:10,24,3
2019-09-07:11,18,3
2019-09-07:12,17,3
2019-09-07:13,24,3
2019-09-07:14,28,3
2019-09-07:15,28,5
2019-09-07:16,27,4
2019-09-07:17,27,3
2019-09-07:18,6,3
2019-09-07:19,5,3
2019-09-07:20,10,3
2019-09-07:21,12,3
2019-09-07:22,12,3
2019-09-07:23,18,3
2019-09-07:24,18,5
2019-09-08:01,16,4
2019-09-08:02,10,3
2019-09-08:03,10,3
2019-09-08:04,10,6
2019-09-08:05,16,6
2019-09-08:06,16,6
2019-09-08:07,20,9
2019-09-08:08,32,16
2019-09-08:09,34,20
2019-09-08:10,34,19
2019-09-08:11,37,22
2019-09-08:12,27,15
2019-09-08:13,25,18
2019-09-08:14,33,16
2019-09-08:15,33,20
2019-09-08:16,35,21
2019-09-08:17,43,31
2019-09-08:18,44,34
2019-09-08:19,43,32
2019-09-08:20,39,30
2019-09-08:21,42,30
2019-09-08:22,41,23
2019-09-08:23,35,25
2019-09-08:24,43,29
2019-09-09:01,45,33
2019-09-09:02,43,35
2019-09-09:03,48,33
2019-09-09:04,42,29
2019-09-09:05,46,29
2019-09-09:06,45,36
2019-09-09:07,47,36
2019-09-09:08,57,31
2019-09-09:09,48,33
2019-09-09:10,48,32
2019-09-09:11,49,39
2019-09-09:12,,30
2019-09-09:13,30,18
2019-09-09:14,20,19
2019-09-09:15,20,16
2019-09-09:16,19,16
2019-09-09:17,23,16
2019-09-09:18,17,6
2019-09-09:19,12,10
2019-09-09:20,14,11
2019-09-09:21,20,10
2019-09-09:22,20,12
2019-09-09:23,15,12
2019-09-09:24,17,8
2019-09-10:01,19,8
2019-09-10:02,7,5
2019-09-10:03,23,6
2019-09-10:04,23,6
2019-09-10:05,12,4
2019-09-10:06,12,6
2019-09-10:07,7,5
2019-09-10:08,5,3
2019-09-10:09,8,3
2019-09-10:10,8,3
2019-09-10:11,11,5
2019-09-10:12,14,6
2019-09-10:13,13,4
2019-09-10:14,21,3
2019-09-10:15,21,8
2019-09-10:16,15,6
2019-09-10:17,15,4
2019-09-10:18,14,8
2019-09-10:19,19,8
2019-09-10:20,9,9
2019-09-10:21,16,8
2019-09-10:22,16,9
2019-09-10:23,19,11
2019-09-10:24,19,15
2019-09-11:01,24,18
2019-09-11:02,19,19
2019-09-11:03,,14
2019-09-11:04,10,8
2019-09-11:05,5,4
2019-09-11:06,5,3
2019-09-11:07,5,3
2019-09-11:08,6,3
2019-09-11:09,6,3
2019-09-11:10,7,4
2019-09-11:11,,3
2019-09-11:12,5,3
2019-09-11:13,8,3
2019-09-11:14,7,3
2019-09-11:15,6,3
2019-09-11:16,5,3
2019-09-11:17,5,3
2019-09-11:18,5,3
2019-09-11:19,6,3
2019-09-11:20,6,3
2019-09-11:21,9,4
2019-09-11:22,9,3
2019-09-11:23,5,3
2019-09-11:24,5,3
2019-09-12:01,5,4
2019-09-12:02,8,3
