time,pm10,pm2.5
2018-10-01:01,11,7
2018-10-01:02,11,11
2018-10-01:03,11,13
2018-10-01:04,15,13
2018-10-01:05,19,14
2018-10-01:06,25,15
2018-10-01:07,20,12
2018-10-01:08,16,14
2018-10-01:09,23,14
2018-10-01:10,25,13
2018-10-01:11,21,13
2018-10-01:12,20,13
2018-10-01:13,31,10
2018-10-01:14,17,10
2018-10-01:15,23,9
2018-10-01:16,24,12
2018-10-01:17,23,9
2018-10-01:18,19,10
2018-10-01:19,,
2018-10-01:20,15,12
2018-10-01:21,12,9
2018-10-01:22,18,13
2018-10-01:23,21,10
2018-10-01:24,18,15
2018-10-02:01,20,11
2018-10-02:02,,18
2018-10-02:03,18,14
2018-10-02:04,20,15
2018-10-02:05,14,10
2018-10-02:06,18,14
2018-10-02:07,19,13
2018-10-02:08,29,18
2018-10-02:09,41,22
2018-10-02:10,38,22
2018-10-02:11,,
2018-10-02:12,32,
2018-10-02:13,35,
2018-10-02:14,34,23
2018-10-02:15,36,15
2018-10-02:16,32,17
2018-10-02:17,33,19
2018-10-02:18,30,16
2018-10-02:19,31,13
2018-10-02:20,35,20
2018-10-02:21,28,21
2018-10-02:22,24,11
2018-10-02:23,24,12
2018-10-02:24,18,10
2018-10-03:01,14,14
2018-10-03:02,15,11
2018-10-03:03,17,9
2018-10-03:04,20,13
2018-10-03:05,20,15
2018-10-03:06,18,15
2018-10-03:07,25,18
2018-10-03:08,30,20
2018-10-03:09,39,24
2018-10-03:10,39,26
2018-10-03:11,37,22
2018-10-03:12,22,12
2018-10-03:13,24,17
2018-10-03:14,23,14
2018-10-03:15,21,13
2018-10-03:16,25,17
2018-10-03:17,19,14
2018-10-03:18,22,17
2018-10-03:19,26,13
2018-10-03:20,23,13
2018-10-03:21,20,18
2018-10-03:22,23,17
2018-10-03:23,22,17
2018-10-03:24,24,15
2018-10-04:01,23,13
2018-10-04:02,14,10
2018-10-04:03,18,14
2018-10-04:04,12,11
2018-10-04:05,20,11
2018-10-04:06,21,15
2018-10-04:07,22,16
2018-10-04:08,28,22
2018-10-04:09,38,13
2018-10-04:10,23,12
2018-10-04:11,26,14
2018-10-04:12,15,15
2018-10-04:13,17,14
2018-10-04:14,12,13
2018-10-04:15,14,13
2018-10-04:16,24,15
2018-10-04:17,22,11
2018-10-04:18,12,13
2018-10-04:19,18,10
2018-10-04:20,18,15
2018-10-04:21,13,12
2018-10-04:22,10,10
2018-10-04:23,15,10
2018-10-04:24,11,9
2018-10-05:01,10,8
2018-10-05:02,9,9
2018-10-05:03,11,8
2018-10-05:04,11,7
2018-10-05:05,11,8
2018-10-05:06,12,9
2018-10-05:07,17,11
2018-10-05:08,16,11
2018-10-05:09,15,11
2018-10-05:10,13,9
2018-10-05:11,13,12
2018-10-05:12,13,10
2018-10-05:13,15,12
2018-10-05:14,,11
2018-10-05:15,16,16
2018-10-05:16,13,
2018-10-05:17,13,8
2018-10-05:18,8,13
2018-10-05:19,8,12
2018-10-05:20,6,9
2018-10-05:21,3,6
2018-10-05:22,3,6
2018-10-05:23,4,6
2018-10-05:24,5,5
2018-10-06:01,4,4
2018-10-06:02,4,6
2018-10-06:03,6,5
2018-10-06:04,6,5
2018-10-06:05,5,5
2018-10-06:06,5,4
2018-10-06:07,5,6
2018-10-06:08,8,6
2018-10-06:09,6,6
2018-10-06:10,5,4
2018-10-06:11,5,1
2018-10-06:12,7,11
2018-10-06:13,5,7
2018-10-06:14,6,4
2018-10-06:15,7,6
2018-10-06:16,6,5
2018-10-06:17,13,7
2018-10-06:18,8,7
2018-10-06:19,6,7
2018-10-06:20,10,6
2018-10-06:21,12,9
2018-10-06:22,12,10
2018-10-06:23,17,10
2018-10-06:24,18,8
2018-10-07:01,12,5
2018-10-07:02,12,9
2018-10-07:03,15,9
2018-10-07:04,9,8
2018-10-07:05,14,6
2018-10-07:06,21,18
2018-10-07:07,27,17
2018-10-07:08,30,22
2018-10-07:09,40,17
2018-10-07:10,39,20
2018-10-07:11,43,18
2018-10-07:12,42,22
2018-10-07:13,35,15
2018-10-07:14,38,19
2018-10-07:15,36,12
2018-10-07:16,27,14
2018-10-07:17,27,8
2018-10-07:18,31,10
2018-10-07:19,40,13
2018-10-07:20,37,13
2018-10-07:21,29,11
2018-10-07:22,27,11
2018-10-07:23,22,7
2018-10-07:24,22,8
2018-10-08:01,19,9
2018-10-08:02,14,11
2018-10-08:03,14,9
2018-10-08:04,13,9
2018-10-08:05,13,6
2018-10-08:06,16,6
2018-10-08:07,31,10
2018-10-08:08,27,14
2018-10-08:09,26,13
2018-10-08:10,31,12
2018-10-08:11,25,9
2018-10-08:12,26,8
2018-10-08:13,17,6
2018-10-08:14,16,9
2018-10-08:15,23,8
2018-10-08:16,17,6
2018-10-08:17,22,10
2018-10-08:18,24,9
2018-10-08:19,22,10
2018-10-08:20,26,15
2018-10-08:21,25,12
2018-10-08:22,25,11
2018-10-08:23,15,9
2018-10-08:24,18,10
2018-10-09:01,12,7
2018-10-09:02,16,6
2018-10-09:03,14,6
2018-10-09:04,13,8
2018-10-09:05,16,8
2018-10-09:06,16,12
2018-10-09:07,18,11
2018-10-09:08,17,11
2018-10-09:09,24,10
2018-10-09:10,37,17
2018-10-09:11,34,14
2018-10-09:12,32,15
2018-10-09:13,25,11
2018-10-09:14,26,17
2018-10-09:15,28,13
2018-10-09:16,28,12
2018-10-09:17,28,17
2018-10-09:18,22,13
2018-10-09:19,28,16
2018-10-09:20,32,18
2018-10-09:21,25,20
2018-10-09:22,31,13
2018-10-09:23,26,19
2018-10-09:24,25,13
2018-10-10:01,21,14
2018-10-10:02,18,17
2018-10-10:03,21,12
2018-10-10:04,25,18
2018-10-10:05,23,20
2018-10-10:06,30,19
2018-10-10:07,25,19
2018-10-10:08,23,19
2018-10-10:09,27,22
2018-10-10:10,29,19
2018-10-10:11,27,13
2018-10-10:12,22,11
2018-10-10:13,26,9
2018-10-10:14,20,8
2018-10-10:15,18,8
2018-10-10:16,19,9
2018-10-10:17,21,9
2018-10-10:18,22,10
2018-10-10:19,19,8
2018-10-10:20,25,12
2018-10-10:21,21,11
2018-10-10:22,20,9
2018-10-10:23,13,11
2018-10-10:24,17,13
2018-10-11:01,16,10
2018-10-11:02,12,11
2018-10-11:03,17,8
2018-10-11:04,13,12
2018-10-11:05,13,9
2018-10-11:06,17,13
2018-10-11:07,18,13
2018-10-11:08,24,14
2018-10-11:09,25,11
2018-10-11:10,16,15
2018-10-11:11,21,10
2018-10-11:12,16,5
2018-10-11:13,18,6
2018-10-11:14,19,7
2018-10-11:15,25,9
2018-10-11:16,22,9
2018-10-11:17,21,9
2018-10-11:18,17,8
2018-10-11:19,15,7
2018-10-11:20,23,8
2018-10-11:21,17,10
2018-10-11:22,19,11
2018-10-11:23,15,10
2018-10-11:24,17,9
2018-10-12:01,18,8
2018-10-12:02,18,11
2018-10-12:03,19,10
2018-10-12:04,14,7
2018-10-12:05,14,11
2018-10-12:06,15,11
2018-10-12:07,22,11
2018-10-12:08,27,14
2018-10-12:09,36,20
2018-10-12:10,26,11
2018-10-12:11,22,12
2018-10-12:12,21,12
2018-10-12:13,21,15
2018-10-12:14,23,17
2018-10-12:15,28,16
2018-10-12:16,30,18
2018-10-12:17,27,17
2018-10-12:18,30,18
2018-10-12:19,25,17
2018-10-12:20,25,21
2018-10-12:21,26,17
2018-10-12:22,23,17
2018-10-12:23,22,17
2018-10-12:24,20,12
2018-10-13:01,25,13
2018-10-13:02,19,17
2018-10-13:03,21,17
2018-10-13:04,17,17
2018-10-13:05,20,17
2018-10-13:06,20,14
2018-10-13:07,25,18
2018-10-13:08,25,19
2018-10-13:09,31,22
2018-10-13:10,33,23
2018-10-13:11,52,33
2018-10-13:12,36,32
2018-10-13:13,27,23
2018-10-13:14,37,25
2018-10-13:15,33,23
2018-10-13:16,36,29
2018-10-13:17,46,37
2018-10-13:18,47,33
2018-10-13:19,38,25
2018-10-13:20,38,30
2018-10-13:21,42,34
2018-10-13:22,47,34
2018-10-13:23,39,30
2018-10-13:24,40,33
2018-10-14:01,37,27
2018-10-14:02,33,29
2018-10-14:03,32,25
2018-10-14:04,35,30
2018-10-14:05,33,30
2018-10-14:06,30,30
2018-10-14:07,39,33
2018-10-14:08,43,34
2018-10-14:09,42,38
2018-10-14:10,59,46
2018-10-14:11,53,44
2018-10-14:12,48,37
2018-10-14:13,40,24
2018-10-14:14,36,19
2018-10-14:15,30,16
2018-10-14:16,33,17
2018-10-14:17,35,18
2018-10-14:18,44,23
2018-10-14:19,48,28
2018-10-14:20,30,27
2018-10-14:21,33,25
2018-10-14:22,29,24
2018-10-14:23,24,18
2018-10-14:24,21,20
2018-10-15:01,21,20
2018-10-15:02,18,13
2018-10-15:03,23,16
2018-10-15:04,24,20
2018-10-15:05,27,20
2018-10-15:06,28,23
2018-10-15:07,33,25
2018-10-15:08,41,29
2018-10-15:09,49,33
2018-10-15:10,57,37
2018-10-15:11,71,39
2018-10-15:12,81,54
2018-10-15:13,112,71
2018-10-15:14,109,69
2018-10-15:15,107,69
2018-10-15:16,89,61
2018-10-15:17,82,50
2018-10-15:18,98,61
2018-10-15:19,124,79
2018-10-15:20,115,80
2018-10-15:21,102,80
2018-10-15:22,103,84
2018-10-15:23,82,62
2018-10-15:24,61,46
2018-10-16:01,40,28
2018-10-16:02,36,23
2018-10-16:03,27,23
2018-10-16:04,30,20
2018-10-16:05,29,20
2018-10-16:06,34,21
2018-10-16:07,28,21
2018-10-16:08,52,29
2018-10-16:09,53,28
2018-10-16:10,55,29
2018-10-16:11,67,32
2018-10-16:12,53,22
2018-10-16:13,39,17
2018-10-16:14,42,18
2018-10-16:15,45,18
2018-10-16:16,57,28
2018-10-16:17,57,28
2018-10-16:18,71,34
2018-10-16:19,57,28
2018-10-16:20,44,25
2018-10-16:21,68,22
2018-10-16:22,30,22
2018-10-16:23,29,19
2018-10-16:24,33,23
2018-10-17:01,34,25
2018-10-17:02,36,23
2018-10-17:03,38,19
2018-10-17:04,31,19
2018-10-17:05,33,20
2018-10-17:06,37,23
2018-10-17:07,40,20
2018-10-17:08,52,34
2018-10-17:09,46,30
2018-10-17:10,69,36
2018-10-17:11,60,41
2018-10-17:12,32,18
2018-10-17:13,37,20
2018-10-17:14,43,21
2018-10-17:15,30,10
2018-10-17:16,19,8
2018-10-17:17,22,10
2018-10-17:18,21,10
2018-10-17:19,16,10
2018-10-17:20,19,10
2018-10-17:21,14,10
2018-10-17:22,14,11
2018-10-17:23,15,7
2018-10-17:24,17,8
2018-10-18:01,12,10
2018-10-18:02,17,9
2018-10-18:03,18,11
2018-10-18:04,12,9
2018-10-18:05,18,16
2018-10-18:06,17,11
2018-10-18:07,22,14
2018-10-18:08,43,21
2018-10-18:09,22,12
2018-10-18:10,15,9
2018-10-18:11,8,7
2018-10-18:12,20,5
2018-10-18:13,19,3
2018-10-18:14,10,1
2018-10-18:15,7,3
2018-10-18:16,17,10
2018-10-18:17,9,7
2018-10-18:18,6,3
2018-10-18:19,6,3
2018-10-18:20,9,7
2018-10-18:21,11,11
2018-10-18:22,14,8
2018-10-18:23,16,11
2018-10-18:24,13,9
2018-10-19:01,22,9
2018-10-19:02,18,10
2018-10-19:03,13,9
2018-10-19:04,14,6
2018-10-19:05,10,4
2018-10-19:06,8,4
2018-10-19:07,14,9
2018-10-19:08,33,18
2018-10-19:09,34,12
2018-10-19:10,33,13
2018-10-19:11,20,9
2018-10-19:12,16,12
2018-10-19:13,14,10
