time,pm10,pm2.5
2019-06-01:01,21,11
2019-06-01:02,22,12
2019-06-01:03,28,14
2019-06-01:04,27,14
2019-06-01:05,29,15
2019-06-01:06,27,15
2019-06-01:07,32,15
2019-06-01:08,32,19
2019-06-01:09,38,22
2019-06-01:10,40,21
2019-06-01:11,48,24
2019-06-01:12,43,24
2019-06-01:13,46,27
2019-06-01:14,50,30
2019-06-01:15,51,25
2019-06-01:16,54,25
2019-06-01:17,46,23
2019-06-01:18,38,21
2019-06-01:19,36,21
2019-06-01:20,33,19
2019-06-01:21,32,17
2019-06-01:22,33,19
2019-06-01:23,40,19
2019-06-01:24,34,18
2019-06-02:01,37,21
2019-06-02:02,40,22
2019-06-02:03,35,21
2019-06-02:04,34,20
2019-06-02:05,35,20
2019-06-02:06,33,19
2019-06-02:07,36,19
2019-06-02:08,36,19
2019-06-02:09,38,20
2019-06-02:10,35,15
2019-06-02:11,35,19
2019-06-02:12,43,20
2019-06-02:13,43,21
2019-06-02:14,49,21
2019-06-02:15,53,27
2019-06-02:16,61,36
2019-06-02:17,59,27
2019-06-02:18,50,27
2019-06-02:19,39,17
2019-06-02:20,34,16
2019-06-02:21,34,14
2019-06-02:22,36,18
2019-06-02:23,40,22
2019-06-02:24,35,17
2019-06-03:01,40,17
2019-06-03:02,43,21
2019-06-03:03,44,21
2019-06-03:04,39,20
2019-06-03:05,43,19
2019-06-03:06,43,19
2019-06-03:07,43,18
2019-06-03:08,48,21
2019-06-03:09,48,22
2019-06-03:10,58,20
2019-06-03:11,52,18
2019-06-03:12,48,21
2019-06-03:13,50,21
2019-06-03:14,51,22
2019-06-03:15,46,26
2019-06-03:16,47,24
2019-06-03:17,55,30
2019-06-03:18,59,29
2019-06-03:19,62,28
2019-06-03:20,62,32
2019-06-03:21,63,31
2019-06-03:22,56,30
2019-06-03:23,71,30
2019-06-03:24,49,29
2019-06-04:01,37,25
2019-06-04:02,34,21
2019-06-04:03,32,19
2019-06-04:04,44,29
2019-06-04:05,37,20
2019-06-04:06,39,21
2019-06-04:07,42,24
2019-06-04:08,43,23
2019-06-04:09,51,23
2019-06-04:10,35,15
2019-06-04:11,29,12
2019-06-04:12,27,14
2019-06-04:13,33,20
2019-06-04:14,31,16
2019-06-04:15,35,13
2019-06-04:16,33,14
2019-06-04:17,31,18
2019-06-04:18,31,15
2019-06-04:19,35,16
2019-06-04:20,27,16
2019-06-04:21,28,15
2019-06-04:22,29,17
2019-06-04:23,29,16
2019-06-04:24,32,21
2019-06-05:01,42,27
2019-06-05:02,35,23
