time,pm10,pm2.5
2017-09-01:01,32,14
2017-09-01:02,21,12
2017-09-01:03,24,9
2017-09-01:04,17,7
2017-09-01:05,19,6
2017-09-01:06,21,6
2017-09-01:07,21,9
2017-09-01:08,21,5
2017-09-01:09,18,9
2017-09-01:10,20,4
2017-09-01:11,21,6
2017-09-01:12,18,8
2017-09-01:13,16,6
2017-09-01:14,23,6
2017-09-01:15,12,5
2017-09-01:16,22,8
2017-09-01:17,22,11
2017-09-01:18,29,17
2017-09-01:19,32,17
2017-09-01:20,31,13
2017-09-01:21,26,13
2017-09-01:22,32,13
2017-09-01:23,32,17
2017-09-01:24,35,15
2017-09-02:01,32,14
2017-09-02:02,28,14
2017-09-02:03,23,9
2017-09-02:04,20,9
2017-09-02:05,22,9
2017-09-02:06,15,7
2017-09-02:07,17,9
2017-09-02:08,19,5
2017-09-02:09,21,6
2017-09-02:10,19,7
2017-09-02:11,21,6
2017-09-02:12,21,10
2017-09-02:13,18,6
2017-09-02:14,11,7
2017-09-02:15,13,4
2017-09-02:16,17,7
2017-09-02:17,18,9
2017-09-02:18,16,12
2017-09-02:19,21,8
2017-09-02:20,30,14
2017-09-02:21,59,30
2017-09-02:22,53,30
2017-09-02:23,43,24
2017-09-02:24,28,15
2017-09-03:01,25,12
2017-09-03:02,22,12
2017-09-03:03,20,9
2017-09-03:04,23,13
2017-09-03:05,23,14
2017-09-03:06,16,10
2017-09-03:07,17,7
2017-09-03:08,15,7
2017-09-03:09,18,6
2017-09-03:10,17,10
2017-09-03:11,15,5
2017-09-03:12,14,10
2017-09-03:13,27,10
2017-09-03:14,23,14
2017-09-03:15,20,9
2017-09-03:16,15,7
2017-09-03:17,22,16
2017-09-03:18,21,14
2017-09-03:19,43,20
2017-09-03:20,51,32
2017-09-03:21,64,41
2017-09-03:22,60,33
2017-09-03:23,44,28
2017-09-03:24,34,20
2017-09-04:01,38,19
2017-09-04:02,29,19
2017-09-04:03,28,17
2017-09-04:04,29,15
