time,pm10,pm2.5
2018-05-01:01,,42
2018-05-01:02,36,33
2018-05-01:03,33,32
2018-05-01:04,50,48
2018-05-01:05,54,51
2018-05-01:06,,53
2018-05-01:07,71,69
2018-05-01:08,72,71
2018-05-01:09,90,78
2018-05-01:10,90,72
2018-05-01:11,76,58
2018-05-01:12,68,58
2018-05-01:13,74,67
2018-05-01:14,76,69
2018-05-01:15,76,64
2018-05-01:16,81,68
2018-05-01:17,70,58
2018-05-01:18,69,60
2018-05-01:19,70,56
2018-05-01:20,68,61
2018-05-01:21,77,59
2018-05-01:22,66,60
2018-05-01:23,80,77
2018-05-01:24,,88
2018-05-02:01,95,92
2018-05-02:02,91,87
2018-05-02:03,80,79
2018-05-02:04,78,78
2018-05-02:05,,79
2018-05-02:06,81,78
2018-05-02:07,65,64
2018-05-02:08,62,62
2018-05-02:09,,60
2018-05-02:10,60,60
2018-05-02:11,55,54
2018-05-02:12,53,42
2018-05-02:13,43,38
2018-05-02:14,47,43
2018-05-02:15,,
2018-05-02:16,38,28
2018-05-02:17,35,27
2018-05-02:18,38,24
2018-05-02:19,43,30
2018-05-02:20,18,13
2018-05-02:21,11,11
2018-05-02:22,11,8
2018-05-02:23,8,7
2018-05-02:24,6,4
2018-05-03:01,5,3
2018-05-03:02,5,3
2018-05-03:03,5,4
2018-05-03:04,5,6
2018-05-03:05,15,5
2018-05-03:06,31,16
2018-05-03:07,54,25
2018-05-03:08,70,20
2018-05-03:09,80,16
2018-05-03:10,59,18
2018-05-03:11,60,19
2018-05-03:12,55,24
2018-05-03:13,59,22
2018-05-03:14,43,22
2018-05-03:15,27,14
2018-05-03:16,16,9
2018-05-03:17,24,13
2018-05-03:18,31,14
2018-05-03:19,33,19
2018-05-03:20,40,24
2018-05-03:21,34,25
2018-05-03:22,42,26
2018-05-03:23,51,30
2018-05-03:24,52,28
2018-05-04:01,46,27
2018-05-04:02,53,17
2018-05-04:03,56,22
2018-05-04:04,52,14
2018-05-04:05,46,18
2018-05-04:06,37,16
2018-05-04:07,43,19
2018-05-04:08,46,17
2018-05-04:09,51,15
2018-05-04:10,50,17
2018-05-04:11,54,17
2018-05-04:12,53,21
2018-05-04:13,57,18
2018-05-04:14,59,17
2018-05-04:15,62,17
2018-05-04:16,52,16
2018-05-04:17,57,18
2018-05-04:18,55,13
2018-05-04:19,55,21
2018-05-04:20,54,18
2018-05-04:21,52,24
2018-05-04:22,48,22
2018-05-04:23,44,17
2018-05-04:24,,21
2018-05-05:01,47,22
2018-05-05:02,41,19
2018-05-05:03,38,20
2018-05-05:04,38,18
2018-05-05:05,42,21
2018-05-05:06,44,16
2018-05-05:07,43,17
2018-05-05:08,43,20
2018-05-05:09,48,20
2018-05-05:10,49,23
2018-05-05:11,51,27
2018-05-05:12,56,22
2018-05-05:13,52,24
2018-05-05:14,56,30
2018-05-05:15,50,25
2018-05-05:16,50,20
2018-05-05:17,51,24
2018-05-05:18,38,18
2018-05-05:19,45,22
2018-05-05:20,43,18
2018-05-05:21,39,16
2018-05-05:22,40,19
2018-05-05:23,36,22
2018-05-05:24,36,18
2018-05-06:01,38,15
2018-05-06:02,32,19
2018-05-06:03,33,23
2018-05-06:04,18,13
2018-05-06:05,17,13
2018-05-06:06,,19
2018-05-06:07,,20
2018-05-06:08,,17
2018-05-06:09,12,9
2018-05-06:10,12,13
2018-05-06:11,14,9
2018-05-06:12,10,6
2018-05-06:13,7,8
2018-05-06:14,7,5
2018-05-06:15,5,5
2018-05-06:16,5,6
2018-05-06:17,12,7
2018-05-06:18,11,6
2018-05-06:19,11,3
2018-05-06:20,11,3
2018-05-06:21,13,9
2018-05-06:22,21,14
2018-05-06:23,18,12
2018-05-06:24,32,13
2018-05-07:01,,
2018-05-07:02,21,15
2018-05-07:03,19,16
2018-05-07:04,17,11
2018-05-07:05,19,11
2018-05-07:06,23,13
2018-05-07:07,26,18
2018-05-07:08,23,18
2018-05-07:09,43,17
2018-05-07:10,44,20
2018-05-07:11,48,21
2018-05-07:12,51,21
2018-05-07:13,43,16
2018-05-07:14,38,16
2018-05-07:15,44,17
2018-05-07:16,53,24
2018-05-07:17,53,17
2018-05-07:18,54,20
2018-05-07:19,63,24
2018-05-07:20,65,33
2018-05-07:21,66,36
2018-05-07:22,69,40
2018-05-07:23,73,37
2018-05-07:24,71,37
2018-05-08:01,64,32
2018-05-08:02,34,12
2018-05-08:03,17,7
2018-05-08:04,13,3
2018-05-08:05,12,3
2018-05-08:06,10,4
2018-05-08:07,14,3
2018-05-08:08,14,3
2018-05-08:09,14,3
2018-05-08:10,17,3
2018-05-08:11,20,5
2018-05-08:12,20,6
2018-05-08:13,22,7
2018-05-08:14,18,12
2018-05-08:15,,
2018-05-08:16,,6
2018-05-08:17,,7
2018-05-08:18,,5
2018-05-08:19,32,7
2018-05-08:20,38,8
2018-05-08:21,25,8
2018-05-08:22,24,6
2018-05-08:23,22,6
2018-05-08:24,15,5
2018-05-09:01,8,4
2018-05-09:02,8,5
2018-05-09:03,9,3
2018-05-09:04,11,3
2018-05-09:05,9,3
2018-05-09:06,9,6
2018-05-09:07,18,8
2018-05-09:08,16,7
2018-05-09:09,24,10
2018-05-09:10,30,13
2018-05-09:11,26,9
2018-05-09:12,28,12
2018-05-09:13,32,10
2018-05-09:14,34,15
2018-05-09:15,38,12
2018-05-09:16,47,18
2018-05-09:17,47,20
2018-05-09:18,39,12
2018-05-09:19,42,14
2018-05-09:20,42,17
2018-05-09:21,41,16
2018-05-09:22,42,13
2018-05-09:23,45,22
2018-05-09:24,38,
2018-05-10:01,40,14
2018-05-10:02,35,16
2018-05-10:03,44,25
2018-05-10:04,47,34
2018-05-10:05,47,30
2018-05-10:06,56,38
2018-05-10:07,59,38
2018-05-10:08,51,36
2018-05-10:09,59,31
2018-05-10:10,52,31
2018-05-10:11,60,34
2018-05-10:12,63,35
2018-05-10:13,55,26
2018-05-10:14,56,29
2018-05-10:15,65,31
2018-05-10:16,68,29
2018-05-10:17,70,39
2018-05-10:18,60,34
2018-05-10:19,66,43
2018-05-10:20,80,46
2018-05-10:21,72,52
2018-05-10:22,66,49
2018-05-10:23,83,61
2018-05-10:24,83,62
2018-05-11:01,83,65
2018-05-11:02,81,62
2018-05-11:03,94,71
2018-05-11:04,90,70
2018-05-11:05,87,66
2018-05-11:06,74,56
2018-05-11:07,78,64
2018-05-11:08,74,60
2018-05-11:09,84,59
2018-05-11:10,93,66
2018-05-11:11,91,63
2018-05-11:12,88,59
