time,pm10,pm2.5
2018-05-01:01,34,29
2018-05-01:02,29,26
2018-05-01:03,29,25
2018-05-01:04,27,26
2018-05-01:05,42,37
2018-05-01:06,48,41
2018-05-01:07,70,56
2018-05-01:08,66,52
2018-05-01:09,72,59
2018-05-01:10,66,53
2018-05-01:11,53,42
2018-05-01:12,53,41
2018-05-01:13,55,44
2018-05-01:14,58,45
2018-05-01:15,61,46
2018-05-01:16,56,45
2018-05-01:17,58,45
2018-05-01:18,54,42
2018-05-01:19,52,42
2018-05-01:20,54,43
2018-05-01:21,56,44
2018-05-01:22,53,43
2018-05-01:23,62,50
2018-05-01:24,72,61
2018-05-02:01,84,68
2018-05-02:02,81,67
2018-05-02:03,81,68
2018-05-02:04,72,59
2018-05-02:05,74,63
2018-05-02:06,67,58
2018-05-02:07,62,52
2018-05-02:08,53,46
2018-05-02:09,50,44
2018-05-02:10,47,40
2018-05-02:11,42,37
2018-05-02:12,36,32
2018-05-02:13,39,34
2018-05-02:14,30,28
2018-05-02:15,30,30
2018-05-02:16,41,35
2018-05-02:17,18,14
2018-05-02:18,22,18
2018-05-02:19,27,20
2018-05-02:20,18,15
2018-05-02:21,8,7
2018-05-02:22,4,4
2018-05-02:23,4,2
2018-05-02:24,3,1
2018-05-03:01,3,1
2018-05-03:02,3,1
2018-05-03:03,3,1
2018-05-03:04,3,1
2018-05-03:05,3,3
2018-05-03:06,3,3
2018-05-03:07,20,8
2018-05-03:08,44,14
2018-05-03:09,51,12
2018-05-03:10,44,14
2018-05-03:11,37,16
2018-05-03:12,43,20
2018-05-03:13,38,18
2018-05-03:14,41,20
2018-05-03:15,23,12
2018-05-03:16,12,8
2018-05-03:17,14,13
2018-05-03:18,18,14
2018-05-03:19,25,18
2018-05-03:20,29,23
2018-05-03:21,31,24
2018-05-03:22,32,24
2018-05-03:23,35,24
2018-05-03:24,41,26
2018-05-04:01,38,25
2018-05-04:02,38,22
2018-05-04:03,37,18
2018-05-04:04,39,17
2018-05-04:05,38,16
2018-05-04:06,32,15
2018-05-04:07,30,15
2018-05-04:08,31,12
2018-05-04:09,34,11
2018-05-04:10,34,12
2018-05-04:11,35,15
2018-05-04:12,36,15
2018-05-04:13,37,18
2018-05-04:14,37,14
2018-05-04:15,36,14
2018-05-04:16,36,10
2018-05-04:17,38,18
2018-05-04:18,34,14
2018-05-04:19,37,18
2018-05-04:20,43,18
2018-05-04:21,38,17
2018-05-04:22,33,16
2018-05-04:23,29,16
2018-05-04:24,31,16
2018-05-05:01,29,16
2018-05-05:02,27,15
2018-05-05:03,27,15
2018-05-05:04,28,14
2018-05-05:05,28,15
2018-05-05:06,30,16
2018-05-05:07,31,17
2018-05-05:08,28,13
2018-05-05:09,32,13
2018-05-05:10,33,15
2018-05-05:11,36,18
2018-05-05:12,38,19
2018-05-05:13,39,20
2018-05-05:14,41,23
2018-05-05:15,39,24
2018-05-05:16,33,21
2018-05-05:17,32,19
2018-05-05:18,33,21
2018-05-05:19,34,21
2018-05-05:20,34,22
2018-05-05:21,29,18
2018-05-05:22,26,16
2018-05-05:23,27,17
2018-05-05:24,30,17
2018-05-06:01,30,17
2018-05-06:02,28,17
2018-05-06:03,28,18
2018-05-06:04,19,16
2018-05-06:05,13,13
2018-05-06:06,14,13
2018-05-06:07,11,12
2018-05-06:08,7,8
2018-05-06:09,9,10
2018-05-06:10,7,8
2018-05-06:11,8,7
2018-05-06:12,7,6
2018-05-06:13,5,6
2018-05-06:14,3,3
2018-05-06:15,3,1
2018-05-06:16,3,1
2018-05-06:17,3,1
2018-05-06:18,6,5
2018-05-06:19,3,3
2018-05-06:20,7,5
2018-05-06:21,7,6
2018-05-06:22,9,7
2018-05-06:23,14,8
2018-05-06:24,14,10
2018-05-07:01,15,10
2018-05-07:02,12,9
2018-05-07:03,12,8
2018-05-07:04,12,10
2018-05-07:05,14,9
2018-05-07:06,12,10
2018-05-07:07,12,10
2018-05-07:08,15,12
2018-05-07:09,19,13
2018-05-07:10,20,13
2018-05-07:11,24,14
2018-05-07:12,23,12
2018-05-07:13,24,13
2018-05-07:14,25,13
2018-05-07:15,28,15
2018-05-07:16,31,16
2018-05-07:17,35,17
2018-05-07:18,35,16
2018-05-07:19,45,18
2018-05-07:20,53,27
2018-05-07:21,52,29
2018-05-07:22,49,29
2018-05-07:23,49,30
2018-05-07:24,49,30
2018-05-08:01,50,29
2018-05-08:02,27,16
2018-05-08:03,15,8
2018-05-08:04,6,4
2018-05-08:05,3,2
2018-05-08:06,3,2
2018-05-08:07,5,2
2018-05-08:08,3,1
2018-05-08:09,3,2
2018-05-08:10,4,1
2018-05-08:11,9,1
2018-05-08:12,8,3
2018-05-08:13,8,2
2018-05-08:14,9,4
2018-05-08:15,,
2018-05-08:16,,
2018-05-08:17,6,3
2018-05-08:18,16,7
2018-05-08:19,18,10
2018-05-08:20,19,9
2018-05-08:21,18,8
2018-05-08:22,11,6
2018-05-08:23,12,7
2018-05-08:24,9,5
2018-05-09:01,4,4
2018-05-09:02,4,2
2018-05-09:03,4,1
2018-05-09:04,3,2
2018-05-09:05,5,2
2018-05-09:06,6,3
2018-05-09:07,9,3
2018-05-09:08,10,3
2018-05-09:09,11,3
2018-05-09:10,11,3
2018-05-09:11,14,5
2018-05-09:12,16,6
2018-05-09:13,15,8
2018-05-09:14,17,7
2018-05-09:15,21,10
2018-05-09:16,25,11
2018-05-09:17,29,14
2018-05-09:18,27,14
2018-05-09:19,28,15
2018-05-09:20,31,16
2018-05-09:21,29,16
2018-05-09:22,28,13
2018-05-09:23,30,14
2018-05-09:24,27,15
2018-05-10:01,26,15
2018-05-10:02,23,12
2018-05-10:03,25,16
2018-05-10:04,28,17
2018-05-10:05,29,19
2018-05-10:06,30,21
2018-05-10:07,37,27
2018-05-10:08,31,21
2018-05-10:09,26,17
2018-05-10:10,25,14
2018-05-10:11,31,17
2018-05-10:12,38,21
2018-05-10:13,42,24
2018-05-10:14,37,19
2018-05-10:15,39,22
2018-05-10:16,42,25
2018-05-10:17,45,27
2018-05-10:18,41,26
2018-05-10:19,46,27
2018-05-10:20,54,36
2018-05-10:21,53,38
2018-05-10:22,52,40
2018-05-10:23,56,44
2018-05-10:24,61,48
2018-05-11:01,59,48
2018-05-11:02,57,48
2018-05-11:03,61,51
2018-05-11:04,61,51
2018-05-11:05,57,50
2018-05-11:06,48,41
2018-05-11:07,44,40
2018-05-11:08,47,38
2018-05-11:09,49,41
2018-05-11:10,53,44
2018-05-11:11,54,41
2018-05-11:12,50,35
2018-05-11:13,51,37
2018-05-11:14,47,31
2018-05-11:15,53,36
2018-05-11:16,80,61
2018-05-11:17,74,57
2018-05-11:18,65,45
2018-05-11:19,56,37
2018-05-11:20,49,30
2018-05-11:21,47,27
2018-05-11:22,46,29
2018-05-11:23,47,32
2018-05-11:24,54,37
2018-05-12:01,59,40
2018-05-12:02,59,40
2018-05-12:03,67,47
2018-05-12:04,64,47
2018-05-12:05,55,38
2018-05-12:06,53,38
2018-05-12:07,52,38
2018-05-12:08,39,30
2018-05-12:09,29,22
2018-05-12:10,23,19
2018-05-12:11,21,16
2018-05-12:12,13,13
2018-05-12:13,9,10
2018-05-12:14,7,8
2018-05-12:15,6,8
2018-05-12:16,5,5
2018-05-12:17,5,4
2018-05-12:18,3,4
2018-05-12:19,3,4
2018-05-12:20,5,5
2018-05-12:21,9,4
2018-05-12:22,21,
2018-05-12:23,12,13
2018-05-12:24,3,4
2018-05-13:01,3,3
2018-05-13:02,4,5
2018-05-13:03,7,9
2018-05-13:04,14,15
2018-05-13:05,18,15
2018-05-13:06,20,16
2018-05-13:07,9,8
2018-05-13:08,5,6
2018-05-13:09,5,3
2018-05-13:10,5,4
2018-05-13:11,6,6
2018-05-13:12,7,6
2018-05-13:13,12,11
2018-05-13:14,22,19
2018-05-13:15,27,25
2018-05-13:16,29,23
2018-05-13:17,26,20
2018-05-13:18,23,18
2018-05-13:19,27,21
2018-05-13:20,30,25
2018-05-13:21,28,24
2018-05-13:22,25,22
2018-05-13:23,29,24
2018-05-13:24,32,27
2018-05-14:01,34,27
2018-05-14:02,34,30
2018-05-14:03,46,37
2018-05-14:04,52,42
2018-05-14:05,58,46
2018-05-14:06,50,42
2018-05-14:07,47,39
2018-05-14:08,41,38
2018-05-14:09,44,41
2018-05-14:10,41,35
2018-05-14:11,37,33
2018-05-14:12,44,33
2018-05-14:13,54,47
2018-05-14:14,65,55
2018-05-14:15,73,61
2018-05-14:16,86,74
2018-05-14:17,96,81
2018-05-14:18,76,62
2018-05-14:19,70,59
2018-05-14:20,88,73
2018-05-14:21,99,82
2018-05-14:22,107,91
2018-05-14:23,121,106
2018-05-14:24,113,97
2018-05-15:01,115,96
2018-05-15:02,110,93
2018-05-15:03,112,95
2018-05-15:04,99,82
2018-05-15:05,94,80
2018-05-15:06,91,77
2018-05-15:07,96,80
2018-05-15:08,90,76
2018-05-15:09,87,75
2018-05-15:10,80,67
2018-05-15:11,76,57
2018-05-15:12,56,41
2018-05-15:13,43,35
2018-05-15:14,46,36
2018-05-15:15,42,31
2018-05-15:16,47,32
2018-05-15:17,43,31
2018-05-15:18,43,32
2018-05-15:19,47,34
2018-05-15:20,46,37
2018-05-15:21,50,39
2018-05-15:22,54,42
2018-05-15:23,55,44
2018-05-15:24,56,44
2018-05-16:01,59,46
2018-05-16:02,61,45
2018-05-16:03,65,52
2018-05-16:04,64,50
2018-05-16:05,46,37
2018-05-16:06,40,33
2018-05-16:07,38,31
2018-05-16:08,36,29
2018-05-16:09,27,21
2018-05-16:10,24,20
2018-05-16:11,28,21
2018-05-16:12,27,22
2018-05-16:13,31,29
2018-05-16:14,,20
2018-05-16:15,10,9
2018-05-16:16,11,10
2018-05-16:17,16,16
2018-05-16:18,22,19
2018-05-16:19,19,19
2018-05-16:20,23,19
2018-05-16:21,25,20
2018-05-16:22,33,26
2018-05-16:23,44,38
2018-05-16:24,62,48
2018-05-17:01,51,38
2018-05-17:02,39,28
2018-05-17:03,22,18
2018-05-17:04,11,12
2018-05-17:05,3,5
2018-05-17:06,5,5
2018-05-17:07,4,4
2018-05-17:08,4,5
2018-05-17:09,3,4
2018-05-17:10,6,7
2018-05-17:11,6,5
2018-05-17:12,8,6
2018-05-17:13,6,5
2018-05-17:14,5,4
2018-05-17:15,13,11
2018-05-17:16,22,13
2018-05-17:17,19,16
2018-05-17:18,19,15
2018-05-17:19,21,15
2018-05-17:20,26,23
2018-05-17:21,14,13
2018-05-17:22,5,7
2018-05-17:23,3,1
2018-05-17:24,3,3
2018-05-18:01,5,4
2018-05-18:02,7,6
2018-05-18:03,,8
2018-05-18:04,,6
2018-05-18:05,4,6
2018-05-18:06,4,5
2018-05-18:07,5,1
2018-05-18:08,3,2
2018-05-18:09,7,1
2018-05-18:10,7,4
2018-05-18:11,8,4
2018-05-18:12,10,4
2018-05-18:13,12,5
2018-05-18:14,10,5
2018-05-18:15,18,7
2018-05-18:16,18,4
2018-05-18:17,16,2
2018-05-18:18,16,3
2018-05-18:19,25,2
2018-05-18:20,19,3
2018-05-18:21,11,1
2018-05-18:22,11,1
2018-05-18:23,9,1
2018-05-18:24,5,1
2018-05-19:01,3,1
2018-05-19:02,3,1
2018-05-19:03,3,2
2018-05-19:04,3,1
2018-05-19:05,3,1
2018-05-19:06,3,2
2018-05-19:07,4,3
2018-05-19:08,5,2
2018-05-19:09,4,2
2018-05-19:10,3,1
2018-05-19:11,4,1
2018-05-19:12,5,3
2018-05-19:13,6,2
2018-05-19:14,5,1
2018-05-19:15,7,2
2018-05-19:16,6,2
2018-05-19:17,5,4
2018-05-19:18,6,4
2018-05-19:19,12,6
2018-05-19:20,11,6
2018-05-19:21,9,6
2018-05-19:22,10,6
2018-05-19:23,11,6
2018-05-19:24,14,8
2018-05-20:01,11,6
2018-05-20:02,11,7
2018-05-20:03,11,8
2018-05-20:04,7,5
2018-05-20:05,9,4
2018-05-20:06,6,4
2018-05-20:07,5,5
2018-05-20:08,4,3
2018-05-20:09,5,3
