time,pm10,pm2.5
2016-05-01:01,58,25
2016-05-01:02,60,31
2016-05-01:03,57,29
2016-05-01:04,58,26
2016-05-01:05,55,24
2016-05-01:06,48,23
2016-05-01:07,53,25
2016-05-01:08,52,23
2016-05-01:09,48,22
2016-05-01:10,47,21
2016-05-01:11,37,13
2016-05-01:12,33,12
2016-05-01:13,39,18
2016-05-01:14,40,17
2016-05-01:15,36,11
2016-05-01:16,28,14
2016-05-01:17,38,16
2016-05-01:18,42,15
2016-05-01:19,44,16
2016-05-01:20,38,17
2016-05-01:21,44,13
2016-05-01:22,43,17
2016-05-01:23,47,15
2016-05-01:24,47,17
2016-05-02:01,35,11
2016-05-02:02,40,20
2016-05-02:03,43,21
2016-05-02:04,43,28
2016-05-02:05,43,18
2016-05-02:06,47,29
2016-05-02:07,46,20
2016-05-02:08,47,21
2016-05-02:09,58,21
2016-05-02:10,51,24
2016-05-02:11,53,28
2016-05-02:12,55,31
2016-05-02:13,58,32
2016-05-02:14,52,27
2016-05-02:15,56,31
2016-05-02:16,50,28
2016-05-02:17,53,28
2016-05-02:18,74,25
2016-05-02:19,56,26
2016-05-02:20,52,27
2016-05-02:21,51,18
2016-05-02:22,39,17
2016-05-02:23,36,13
2016-05-02:24,28,14
2016-05-03:01,33,20
2016-05-03:02,18,
2016-05-03:03,19,12
2016-05-03:04,17,14
2016-05-03:05,13,13
2016-05-03:06,19,11
2016-05-03:07,11,11
2016-05-03:08,11,6
2016-05-03:09,7,10
2016-05-03:10,8,2
2016-05-03:11,5,3
2016-05-03:12,19,19
2016-05-03:13,,
2016-05-03:14,29,16
2016-05-03:15,24,5
2016-05-03:16,18,5
2016-05-03:17,20,5
2016-05-03:18,20,9
2016-05-03:19,27,6
2016-05-03:20,17,6
2016-05-03:21,26,7
2016-05-03:22,32,5
2016-05-03:23,31,9
2016-05-03:24,42,7
2016-05-04:01,40,11
2016-05-04:02,50,14
2016-05-04:03,61,10
2016-05-04:04,54,11
2016-05-04:05,58,8
2016-05-04:06,60,10
2016-05-04:07,58,6
2016-05-04:08,65,8
2016-05-04:09,62,12
2016-05-04:10,75,12
2016-05-04:11,57,11
2016-05-04:12,62,9
2016-05-04:13,59,16
2016-05-04:14,58,13
2016-05-04:15,60,14
2016-05-04:16,47,14
2016-05-04:17,32,8
2016-05-04:18,46,14
2016-05-04:19,48,20
2016-05-04:20,54,12
2016-05-04:21,48,11
2016-05-04:22,37,14
2016-05-04:23,39,9
2016-05-04:24,38,9
2016-05-05:01,49,22
2016-05-05:02,49,21
2016-05-05:03,65,28
2016-05-05:04,63,32
2016-05-05:05,55,26
2016-05-05:06,54,22
2016-05-05:07,51,27
2016-05-05:08,55,13
2016-05-05:09,46,15
2016-05-05:10,49,24
2016-05-05:11,46,15
2016-05-05:12,63,16
2016-05-05:13,78,20
2016-05-05:14,72,16
2016-05-05:15,73,17
2016-05-05:16,58,19
2016-05-05:17,63,23
2016-05-05:18,68,18
2016-05-05:19,52,19
2016-05-05:20,56,19
2016-05-05:21,61,21
2016-05-05:22,54,21
2016-05-05:23,65,27
2016-05-05:24,64,23
2016-05-06:01,42,24
2016-05-06:02,46,28
2016-05-06:03,45,23
2016-05-06:04,49,29
2016-05-06:05,60,28
2016-05-06:06,59,27
2016-05-06:07,60,24
2016-05-06:08,52,28
2016-05-06:09,52,25
2016-05-06:10,45,24
2016-05-06:11,47,26
2016-05-06:12,44,22
2016-05-06:13,26,18
2016-05-06:14,15,7
2016-05-06:15,13,13
2016-05-06:16,12,4
2016-05-06:17,28,
2016-05-06:18,33,20
2016-05-06:19,52,22
2016-05-06:20,53,27
2016-05-06:21,79,24
2016-05-06:22,62,16
2016-05-06:23,65,17
2016-05-06:24,126,12
2016-05-07:01,124,37
2016-05-07:02,218,36
2016-05-07:03,257,33
2016-05-07:04,244,30
2016-05-07:05,213,32
2016-05-07:06,190,33
2016-05-07:07,161,25
2016-05-07:08,145,19
2016-05-07:09,134,27
2016-05-07:10,134,24
2016-05-07:11,128,29
2016-05-07:12,117,19
2016-05-07:13,108,18
2016-05-07:14,56,11
2016-05-07:15,32,7
2016-05-07:16,55,11
2016-05-07:17,49,10
2016-05-07:18,46,11
2016-05-07:19,48,12
2016-05-07:20,57,20
2016-05-07:21,54,20
2016-05-07:22,61,18
2016-05-07:23,60,11
2016-05-07:24,60,15
2016-05-08:01,58,22
2016-05-08:02,48,17
2016-05-08:03,58,21
2016-05-08:04,52,21
2016-05-08:05,51,19
2016-05-08:06,54,19
2016-05-08:07,44,13
2016-05-08:08,46,19
2016-05-08:09,48,7
2016-05-08:10,49,19
2016-05-08:11,61,19
2016-05-08:12,51,11
2016-05-08:13,58,19
2016-05-08:14,54,18
2016-05-08:15,59,12
2016-05-08:16,71,12
2016-05-08:17,62,23
2016-05-08:18,68,21
2016-05-08:19,76,14
2016-05-08:20,58,9
2016-05-08:21,59,24
2016-05-08:22,63,25
2016-05-08:23,69,20
2016-05-08:24,76,24
2016-05-09:01,66,
2016-05-09:02,59,27
2016-05-09:03,68,31
2016-05-09:04,66,27
2016-05-09:05,69,34
2016-05-09:06,66,30
2016-05-09:07,54,27
2016-05-09:08,78,31
2016-05-09:09,72,20
2016-05-09:10,78,25
2016-05-09:11,94,21
2016-05-09:12,62,10
2016-05-09:13,68,23
2016-05-09:14,67,21
2016-05-09:15,47,16
2016-05-09:16,54,15
2016-05-09:17,64,25
2016-05-09:18,65,11
2016-05-09:19,74,21
2016-05-09:20,62,18
2016-05-09:21,61,19
2016-05-09:22,71,18
2016-05-09:23,80,20
2016-05-09:24,87,27
2016-05-10:01,87,18
2016-05-10:02,72,28
2016-05-10:03,68,35
2016-05-10:04,59,20
2016-05-10:05,58,26
2016-05-10:06,32,16
2016-05-10:07,19,11
2016-05-10:08,,15
2016-05-10:09,42,
2016-05-10:10,32,18
2016-05-10:11,37,19
2016-05-10:12,28,15
2016-05-10:13,21,18
2016-05-10:14,19,7
2016-05-10:15,11,7
2016-05-10:16,15,6
2016-05-10:17,8,4
2016-05-10:18,15,14
2016-05-10:19,,15
2016-05-10:20,,15
2016-05-10:21,,14
2016-05-10:22,,11
2016-05-10:23,26,11
2016-05-10:24,20,11
2016-05-11:01,25,
2016-05-11:02,18,9
2016-05-11:03,25,16
2016-05-11:04,22,10
2016-05-11:05,21,11
2016-05-11:06,26,8
2016-05-11:07,18,7
2016-05-11:08,19,2
2016-05-11:09,26,8
2016-05-11:10,36,
2016-05-11:11,34,11
2016-05-11:12,23,4
2016-05-11:13,37,17
2016-05-11:14,46,17
2016-05-11:15,43,24
2016-05-11:16,58,19
2016-05-11:17,40,20
2016-05-11:18,41,14
2016-05-11:19,36,14
2016-05-11:20,37,9
2016-05-11:21,17,6
2016-05-11:22,38,16
2016-05-11:23,38,12
2016-05-11:24,31,13
2016-05-12:01,29,16
2016-05-12:02,30,19
2016-05-12:03,33,20
2016-05-12:04,37,20
2016-05-12:05,40,23
2016-05-12:06,32,18
2016-05-12:07,37,19
2016-05-12:08,21,7
2016-05-12:09,29,10
2016-05-12:10,21,10
2016-05-12:11,19,9
2016-05-12:12,31,20
2016-05-12:13,31,19
2016-05-12:14,32,15
2016-05-12:15,26,15
2016-05-12:16,22,9
2016-05-12:17,22,13
2016-05-12:18,26,17
2016-05-12:19,27,13
2016-05-12:20,30,13
2016-05-12:21,19,14
2016-05-12:22,23,7
2016-05-12:23,26,12
2016-05-12:24,40,18
2016-05-13:01,51,30
2016-05-13:02,56,41
2016-05-13:03,54,32
2016-05-13:04,,46
2016-05-13:05,96,50
2016-05-13:06,97,49
2016-05-13:07,32,21
2016-05-13:08,11,3
2016-05-13:09,13,
2016-05-13:10,21,5
2016-05-13:11,26,11
2016-05-13:12,31,11
2016-05-13:13,25,16
2016-05-13:14,25,15
2016-05-13:15,23,11
2016-05-13:16,31,15
2016-05-13:17,38,20
2016-05-13:18,39,25
2016-05-13:19,31,7
2016-05-13:20,65,25
2016-05-13:21,71,22
2016-05-13:22,62,17
2016-05-13:23,67,27
2016-05-13:24,66,24
2016-05-14:01,71,24
2016-05-14:02,59,27
2016-05-14:03,48,29
2016-05-14:04,50,26
2016-05-14:05,49,26
2016-05-14:06,46,28
2016-05-14:07,44,21
2016-05-14:08,25,15
2016-05-14:09,36,20
2016-05-14:10,22,14
2016-05-14:11,30,15
2016-05-14:12,29,16
2016-05-14:13,30,15
2016-05-14:14,23,11
2016-05-14:15,21,13
2016-05-14:16,14,
2016-05-14:17,33,17
2016-05-14:18,33,18
2016-05-14:19,57,
2016-05-14:20,47,21
2016-05-14:21,41,17
2016-05-14:22,43,19
2016-05-14:23,38,24
2016-05-14:24,53,21
2016-05-15:01,42,29
2016-05-15:02,39,26
2016-05-15:03,31,25
2016-05-15:04,31,24
2016-05-15:05,39,20
2016-05-15:06,43,30
2016-05-15:07,46,22
2016-05-15:08,46,26
2016-05-15:09,47,36
2016-05-15:10,54,29
2016-05-15:11,42,25
2016-05-15:12,41,28
2016-05-15:13,40,16
2016-05-15:14,45,24
2016-05-15:15,51,
2016-05-15:16,27,18
2016-05-15:17,26,14
2016-05-15:18,11,10
2016-05-15:19,1,
2016-05-15:20,,
2016-05-15:21,,
2016-05-15:22,2,1
2016-05-15:23,12,3
2016-05-15:24,1,1
2016-05-16:01,5,
2016-05-16:02,8,5
2016-05-16:03,16,5
2016-05-16:04,18,10
2016-05-16:05,24,10
2016-05-16:06,32,20
2016-05-16:07,23,17
2016-05-16:08,36,10
2016-05-16:09,32,21
2016-05-16:10,35,14
2016-05-16:11,32,19
2016-05-16:12,37,13
2016-05-16:13,32,15
2016-05-16:14,33,13
2016-05-16:15,38,14
2016-05-16:16,48,22
2016-05-16:17,49,25
2016-05-16:18,49,23
2016-05-16:19,61,28
2016-05-16:20,76,36
2016-05-16:21,61,27
2016-05-16:22,62,22
2016-05-16:23,56,27
2016-05-16:24,65,24
2016-05-17:01,61,43
2016-05-17:02,60,45
2016-05-17:03,68,47
2016-05-17:04,56,34
2016-05-17:05,61,32
2016-05-17:06,60,37
2016-05-17:07,60,23
2016-05-17:08,58,32
2016-05-17:09,62,25
2016-05-17:10,64,32
2016-05-17:11,68,40
2016-05-17:12,80,30
2016-05-17:13,88,37
2016-05-17:14,79,32
2016-05-17:15,,
2016-05-17:16,77,41
2016-05-17:17,42,17
2016-05-17:18,47,15
2016-05-17:19,61,22
2016-05-17:20,85,45
2016-05-17:21,56,29
2016-05-17:22,95,32
2016-05-17:23,90,35
2016-05-17:24,77,36
2016-05-18:01,84,49
2016-05-18:02,82,59
2016-05-18:03,75,46
2016-05-18:04,68,39
2016-05-18:05,56,36
2016-05-18:06,58,34
2016-05-18:07,56,26
2016-05-18:08,70,27
2016-05-18:09,71,42
2016-05-18:10,68,35
2016-05-18:11,77,30
2016-05-18:12,71,30
2016-05-18:13,73,32
2016-05-18:14,33,15
2016-05-18:15,,
2016-05-18:16,37,24
2016-05-18:17,45,24
2016-05-18:18,40,19
2016-05-18:19,,
2016-05-18:20,,
2016-05-18:21,57,27
2016-05-18:22,63,30
2016-05-18:23,71,28
2016-05-18:24,65,25
2016-05-19:01,61,
2016-05-19:02,58,34
2016-05-19:03,57,30
2016-05-19:04,52,29
2016-05-19:05,69,35
2016-05-19:06,59,35
2016-05-19:07,52,27
2016-05-19:08,67,33
2016-05-19:09,67,31
2016-05-19:10,50,29
2016-05-19:11,58,34
2016-05-19:12,50,27
2016-05-19:13,27,
2016-05-19:14,40,19
2016-05-19:15,42,19
2016-05-19:16,42,11
2016-05-19:17,52,25
2016-05-19:18,44,16
2016-05-19:19,36,22
2016-05-19:20,32,13
2016-05-19:21,25,16
2016-05-19:22,36,6
2016-05-19:23,49,14
2016-05-19:24,60,20
2016-05-20:01,66,14
2016-05-20:02,55,23
2016-05-20:03,45,20
2016-05-20:04,51,26
2016-05-20:05,61,33
2016-05-20:06,58,40
2016-05-20:07,46,17
2016-05-20:08,43,26
2016-05-20:09,49,24
2016-05-20:10,46,28
2016-05-20:11,31,21
2016-05-20:12,44,26
2016-05-20:13,35,22
2016-05-20:14,23,11
2016-05-20:15,21,17
2016-05-20:16,61,25
2016-05-20:17,117,60
2016-05-20:18,122,66
2016-05-20:19,90,47
2016-05-20:20,107,66
2016-05-20:21,99,46
2016-05-20:22,112,61
2016-05-20:23,101,62
2016-05-20:24,109,60
2016-05-21:01,72,39
2016-05-21:02,41,31
2016-05-21:03,36,30
2016-05-21:04,32,26
2016-05-21:05,37,27
2016-05-21:06,28,24
2016-05-21:07,29,19
2016-05-21:08,29,23
2016-05-21:09,37,20
2016-05-21:10,27,14
2016-05-21:11,35,27
2016-05-21:12,32,16
2016-05-21:13,33,24
2016-05-21:14,33,20
2016-05-21:15,27,13
2016-05-21:16,25,25
2016-05-21:17,36,27
2016-05-21:18,35,24
2016-05-21:19,44,25
2016-05-21:20,52,29
2016-05-21:21,68,26
2016-05-21:22,84,48
2016-05-21:23,72,32
2016-05-21:24,75,31
2016-05-22:01,83,43
2016-05-22:02,73,52
2016-05-22:03,52,41
2016-05-22:04,62,38
2016-05-22:05,61,43
2016-05-22:06,59,44
2016-05-22:07,54,42
2016-05-22:08,46,35
2016-05-22:09,43,31
2016-05-22:10,37,37
2016-05-22:11,55,38
2016-05-22:12,53,46
2016-05-22:13,47,37
2016-05-22:14,45,28
2016-05-22:15,44,18
2016-05-22:16,56,30
2016-05-22:17,81,50
2016-05-22:18,86,51
2016-05-22:19,85,51
2016-05-22:20,93,68
2016-05-22:21,79,45
