time,pm10,pm2.5
2017-08-01:01,37,
2017-08-01:02,35,
2017-08-01:03,29,
2017-08-01:04,21,
2017-08-01:05,25,
2017-08-01:06,29,
2017-08-01:07,29,
2017-08-01:08,36,
2017-08-01:09,47,
2017-08-01:10,51,
2017-08-01:11,46,
2017-08-01:12,45,
2017-08-01:13,35,
2017-08-01:14,34,
2017-08-01:15,37,
2017-08-01:16,48,
2017-08-01:17,52,
2017-08-01:18,71,
2017-08-01:19,58,
2017-08-01:20,47,
2017-08-01:21,48,
2017-08-01:22,40,
2017-08-01:23,42,
2017-08-01:24,60,
2017-08-02:01,57,
2017-08-02:02,60,
2017-08-02:03,44,
2017-08-02:04,55,
2017-08-02:05,62,
2017-08-02:06,73,
2017-08-02:07,100,
2017-08-02:08,101,
2017-08-02:09,112,
2017-08-02:10,81,
2017-08-02:11,65,
2017-08-02:12,59,
2017-08-02:13,69,
2017-08-02:14,62,
2017-08-02:15,,
2017-08-02:16,,
2017-08-02:17,,
2017-08-02:18,,
2017-08-02:19,78,
2017-08-02:20,64,
2017-08-02:21,69,
2017-08-02:22,75,
2017-08-02:23,61,
2017-08-02:24,59,
2017-08-03:01,60,
2017-08-03:02,53,
2017-08-03:03,54,
2017-08-03:04,57,
2017-08-03:05,45,
2017-08-03:06,38,
2017-08-03:07,52,
2017-08-03:08,54,
2017-08-03:09,70,
2017-08-03:10,61,
2017-08-03:11,67,
2017-08-03:12,58,
2017-08-03:13,48,
2017-08-03:14,56,
2017-08-03:15,66,
2017-08-03:16,52,
2017-08-03:17,55,
2017-08-03:18,49,
2017-08-03:19,33,
2017-08-03:20,26,
2017-08-03:21,28,
2017-08-03:22,30,
2017-08-03:23,27,
2017-08-03:24,28,
2017-08-04:01,25,
2017-08-04:02,23,
2017-08-04:03,25,
2017-08-04:04,28,
2017-08-04:05,25,
2017-08-04:06,27,
2017-08-04:07,,
2017-08-04:08,,
2017-08-04:09,,
2017-08-04:10,,
2017-08-04:11,56,
2017-08-04:12,54,
2017-08-04:13,53,
2017-08-04:14,65,
2017-08-04:15,76,
2017-08-04:16,67,
2017-08-04:17,70,
2017-08-04:18,70,
2017-08-04:19,65,
2017-08-04:20,66,
2017-08-04:21,67,
2017-08-04:22,67,
2017-08-04:23,61,
2017-08-04:24,63,
2017-08-05:01,56,
2017-08-05:02,56,
2017-08-05:03,56,
2017-08-05:04,51,
2017-08-05:05,54,
2017-08-05:06,61,
2017-08-05:07,,
2017-08-05:08,68,
2017-08-05:09,84,
2017-08-05:10,83,
2017-08-05:11,76,
2017-08-05:12,67,
2017-08-05:13,55,
