time,pm10,pm2.5
2019-07-01:01,43,33
2019-07-01:02,41,32
2019-07-01:03,32,23
2019-07-01:04,26,21
2019-07-01:05,25,20
2019-07-01:06,27,18
2019-07-01:07,33,22
2019-07-01:08,37,23
2019-07-01:09,44,29
2019-07-01:10,41,25
2019-07-01:11,34,22
2019-07-01:12,40,25
2019-07-01:13,34,20
2019-07-01:14,28,18
2019-07-01:15,32,19
2019-07-01:16,29,16
2019-07-01:17,26,15
2019-07-01:18,19,11
2019-07-01:19,20,13
2019-07-01:20,18,11
2019-07-01:21,18,11
2019-07-01:22,24,15
2019-07-01:23,24,14
2019-07-01:24,21,15
2019-07-02:01,22,14
2019-07-02:02,26,18
2019-07-02:03,28,20
2019-07-02:04,28,20
2019-07-02:05,31,23
2019-07-02:06,31,22
2019-07-02:07,35,23
2019-07-02:08,28,20
2019-07-02:09,29,21
2019-07-02:10,30,21
2019-07-02:11,29,19
2019-07-02:12,30,19
2019-07-02:13,31,21
2019-07-02:14,28,18
2019-07-02:15,31,19
2019-07-02:16,28,17
2019-07-02:17,25,16
2019-07-02:18,24,14
2019-07-02:19,23,13
2019-07-02:20,21,12
2019-07-02:21,23,11
2019-07-02:22,26,16
2019-07-02:23,29,17
2019-07-02:24,25,17
2019-07-03:01,25,18
2019-07-03:02,26,18
2019-07-03:03,29,19
2019-07-03:04,28,19
2019-07-03:05,26,16
2019-07-03:06,29,20
2019-07-03:07,33,24
2019-07-03:08,32,23
2019-07-03:09,35,26
2019-07-03:10,39,24
2019-07-03:11,38,24
2019-07-03:12,42,24
2019-07-03:13,37,26
2019-07-03:14,38,21
2019-07-03:15,35,20
2019-07-03:16,41,21
2019-07-03:17,41,20
2019-07-03:18,38,21
2019-07-03:19,33,19
2019-07-03:20,30,18
2019-07-03:21,25,14
2019-07-03:22,25,17
2019-07-03:23,24,15
2019-07-03:24,32,20
2019-07-04:01,27,18
2019-07-04:02,25,15
2019-07-04:03,24,15
2019-07-04:04,22,15
2019-07-04:05,21,12
2019-07-04:06,25,17
2019-07-04:07,27,17
2019-07-04:08,36,24
2019-07-04:09,41,26
2019-07-04:10,43,26
2019-07-04:11,37,20
2019-07-04:12,36,21
2019-07-04:13,45,30
2019-07-04:14,45,27
2019-07-04:15,39,17
2019-07-04:16,28,16
2019-07-04:17,26,17
2019-07-04:18,21,10
2019-07-04:19,21,11
2019-07-04:20,20,11
2019-07-04:21,27,14
2019-07-04:22,26,16
2019-07-04:23,26,17
2019-07-04:24,31,20
2019-07-05:01,33,20
2019-07-05:02,33,21
2019-07-05:03,31,22
2019-07-05:04,26,18
2019-07-05:05,28,17
2019-07-05:06,33,21
2019-07-05:07,42,25
2019-07-05:08,47,30
2019-07-05:09,45,27
2019-07-05:10,40,25
2019-07-05:11,40,23
2019-07-05:12,39,21
2019-07-05:13,39,20
2019-07-05:14,43,23
2019-07-05:15,66,43
2019-07-05:16,73,49
2019-07-05:17,70,44
2019-07-05:18,47,30
2019-07-05:19,34,23
2019-07-05:20,29,19
2019-07-05:21,27,18
2019-07-05:22,28,16
2019-07-05:23,30,13
2019-07-05:24,31,18
2019-07-06:01,34,18
2019-07-06:02,34,21
2019-07-06:03,34,21
2019-07-06:04,34,21
2019-07-06:05,34,21
2019-07-06:06,39,24
2019-07-06:07,42,24
2019-07-06:08,41,26
2019-07-06:09,32,19
2019-07-06:10,40,22
2019-07-06:11,40,24
2019-07-06:12,36,22
2019-07-06:13,38,26
2019-07-06:14,38,23
2019-07-06:15,31,22
2019-07-06:16,32,21
2019-07-06:17,29,22
2019-07-06:18,33,22
2019-07-06:19,24,16
2019-07-06:20,30,18
2019-07-06:21,32,23
2019-07-06:22,36,22
2019-07-06:23,32,22
2019-07-06:24,30,20
2019-07-07:01,25,15
2019-07-07:02,24,15
2019-07-07:03,23,13
2019-07-07:04,23,16
2019-07-07:05,22,12
2019-07-07:06,23,15
2019-07-07:07,24,15
2019-07-07:08,24,15
2019-07-07:09,22,15
2019-07-07:10,24,15
2019-07-07:11,25,17
2019-07-07:12,22,12
2019-07-07:13,26,17
2019-07-07:14,32,23
2019-07-07:15,18,4
2019-07-07:16,17,10
2019-07-07:17,22,12
2019-07-07:18,16,8
2019-07-07:19,18,5
2019-07-07:20,19,10
2019-07-07:21,16,9
2019-07-07:22,15,6
2019-07-07:23,16,7
2019-07-07:24,13,7
2019-07-08:01,10,8
2019-07-08:02,14,7
2019-07-08:03,12,4
2019-07-08:04,10,6
2019-07-08:05,11,4
2019-07-08:06,15,8
2019-07-08:07,18,10
2019-07-08:08,18,9
2019-07-08:09,23,9
2019-07-08:10,20,9
2019-07-08:11,16,6
2019-07-08:12,14,5
2019-07-08:13,19,6
2019-07-08:14,13,6
2019-07-08:15,13,3
2019-07-08:16,16,6
2019-07-08:17,15,3
2019-07-08:18,16,6
2019-07-08:19,17,7
2019-07-08:20,14,7
2019-07-08:21,13,7
2019-07-08:22,11,4
2019-07-08:23,9,5
2019-07-08:24,11,5
2019-07-09:01,9,6
2019-07-09:02,10,5
2019-07-09:03,8,3
2019-07-09:04,8,5
2019-07-09:05,8,5
2019-07-09:06,15,8
2019-07-09:07,18,9
2019-07-09:08,17,8
2019-07-09:09,15,7
2019-07-09:10,19,8
2019-07-09:11,18,8
2019-07-09:12,17,8
2019-07-09:13,18,10
