time,pm10,pm2.5
2017-08-01:01,18,10
2017-08-01:02,17,10
2017-08-01:03,20,10
2017-08-01:04,17,8
2017-08-01:05,14,4
2017-08-01:06,15,6
2017-08-01:07,15,7
2017-08-01:08,19,7
2017-08-01:09,16,10
2017-08-01:10,12,8
2017-08-01:11,16,11
2017-08-01:12,13,9
2017-08-01:13,15,12
2017-08-01:14,19,12
2017-08-01:15,17,15
2017-08-01:16,15,11
2017-08-01:17,16,10
2017-08-01:18,21,14
2017-08-01:19,26,19
2017-08-01:20,24,16
2017-08-01:21,27,18
2017-08-01:22,25,20
2017-08-01:23,33,26
2017-08-01:24,34,25
2017-08-02:01,38,28
2017-08-02:02,32,22
2017-08-02:03,36,25
2017-08-02:04,34,26
2017-08-02:05,37,25
2017-08-02:06,34,24
2017-08-02:07,34,25
2017-08-02:08,33,25
2017-08-02:09,33,23
2017-08-02:10,32,23
2017-08-02:11,34,23
2017-08-02:12,27,21
2017-08-02:13,28,24
2017-08-02:14,22,20
2017-08-02:15,30,21
2017-08-02:16,33,26
2017-08-02:17,31,25
2017-08-02:18,35,30
2017-08-02:19,42,34
2017-08-02:20,48,38
2017-08-02:21,53,41
2017-08-02:22,44,33
2017-08-02:23,45,33
2017-08-02:24,42,29
2017-08-03:01,43,30
2017-08-03:02,39,27
2017-08-03:03,38,29
2017-08-03:04,39,28
2017-08-03:05,28,19
2017-08-03:06,18,12
2017-08-03:07,16,10
2017-08-03:08,17,12
2017-08-03:09,21,13
2017-08-03:10,32,13
2017-08-03:11,,12
2017-08-03:12,43,13
2017-08-03:13,27,14
2017-08-03:14,29,13
2017-08-03:15,20,12
2017-08-03:16,18,11
2017-08-03:17,23,12
2017-08-03:18,16,10
2017-08-03:19,15,8
2017-08-03:20,18,9
2017-08-03:21,30,8
2017-08-03:22,13,8
2017-08-03:23,13,8
2017-08-03:24,14,9
2017-08-04:01,16,8
2017-08-04:02,14,10
2017-08-04:03,15,13
2017-08-04:04,16,12
2017-08-04:05,18,14
2017-08-04:06,17,13
2017-08-04:07,16,11
2017-08-04:08,14,12
2017-08-04:09,17,13
2017-08-04:10,19,14
2017-08-04:11,14,15
2017-08-04:12,21,16
2017-08-04:13,23,20
2017-08-04:14,27,21
2017-08-04:15,28,21
2017-08-04:16,27,22
2017-08-04:17,28,23
2017-08-04:18,29,23
2017-08-04:19,28,24
2017-08-04:20,32,26
2017-08-04:21,32,25
2017-08-04:22,36,28
2017-08-04:23,38,31
2017-08-04:24,37,31
2017-08-05:01,37,32
2017-08-05:02,38,31
2017-08-05:03,36,29
2017-08-05:04,32,26
2017-08-05:05,33,26
2017-08-05:06,33,24
2017-08-05:07,31,25
2017-08-05:08,24,20
2017-08-05:09,38,17
2017-08-05:10,23,17
2017-08-05:11,21,17
2017-08-05:12,24,18
2017-08-05:13,25,16
2017-08-05:14,24,18
2017-08-05:15,29,23
2017-08-05:16,39,30
2017-08-05:17,31,25
2017-08-05:18,30,24
2017-08-05:19,27,20
2017-08-05:20,25,19
2017-08-05:21,27,22
2017-08-05:22,28,22
2017-08-05:23,28,21
