time,pm10,pm2.5
2016-05-01:01,68,33
2016-05-01:02,61,31
2016-05-01:03,64,28
2016-05-01:04,54,30
2016-05-01:05,51,27
2016-05-01:06,49,23
2016-05-01:07,47,26
2016-05-01:08,55,21
2016-05-01:09,42,24
2016-05-01:10,44,17
2016-05-01:11,42,16
2016-05-01:12,41,16
2016-05-01:13,41,18
2016-05-01:14,48,13
2016-05-01:15,33,12
2016-05-01:16,26,13
2016-05-01:17,36,13
2016-05-01:18,34,13
2016-05-01:19,38,22
2016-05-01:20,38,14
2016-05-01:21,48,16
2016-05-01:22,45,20
2016-05-01:23,42,14
2016-05-01:24,43,17
2016-05-02:01,40,14
2016-05-02:02,49,28
2016-05-02:03,45,19
2016-05-02:04,50,30
2016-05-02:05,46,26
2016-05-02:06,41,28
2016-05-02:07,51,21
2016-05-02:08,43,25
2016-05-02:09,56,21
2016-05-02:10,45,21
2016-05-02:11,48,26
2016-05-02:12,,
2016-05-02:13,54,32
2016-05-02:14,53,30
2016-05-02:15,46,28
2016-05-02:16,46,32
2016-05-02:17,49,25
2016-05-02:18,66,34
2016-05-02:19,56,29
2016-05-02:20,54,31
2016-05-02:21,52,22
2016-05-02:22,38,20
2016-05-02:23,34,18
2016-05-02:24,31,16
2016-05-03:01,25,
2016-05-03:02,22,20
2016-05-03:03,20,15
2016-05-03:04,14,16
2016-05-03:05,29,12
2016-05-03:06,16,11
2016-05-03:07,16,11
2016-05-03:08,6,7
2016-05-03:09,8,2
2016-05-03:10,4,9
2016-05-03:11,10,7
2016-05-03:12,14,10
2016-05-03:13,22,12
2016-05-03:14,24,14
2016-05-03:15,12,4
2016-05-03:16,22,8
2016-05-03:17,17,10
2016-05-03:18,14,
2016-05-03:19,16,10
2016-05-03:20,22,3
2016-05-03:21,25,6
2016-05-03:22,28,7
2016-05-03:23,25,7
2016-05-03:24,36,10
2016-05-04:01,38,21
2016-05-04:02,48,15
2016-05-04:03,56,15
2016-05-04:04,58,9
2016-05-04:05,55,10
