time,pm10,pm2.5
2020-01-01:01,24,15
2020-01-01:02,24,13
2020-01-01:03,27,17
2020-01-01:04,24,14
2020-01-01:05,27,15
2020-01-01:06,25,14
2020-01-01:07,23,14
2020-01-01:08,24,15
2020-01-01:09,26,16
2020-01-01:10,26,16
2020-01-01:11,27,18
2020-01-01:12,29,20
2020-01-01:13,32,23
2020-01-01:14,36,23
2020-01-01:15,38,25
2020-01-01:16,38,26
2020-01-01:17,41,28
2020-01-01:18,43,29
2020-01-01:19,47,30
2020-01-01:20,49,31
2020-01-01:21,51,35
2020-01-01:22,52,35
2020-01-01:23,51,34
2020-01-01:24,47,32
2020-01-02:01,49,33
2020-01-02:02,48,32
2020-01-02:03,47,32
2020-01-02:04,43,30
2020-01-02:05,43,31
2020-01-02:06,43,29
2020-01-02:07,44,32
2020-01-02:08,44,30
2020-01-02:09,45,30
2020-01-02:10,47,30
2020-01-02:11,54,34
2020-01-02:12,54,35
2020-01-02:13,61,40
2020-01-02:14,65,41
2020-01-02:15,73,46
2020-01-02:16,80,49
2020-01-02:17,,
2020-01-02:18,,
2020-01-02:19,73,47
2020-01-02:20,68,44
2020-01-02:21,68,47
2020-01-02:22,69,48
2020-01-02:23,68,50
2020-01-02:24,72,49
2020-01-03:01,75,50
2020-01-03:02,75,52
2020-01-03:03,72,54
2020-01-03:04,68,48
2020-01-03:05,71,53
2020-01-03:06,73,52
2020-01-03:07,76,52
2020-01-03:08,71,49
2020-01-03:09,74,51
2020-01-03:10,75,49
2020-01-03:11,77,49
2020-01-03:12,64,39
2020-01-03:13,63,38
2020-01-03:14,64,39
2020-01-03:15,65,42
2020-01-03:16,68,45
2020-01-03:17,82,48
2020-01-03:18,81,49
2020-01-03:19,77,45
2020-01-03:20,58,36
2020-01-03:21,69,43
2020-01-03:22,72,42
2020-01-03:23,65,38
2020-01-03:24,67,42
2020-01-04:01,74,48
2020-01-04:02,63,40
2020-01-04:03,58,38
2020-01-04:04,52,34
2020-01-04:05,55,38
2020-01-04:06,52,34
2020-01-04:07,54,37
2020-01-04:08,53,37
2020-01-04:09,58,39
2020-01-04:10,64,42
2020-01-04:11,73,48
2020-01-04:12,74,49
2020-01-04:13,75,49
2020-01-04:14,59,39
2020-01-04:15,46,29
2020-01-04:16,39,23
2020-01-04:17,40,24
2020-01-04:18,42,27
2020-01-04:19,43,31
2020-01-04:20,47,31
2020-01-04:21,44,30
2020-01-04:22,46,29
2020-01-04:23,49,33
2020-01-04:24,49,32
2020-01-05:01,48,31
2020-01-05:02,52,33
2020-01-05:03,53,34
2020-01-05:04,57,38
2020-01-05:05,58,39
2020-01-05:06,55,35
2020-01-05:07,54,37
2020-01-05:08,56,38
2020-01-05:09,56,38
2020-01-05:10,56,37
2020-01-05:11,60,43
2020-01-05:12,65,47
2020-01-05:13,60,41
2020-01-05:14,42,29
2020-01-05:15,39,27
2020-01-05:16,44,30
2020-01-05:17,44,32
2020-01-05:18,47,32
2020-01-05:19,47,31
2020-01-05:20,50,33
2020-01-05:21,53,37
2020-01-05:22,59,39
2020-01-05:23,55,37
2020-01-05:24,50,32
2020-01-06:01,53,30
2020-01-06:02,46,30
2020-01-06:03,42,32
2020-01-06:04,41,30
2020-01-06:05,41,31
2020-01-06:06,43,32
2020-01-06:07,42,33
2020-01-06:08,44,30
2020-01-06:09,49,31
2020-01-06:10,51,33
2020-01-06:11,51,34
2020-01-06:12,53,35
2020-01-06:13,57,38
2020-01-06:14,53,35
2020-01-06:15,51,35
2020-01-06:16,45,28
2020-01-06:17,38,25
2020-01-06:18,32,21
2020-01-06:19,30,19
2020-01-06:20,29,19
2020-01-06:21,27,20
2020-01-06:22,26,17
2020-01-06:23,23,16
2020-01-06:24,16,11
2020-01-07:01,12,9
2020-01-07:02,11,7
2020-01-07:03,8,7
2020-01-07:04,9,5
2020-01-07:05,8,5
2020-01-07:06,6,4
2020-01-07:07,9,2
2020-01-07:08,7,3
2020-01-07:09,9,4
2020-01-07:10,9,4
2020-01-07:11,9,5
2020-01-07:12,11,6
2020-01-07:13,13,6
2020-01-07:14,14,10
2020-01-07:15,12,11
2020-01-07:16,9,5
2020-01-07:17,8,7
2020-01-07:18,6,2
2020-01-07:19,8,6
2020-01-07:20,10,9
2020-01-07:21,12,8
2020-01-07:22,10,7
2020-01-07:23,7,1
2020-01-07:24,7,3
2020-01-08:01,,
2020-01-08:02,8,1
2020-01-08:03,,15
2020-01-08:04,,
2020-01-08:05,5,1
2020-01-08:06,3,2
2020-01-08:07,5,1
2020-01-08:08,4,1
2020-01-08:09,7,2
2020-01-08:10,9,6
2020-01-08:11,19,12
2020-01-08:12,22,17
2020-01-08:13,36,28
2020-01-08:14,44,34
2020-01-08:15,41,31
2020-01-08:16,37,28
2020-01-08:17,42,33
2020-01-08:18,48,35
2020-01-08:19,60,44
2020-01-08:20,62,45
2020-01-08:21,62,48
2020-01-08:22,52,41
2020-01-08:23,47,37
2020-01-08:24,46,36
2020-01-09:01,50,38
2020-01-09:02,47,36
2020-01-09:03,49,40
2020-01-09:04,49,39
2020-01-09:05,49,39
2020-01-09:06,52,40
2020-01-09:07,56,40
