time,pm10,pm2.5
2016-02-01:01,42,27
2016-02-01:02,39,23
2016-02-01:03,42,23
2016-02-01:04,43,25
2016-02-01:05,39,24
2016-02-01:06,42,23
2016-02-01:07,41,23
2016-02-01:08,41,20
2016-02-01:09,42,22
2016-02-01:10,44,26
2016-02-01:11,46,27
2016-02-01:12,44,23
2016-02-01:13,43,27
2016-02-01:14,39,24
2016-02-01:15,39,23
2016-02-01:16,41,26
2016-02-01:17,36,22
2016-02-01:18,39,22
2016-02-01:19,41,22
2016-02-01:20,41,22
2016-02-01:21,41,27
2016-02-01:22,46,28
2016-02-01:23,47,28
2016-02-01:24,46,30
2016-02-02:01,46,26
2016-02-02:02,43,23
2016-02-02:03,42,24
2016-02-02:04,43,27
2016-02-02:05,46,27
2016-02-02:06,46,27
2016-02-02:07,50,31
2016-02-02:08,62,37
2016-02-02:09,69,40
2016-02-02:10,67,41
2016-02-02:11,73,48
2016-02-02:12,75,46
2016-02-02:13,45,28
2016-02-02:14,53,30
2016-02-02:15,56,33
2016-02-02:16,51,32
2016-02-02:17,45,27
2016-02-02:18,47,30
2016-02-02:19,45,28
2016-02-02:20,48,30
2016-02-02:21,55,34
2016-02-02:22,50,29
2016-02-02:23,49,30
2016-02-02:24,55,31
2016-02-03:01,56,34
2016-02-03:02,68,41
2016-02-03:03,66,41
2016-02-03:04,59,39
2016-02-03:05,62,40
2016-02-03:06,61,42
2016-02-03:07,61,40
2016-02-03:08,66,42
2016-02-03:09,71,46
2016-02-03:10,77,49
2016-02-03:11,88,56
2016-02-03:12,94,61
2016-02-03:13,82,52
2016-02-03:14,62,39
2016-02-03:15,57,36
2016-02-03:16,63,37
2016-02-03:17,58,36
2016-02-03:18,48,35
2016-02-03:19,51,35
2016-02-03:20,53,35
2016-02-03:21,56,39
2016-02-03:22,58,39
2016-02-03:23,65,44
2016-02-03:24,68,47
2016-02-04:01,69,51
2016-02-04:02,72,51
2016-02-04:03,74,53
2016-02-04:04,68,50
2016-02-04:05,65,48
2016-02-04:06,70,51
2016-02-04:07,74,55
2016-02-04:08,73,56
2016-02-04:09,88,66
2016-02-04:10,94,74
2016-02-04:11,96,70
2016-02-04:12,75,54
2016-02-04:13,66,45
2016-02-04:14,59,37
2016-02-04:15,55,32
2016-02-04:16,60,36
2016-02-04:17,54,28
2016-02-04:18,63,35
2016-02-04:19,65,37
2016-02-04:20,55,27
2016-02-04:21,57,33
2016-02-04:22,52,31
2016-02-04:23,48,27
2016-02-04:24,51,29
2016-02-05:01,41,22
2016-02-05:02,30,18
2016-02-05:03,32,19
2016-02-05:04,31,18
2016-02-05:05,31,19
2016-02-05:06,33,21
2016-02-05:07,39,22
2016-02-05:08,48,30
2016-02-05:09,54,35
2016-02-05:10,60,37
2016-02-05:11,65,36
2016-02-05:12,,
2016-02-05:13,,
2016-02-05:14,42,27
2016-02-05:15,44,24
2016-02-05:16,39,22
2016-02-05:17,38,22
2016-02-05:18,48,26
2016-02-05:19,55,30
2016-02-05:20,56,32
2016-02-05:21,53,30
2016-02-05:22,53,30
2016-02-05:23,50,32
2016-02-05:24,50,31
2016-02-06:01,55,36
2016-02-06:02,52,32
2016-02-06:03,48,27
2016-02-06:04,47,29
2016-02-06:05,45,27
2016-02-06:06,43,24
2016-02-06:07,42,24
2016-02-06:08,47,28
2016-02-06:09,54,35
2016-02-06:10,54,33
2016-02-06:11,50,28
2016-02-06:12,57,32
2016-02-06:13,58,34
2016-02-06:14,59,39
2016-02-06:15,65,38
2016-02-06:16,58,35
2016-02-06:17,50,26
2016-02-06:18,52,32
2016-02-06:19,53,30
2016-02-06:20,55,30
2016-02-06:21,61,32
2016-02-06:22,63,29
2016-02-06:23,63,28
2016-02-06:24,64,32
2016-02-07:01,70,34
2016-02-07:02,69,36
2016-02-07:03,66,34
2016-02-07:04,64,34
2016-02-07:05,63,35
2016-02-07:06,74,41
2016-02-07:07,76,42
2016-02-07:08,74,40
2016-02-07:09,74,41
2016-02-07:10,72,42
2016-02-07:11,79,46
2016-02-07:12,75,42
2016-02-07:13,59,34
2016-02-07:14,43,26
2016-02-07:15,40,28
2016-02-07:16,37,27
2016-02-07:17,31,23
2016-02-07:18,32,25
2016-02-07:19,30,21
2016-02-07:20,29,18
2016-02-07:21,27,21
2016-02-07:22,28,22
2016-02-07:23,36,27
2016-02-07:24,37,26
2016-02-08:01,40,30
2016-02-08:02,44,32
2016-02-08:03,44,33
2016-02-08:04,41,30
2016-02-08:05,38,29
2016-02-08:06,36,33
2016-02-08:07,42,31
2016-02-08:08,43,32
2016-02-08:09,43,31
2016-02-08:10,41,30
2016-02-08:11,40,26
2016-02-08:12,37,28
2016-02-08:13,57,36
2016-02-08:14,70,45
2016-02-08:15,89,47
2016-02-08:16,112,57
2016-02-08:17,109,65
2016-02-08:18,107,63
2016-02-08:19,,
2016-02-08:20,119,77
2016-02-08:21,122,78
2016-02-08:22,118,70
2016-02-08:23,150,96
2016-02-08:24,180,121
2016-02-09:01,127,83
2016-02-09:02,61,40
2016-02-09:03,57,38
2016-02-09:04,59,40
2016-02-09:05,59,41
2016-02-09:06,59,39
2016-02-09:07,54,37
2016-02-09:08,56,40
2016-02-09:09,62,39
2016-02-09:10,62,41
2016-02-09:11,52,34
2016-02-09:12,46,27
