time,pm10,pm2.5
2016-11-01:01,27,
2016-11-01:02,27,
2016-11-01:03,24,
2016-11-01:04,24,
2016-11-01:05,23,
2016-11-01:06,18,
2016-11-01:07,18,
2016-11-01:08,17,
2016-11-01:09,28,
2016-11-01:10,28,
2016-11-01:11,22,
2016-11-01:12,16,
2016-11-01:13,28,
2016-11-01:14,28,
2016-11-01:15,27,
2016-11-01:16,27,
2016-11-01:17,28,
2016-11-01:18,27,
2016-11-01:19,23,
2016-11-01:20,40,
2016-11-01:21,40,
2016-11-01:22,25,
2016-11-01:23,33,
2016-11-01:24,33,
2016-11-02:01,23,
2016-11-02:02,23,
2016-11-02:03,21,
2016-11-02:04,21,
2016-11-02:05,17,
2016-11-02:06,28,
2016-11-02:07,27,
2016-11-02:08,47,
2016-11-02:09,47,
2016-11-02:10,38,
2016-11-02:11,41,
2016-11-02:12,40,
2016-11-02:13,28,
2016-11-02:14,39,
2016-11-02:15,44,
2016-11-02:16,43,
2016-11-02:17,40,
2016-11-02:18,39,
2016-11-02:19,32,
2016-11-02:20,49,
2016-11-02:21,48,
2016-11-02:22,30,
2016-11-02:23,27,
2016-11-02:24,35,
2016-11-03:01,22,
2016-11-03:02,38,
2016-11-03:03,38,
2016-11-03:04,27,
2016-11-03:05,27,
2016-11-03:06,31,
2016-11-03:07,31,
2016-11-03:08,45,
2016-11-03:09,45,
2016-11-03:10,53,
2016-11-03:11,59,
2016-11-03:12,62,
2016-11-03:13,62,
2016-11-03:14,62,
2016-11-03:15,41,
2016-11-03:16,48,
2016-11-03:17,56,
2016-11-03:18,55,
2016-11-03:19,43,
2016-11-03:20,43,
2016-11-03:21,39,
2016-11-03:22,48,
2016-11-03:23,47,
2016-11-03:24,52,
2016-11-04:01,50,
2016-11-04:02,65,
2016-11-04:03,65,
2016-11-04:04,53,
2016-11-04:05,54,
2016-11-04:06,54,
2016-11-04:07,51,
2016-11-04:08,43,
2016-11-04:09,53,
2016-11-04:10,54,
2016-11-04:11,72,
2016-11-04:12,73,
2016-11-04:13,59,
2016-11-04:14,77,
2016-11-04:15,76,
2016-11-04:16,44,
2016-11-04:17,46,
2016-11-04:18,58,
2016-11-04:19,66,
2016-11-04:20,66,
2016-11-04:21,59,
2016-11-04:22,71,
2016-11-04:23,91,
2016-11-04:24,92,
2016-11-05:01,69,
2016-11-05:02,69,
2016-11-05:03,71,
2016-11-05:04,72,
2016-11-05:05,58,
2016-11-05:06,54,
2016-11-05:07,54,
2016-11-05:08,55,
2016-11-05:09,54,
2016-11-05:10,55,
2016-11-05:11,71,
2016-11-05:12,72,
2016-11-05:13,85,
2016-11-05:14,85,
2016-11-05:15,83,
2016-11-05:16,83,
2016-11-05:17,87,
2016-11-05:18,101,
2016-11-05:19,100,
2016-11-05:20,98,
2016-11-05:21,96,
2016-11-05:22,93,
