time,pm10,pm2.5
2016-12-01:01,37,26
2016-12-01:02,48,32
2016-12-01:03,65,42
2016-12-01:04,86,60
2016-12-01:05,105,67
2016-12-01:06,95,59
2016-12-01:07,89,57
2016-12-01:08,83,54
2016-12-01:09,78,50
2016-12-01:10,77,50
2016-12-01:11,71,46
2016-12-01:12,37,23
2016-12-01:13,29,14
2016-12-01:14,27,12
2016-12-01:15,25,10
2016-12-01:16,20,9
2016-12-01:17,29,10
2016-12-01:18,31,12
2016-12-01:19,28,14
2016-12-01:20,26,13
2016-12-01:21,23,10
2016-12-01:22,19,11
2016-12-01:23,17,9
2016-12-01:24,21,9
2016-12-02:01,21,9
2016-12-02:02,21,10
2016-12-02:03,22,11
2016-12-02:04,21,12
2016-12-02:05,21,12
2016-12-02:06,24,12
2016-12-02:07,28,14
2016-12-02:08,33,15
2016-12-02:09,35,15
2016-12-02:10,41,22
2016-12-02:11,47,27
2016-12-02:12,42,20
2016-12-02:13,33,15
2016-12-02:14,33,17
2016-12-02:15,29,17
2016-12-02:16,31,14
2016-12-02:17,39,20
2016-12-02:18,38,24
2016-12-02:19,30,17
2016-12-02:20,36,19
2016-12-02:21,32,15
2016-12-02:22,32,17
2016-12-02:23,39,20
2016-12-02:24,39,22
2016-12-03:01,41,23
2016-12-03:02,46,26
2016-12-03:03,42,25
2016-12-03:04,46,29
2016-12-03:05,44,26
2016-12-03:06,39,25
2016-12-03:07,35,23
2016-12-03:08,39,23
2016-12-03:09,39,28
2016-12-03:10,42,27
2016-12-03:11,56,31
2016-12-03:12,56,33
2016-12-03:13,45,28
2016-12-03:14,46,28
2016-12-03:15,46,31
2016-12-03:16,48,34
2016-12-03:17,56,40
2016-12-03:18,63,44
2016-12-03:19,62,47
2016-12-03:20,66,49
2016-12-03:21,68,52
2016-12-03:22,64,53
2016-12-03:23,64,52
2016-12-03:24,66,51
2016-12-04:01,71,51
2016-12-04:02,71,53
2016-12-04:03,69,50
2016-12-04:04,66,52
2016-12-04:05,68,53
2016-12-04:06,68,54
2016-12-04:07,73,55
2016-12-04:08,70,56
2016-12-04:09,72,57
2016-12-04:10,72,59
2016-12-04:11,77,61
2016-12-04:12,80,62
2016-12-04:13,81,62
2016-12-04:14,83,65
2016-12-04:15,79,64
2016-12-04:16,83,65
2016-12-04:17,88,67
2016-12-04:18,89,68
2016-12-04:19,87,65
2016-12-04:20,84,65
2016-12-04:21,88,71
2016-12-04:22,91,75
2016-12-04:23,94,76
2016-12-04:24,95,79
2016-12-05:01,93,78
2016-12-05:02,94,80
2016-12-05:03,95,82
2016-12-05:04,89,77
2016-12-05:05,90,80
2016-12-05:06,90,80
2016-12-05:07,90,77
2016-12-05:08,87,77
2016-12-05:09,93,78
2016-12-05:10,99,81
2016-12-05:11,110,87
2016-12-05:12,127,90
2016-12-05:13,121,87
2016-12-05:14,117,91
2016-12-05:15,,
2016-12-05:16,,
2016-12-05:17,103,78
2016-12-05:18,89,68
2016-12-05:19,70,47
2016-12-05:20,59,36
2016-12-05:21,41,26
2016-12-05:22,30,21
2016-12-05:23,32,22
2016-12-05:24,29,17
2016-12-06:01,28,17
2016-12-06:02,29,18
2016-12-06:03,32,20
2016-12-06:04,33,19
2016-12-06:05,31,20
2016-12-06:06,31,21
2016-12-06:07,27,16
2016-12-06:08,23,12
2016-12-06:09,21,9
2016-12-06:10,20,8
2016-12-06:11,23,11
2016-12-06:12,20,9
2016-12-06:13,12,3
2016-12-06:14,15,5
2016-12-06:15,23,14
2016-12-06:16,26,15
2016-12-06:17,24,10
2016-12-06:18,19,10
2016-12-06:19,23,13
2016-12-06:20,39,
2016-12-06:21,28,16
2016-12-06:22,21,9
2016-12-06:23,20,8
2016-12-06:24,20,9
2016-12-07:01,28,13
