time,pm10,pm2.5
2016-05-01:01,49,
2016-05-01:02,49,
2016-05-01:03,48,
2016-05-01:04,47,
2016-05-01:05,45,
2016-05-01:06,44,
2016-05-01:07,49,
2016-05-01:08,53,
2016-05-01:09,54,
2016-05-01:10,49,
2016-05-01:11,42,
2016-05-01:12,37,
2016-05-01:13,40,
2016-05-01:14,37,
2016-05-01:15,34,
2016-05-01:16,31,
2016-05-01:17,26,
2016-05-01:18,25,
2016-05-01:19,22,
2016-05-01:20,18,
2016-05-01:21,25,
2016-05-01:22,32,
2016-05-01:23,30,
2016-05-01:24,29,
2016-05-02:01,34,
2016-05-02:02,34,
2016-05-02:03,33,
2016-05-02:04,35,
2016-05-02:05,33,
2016-05-02:06,38,
2016-05-02:07,40,
2016-05-02:08,44,
2016-05-02:09,43,
2016-05-02:10,44,
2016-05-02:11,44,
2016-05-02:12,48,
2016-05-02:13,48,
2016-05-02:14,47,
2016-05-02:15,53,
2016-05-02:16,46,
2016-05-02:17,42,
2016-05-02:18,46,
2016-05-02:19,39,
2016-05-02:20,38,
2016-05-02:21,35,
2016-05-02:22,38,
2016-05-02:23,35,
2016-05-02:24,31,
2016-05-03:01,24,
2016-05-03:02,22,
2016-05-03:03,26,
2016-05-03:04,22,
2016-05-03:05,17,
2016-05-03:06,24,
2016-05-03:07,21,
2016-05-03:08,17,
2016-05-03:09,15,
2016-05-03:10,16,
2016-05-03:11,17,
2016-05-03:12,19,
2016-05-03:13,18,
2016-05-03:14,20,
2016-05-03:15,16,
2016-05-03:16,20,
2016-05-03:17,21,
2016-05-03:18,17,
2016-05-03:19,25,
2016-05-03:20,18,
2016-05-03:21,16,
2016-05-03:22,19,
2016-05-03:23,20,
2016-05-03:24,30,
2016-05-04:01,32,
2016-05-04:02,38,
2016-05-04:03,40,
2016-05-04:04,43,
2016-05-04:05,43,
2016-05-04:06,42,
2016-05-04:07,44,
2016-05-04:08,49,
2016-05-04:09,51,
2016-05-04:10,54,
2016-05-04:11,47,
2016-05-04:12,49,
2016-05-04:13,43,
2016-05-04:14,39,
2016-05-04:15,41,
2016-05-04:16,39,
2016-05-04:17,28,
2016-05-04:18,34,
2016-05-04:19,36,
2016-05-04:20,34,
2016-05-04:21,33,
2016-05-04:22,35,
2016-05-04:23,28,
2016-05-04:24,30,
2016-05-05:01,31,
2016-05-05:02,31,
2016-05-05:03,38,
2016-05-05:04,43,
2016-05-05:05,45,
2016-05-05:06,48,
2016-05-05:07,48,
2016-05-05:08,47,
2016-05-05:09,46,
2016-05-05:10,48,
2016-05-05:11,50,
2016-05-05:12,61,
2016-05-05:13,63,
2016-05-05:14,55,
2016-05-05:15,59,
2016-05-05:16,57,
2016-05-05:17,48,
2016-05-05:18,48,
2016-05-05:19,37,
2016-05-05:20,43,
2016-05-05:21,39,
2016-05-05:22,45,
2016-05-05:23,45,
2016-05-05:24,32,
2016-05-06:01,33,
2016-05-06:02,34,
2016-05-06:03,35,
2016-05-06:04,38,
2016-05-06:05,41,
2016-05-06:06,43,
2016-05-06:07,46,
2016-05-06:08,48,
2016-05-06:09,44,
2016-05-06:10,43,
2016-05-06:11,52,
2016-05-06:12,44,
2016-05-06:13,37,
2016-05-06:14,28,
2016-05-06:15,25,
2016-05-06:16,19,
2016-05-06:17,22,
2016-05-06:18,26,
2016-05-06:19,35,
2016-05-06:20,47,
2016-05-06:21,45,
2016-05-06:22,49,
2016-05-06:23,104,
2016-05-06:24,150,
2016-05-07:01,134,
2016-05-07:02,147,
