time,pm10,pm2.5
2019-07-01:01,40,29
2019-07-01:02,36,29
2019-07-01:03,37,30
2019-07-01:04,41,27
2019-07-01:05,32,22
2019-07-01:06,33,24
2019-07-01:07,30,22
2019-07-01:08,31,22
2019-07-01:09,24,17
2019-07-01:10,24,17
2019-07-01:11,28,19
2019-07-01:12,31,21
2019-07-01:13,33,23
2019-07-01:14,32,22
2019-07-01:15,30,22
2019-07-01:16,27,18
2019-07-01:17,25,15
2019-07-01:18,31,17
2019-07-01:19,24,13
2019-07-01:20,22,15
2019-07-01:21,21,15
2019-07-01:22,22,14
2019-07-01:23,20,14
2019-07-01:24,24,16
2019-07-02:01,27,19
2019-07-02:02,26,18
2019-07-02:03,32,19
2019-07-02:04,29,20
2019-07-02:05,29,19
2019-07-02:06,30,23
2019-07-02:07,28,21
2019-07-02:08,27,20
2019-07-02:09,27,19
2019-07-02:10,26,19
2019-07-02:11,24,19
2019-07-02:12,28,22
2019-07-02:13,24,20
2019-07-02:14,26,20
2019-07-02:15,30,19
2019-07-02:16,32,20
2019-07-02:17,29,19
2019-07-02:18,26,18
2019-07-02:19,25,19
2019-07-02:20,25,17
2019-07-02:21,19,15
2019-07-02:22,20,13
2019-07-02:23,20,13
2019-07-02:24,21,14
2019-07-03:01,23,17
2019-07-03:02,27,18
2019-07-03:03,37,24
2019-07-03:04,32,22
2019-07-03:05,28,19
2019-07-03:06,30,21
2019-07-03:07,32,25
2019-07-03:08,33,23
2019-07-03:09,30,24
2019-07-03:10,23,18
2019-07-03:11,23,17
2019-07-03:12,30,20
2019-07-03:13,34,22
2019-07-03:14,32,22
2019-07-03:15,30,20
2019-07-03:16,31,20
2019-07-03:17,31,20
2019-07-03:18,32,20
2019-07-03:19,28,16
2019-07-03:20,35,18
2019-07-03:21,34,20
2019-07-03:22,27,18
2019-07-03:23,23,18
2019-07-03:24,37,19
2019-07-04:01,28,20
2019-07-04:02,29,18
2019-07-04:03,31,21
2019-07-04:04,34,21
2019-07-04:05,32,19
2019-07-04:06,26,17
2019-07-04:07,23,15
2019-07-04:08,27,18
2019-07-04:09,26,17
2019-07-04:10,28,17
2019-07-04:11,26,16
2019-07-04:12,27,17
2019-07-04:13,28,18
2019-07-04:14,26,17
2019-07-04:15,33,17
2019-07-04:16,,
2019-07-04:17,,
2019-07-04:18,27,13
2019-07-04:19,24,13
2019-07-04:20,24,13
2019-07-04:21,24,15
2019-07-04:22,26,17
2019-07-04:23,29,20
2019-07-04:24,28,19
2019-07-05:01,27,19
2019-07-05:02,23,18
2019-07-05:03,22,18
2019-07-05:04,19,15
2019-07-05:05,19,15
2019-07-05:06,23,16
2019-07-05:07,26,15
2019-07-05:08,30,17
2019-07-05:09,26,15
2019-07-05:10,24,13
2019-07-05:11,29,16
2019-07-05:12,36,20
2019-07-05:13,32,20
2019-07-05:14,33,20
2019-07-05:15,29,20
2019-07-05:16,42,26
2019-07-05:17,58,41
2019-07-05:18,52,35
2019-07-05:19,40,28
2019-07-05:20,29,21
2019-07-05:21,20,15
2019-07-05:22,18,12
2019-07-05:23,16,10
2019-07-05:24,20,13
2019-07-06:01,21,14
2019-07-06:02,22,16
2019-07-06:03,28,19
2019-07-06:04,38,22
2019-07-06:05,28,21
2019-07-06:06,30,23
2019-07-06:07,30,24
2019-07-06:08,30,24
2019-07-06:09,30,24
2019-07-06:10,32,24
2019-07-06:11,32,23
2019-07-06:12,27,20
2019-07-06:13,24,16
2019-07-06:14,28,19
2019-07-06:15,24,18
2019-07-06:16,26,18
2019-07-06:17,23,18
2019-07-06:18,26,21
2019-07-06:19,33,22
2019-07-06:20,43,22
2019-07-06:21,31,24
2019-07-06:22,30,22
2019-07-06:23,27,20
2019-07-06:24,26,20
2019-07-07:01,21,17
2019-07-07:02,22,17
2019-07-07:03,21,16
2019-07-07:04,21,16
2019-07-07:05,20,17
2019-07-07:06,20,16
2019-07-07:07,18,14
2019-07-07:08,19,15
2019-07-07:09,19,13
2019-07-07:10,17,12
2019-07-07:11,15,11
2019-07-07:12,16,12
2019-07-07:13,13,12
2019-07-07:14,13,9
2019-07-07:15,11,8
2019-07-07:16,13,8
2019-07-07:17,12,8
2019-07-07:18,13,9
2019-07-07:19,11,12
2019-07-07:20,14,10
2019-07-07:21,12,10
2019-07-07:22,14,9
2019-07-07:23,12,7
2019-07-07:24,12,7
2019-07-08:01,11,9
2019-07-08:02,10,7
2019-07-08:03,9,6
2019-07-08:04,11,6
2019-07-08:05,11,5
2019-07-08:06,8,6
2019-07-08:07,9,5
2019-07-08:08,10,6
2019-07-08:09,8,6
2019-07-08:10,10,5
2019-07-08:11,6,4
2019-07-08:12,7,4
2019-07-08:13,9,4
2019-07-08:14,8,5
2019-07-08:15,7,4
2019-07-08:16,8,5
2019-07-08:17,7,5
2019-07-08:18,10,5
2019-07-08:19,9,4
2019-07-08:20,11,8
2019-07-08:21,15,9
2019-07-08:22,18,6
2019-07-08:23,9,6
2019-07-08:24,10,5
2019-07-09:01,9,4
2019-07-09:02,8,5
2019-07-09:03,10,6
2019-07-09:04,9,5
2019-07-09:05,10,4
2019-07-09:06,9,5
2019-07-09:07,4,5
2019-07-09:08,9,4
2019-07-09:09,12,1
2019-07-09:10,7,2
2019-07-09:11,5,5
2019-07-09:12,9,7
2019-07-09:13,9,8
2019-07-09:14,21,6
2019-07-09:15,12,7
2019-07-09:16,10,6
2019-07-09:17,9,8
2019-07-09:18,11,8
2019-07-09:19,11,10
2019-07-09:20,15,10
2019-07-09:21,14,9
2019-07-09:22,11,8
2019-07-09:23,9,7
2019-07-09:24,9,6
2019-07-10:01,9,6
2019-07-10:02,8,6
2019-07-10:03,6,5
2019-07-10:04,7,5
2019-07-10:05,6,4
2019-07-10:06,7,5
2019-07-10:07,7,6
2019-07-10:08,8,5
2019-07-10:09,8,4
2019-07-10:10,10,5
2019-07-10:11,13,6
2019-07-10:12,14,6
2019-07-10:13,11,7
2019-07-10:14,12,8
2019-07-10:15,9,7
2019-07-10:16,11,6
2019-07-10:17,10,6
2019-07-10:18,11,6
2019-07-10:19,10,6
2019-07-10:20,12,8
2019-07-10:21,9,6
2019-07-10:22,11,7
2019-07-10:23,11,4
2019-07-10:24,7,4
2019-07-11:01,3,3
2019-07-11:02,4,2
2019-07-11:03,3,1
2019-07-11:04,4,2
2019-07-11:05,3,1
2019-07-11:06,5,2
2019-07-11:07,7,1
2019-07-11:08,4,1
2019-07-11:09,3,3
2019-07-11:10,6,2
2019-07-11:11,7,3
2019-07-11:12,5,3
2019-07-11:13,5,5
2019-07-11:14,6,4
2019-07-11:15,5,5
2019-07-11:16,6,3
2019-07-11:17,5,4
2019-07-11:18,6,3
2019-07-11:19,5,2
2019-07-11:20,7,5
2019-07-11:21,4,2
2019-07-11:22,5,2
2019-07-11:23,4,1
2019-07-11:24,5,2
2019-07-12:01,4,2
2019-07-12:02,4,2
2019-07-12:03,5,2
2019-07-12:04,6,3
2019-07-12:05,5,2
2019-07-12:06,6,3
2019-07-12:07,7,5
2019-07-12:08,9,5
2019-07-12:09,9,6
2019-07-12:10,11,6
2019-07-12:11,15,10
2019-07-12:12,16,10
2019-07-12:13,19,14
2019-07-12:14,16,11
2019-07-12:15,15,13
2019-07-12:16,16,12
2019-07-12:17,19,11
2019-07-12:18,18,13
2019-07-12:19,15,12
2019-07-12:20,16,11
2019-07-12:21,14,12
2019-07-12:22,14,11
2019-07-12:23,16,13
2019-07-12:24,17,13
2019-07-13:01,20,15
2019-07-13:02,20,15
2019-07-13:03,26,15
2019-07-13:04,23,17
2019-07-13:05,21,16
2019-07-13:06,24,17
2019-07-13:07,25,16
2019-07-13:08,27,19
2019-07-13:09,32,21
2019-07-13:10,28,20
2019-07-13:11,30,22
2019-07-13:12,33,26
2019-07-13:13,32,25
2019-07-13:14,30,25
2019-07-13:15,30,24
2019-07-13:16,29,24
2019-07-13:17,34,26
2019-07-13:18,37,28
2019-07-13:19,35,29
2019-07-13:20,33,29
2019-07-13:21,33,28
2019-07-13:22,33,28
2019-07-13:23,30,25
2019-07-13:24,29,23
2019-07-14:01,24,22
2019-07-14:02,30,24
2019-07-14:03,32,25
2019-07-14:04,31,23
2019-07-14:05,33,24
2019-07-14:06,41,29
2019-07-14:07,47,33
2019-07-14:08,50,35
2019-07-14:09,48,33
2019-07-14:10,51,37
2019-07-14:11,49,35
2019-07-14:12,41,32
2019-07-14:13,39,33
2019-07-14:14,33,29
2019-07-14:15,43,39
2019-07-14:16,54,46
2019-07-14:17,43,39
2019-07-14:18,36,31
2019-07-14:19,35,31
2019-07-14:20,44,36
2019-07-14:21,38,33
2019-07-14:22,38,32
2019-07-14:23,40,30
2019-07-14:24,39,28
2019-07-15:01,36,28
2019-07-15:02,32,25
2019-07-15:03,33,27
2019-07-15:04,35,28
2019-07-15:05,41,32
2019-07-15:06,40,27
2019-07-15:07,20,15
2019-07-15:08,52,35
2019-07-15:09,48,31
2019-07-15:10,39,28
2019-07-15:11,48,32
2019-07-15:12,52,38
2019-07-15:13,59,43
2019-07-15:14,55,43
2019-07-15:15,60,47
2019-07-15:16,30,26
2019-07-15:17,23,20
2019-07-15:18,27,21
2019-07-15:19,23,18
2019-07-15:20,25,19
2019-07-15:21,27,19
