time,pm10,pm2.5
2016-10-01:01,56,31
2016-10-01:02,50,29
2016-10-01:03,50,25
2016-10-01:04,42,20
2016-10-01:05,42,30
2016-10-01:06,38,21
2016-10-01:07,40,21
2016-10-01:08,46,27
2016-10-01:09,38,21
2016-10-01:10,38,21
2016-10-01:11,38,19
2016-10-01:12,36,14
2016-10-01:13,44,18
2016-10-01:14,41,17
2016-10-01:15,33,23
2016-10-01:16,43,24
2016-10-01:17,31,31
2016-10-01:18,39,35
2016-10-01:19,41,32
2016-10-01:20,53,34
2016-10-01:21,46,39
2016-10-01:22,42,40
2016-10-01:23,33,28
2016-10-01:24,38,28
2016-10-02:01,43,26
2016-10-02:02,45,20
2016-10-02:03,39,30
2016-10-02:04,36,23
2016-10-02:05,36,22
2016-10-02:06,34,19
2016-10-02:07,33,19
2016-10-02:08,36,23
2016-10-02:09,30,17
2016-10-02:10,29,19
2016-10-02:11,31,17
2016-10-02:12,30,22
2016-10-02:13,30,23
2016-10-02:14,23,16
2016-10-02:15,13,10
2016-10-02:16,26,10
2016-10-02:17,24,14
2016-10-02:18,19,6
2016-10-02:19,19,
2016-10-02:20,17,10
2016-10-02:21,21,3
2016-10-02:22,19,8
2016-10-02:23,21,10
2016-10-02:24,16,8
2016-10-03:01,36,10
2016-10-03:02,24,14
2016-10-03:03,21,10
2016-10-03:04,34,11
2016-10-03:05,22,12
2016-10-03:06,9,5
2016-10-03:07,11,7
2016-10-03:08,4,4
2016-10-03:09,7,4
2016-10-03:10,1,1
2016-10-03:11,2,1
2016-10-03:12,11,5
2016-10-03:13,4,1
2016-10-03:14,3,4
2016-10-03:15,12,8
2016-10-03:16,17,13
2016-10-03:17,15,12
2016-10-03:18,18,11
2016-10-03:19,26,
2016-10-03:20,22,13
2016-10-03:21,24,21
2016-10-03:22,41,23
2016-10-03:23,33,20
2016-10-03:24,33,18
2016-10-04:01,42,14
2016-10-04:02,37,16
2016-10-04:03,34,22
2016-10-04:04,35,19
2016-10-04:05,41,17
2016-10-04:06,32,18
2016-10-04:07,35,18
2016-10-04:08,32,13
2016-10-04:09,36,16
2016-10-04:10,27,9
2016-10-04:11,35,14
2016-10-04:12,25,8
2016-10-04:13,24,8
2016-10-04:14,28,11
2016-10-04:15,27,13
2016-10-04:16,33,19
2016-10-04:17,32,17
2016-10-04:18,37,24
2016-10-04:19,43,29
2016-10-04:20,29,15
2016-10-04:21,23,15
2016-10-04:22,16,11
2016-10-04:23,15,8
2016-10-04:24,14,9
2016-10-05:01,15,9
2016-10-05:02,15,6
2016-10-05:03,14,2
2016-10-05:04,12,9
2016-10-05:05,15,5
2016-10-05:06,14,10
2016-10-05:07,21,5
2016-10-05:08,25,11
2016-10-05:09,30,11
2016-10-05:10,27,11
2016-10-05:11,31,8
2016-10-05:12,33,8
2016-10-05:13,20,3
2016-10-05:14,16,2
2016-10-05:15,31,11
2016-10-05:16,,16
2016-10-05:17,46,19
2016-10-05:18,36,18
2016-10-05:19,35,27
2016-10-05:20,40,18
2016-10-05:21,48,26
2016-10-05:22,51,28
2016-10-05:23,53,23
2016-10-05:24,50,30
2016-10-06:01,56,31
2016-10-06:02,61,34
2016-10-06:03,50,31
2016-10-06:04,48,31
2016-10-06:05,47,24
2016-10-06:06,43,22
2016-10-06:07,45,29
2016-10-06:08,41,16
2016-10-06:09,39,14
2016-10-06:10,34,7
2016-10-06:11,40,18
2016-10-06:12,51,18
2016-10-06:13,41,16
2016-10-06:14,34,14
2016-10-06:15,44,16
2016-10-06:16,48,23
2016-10-06:17,54,31
2016-10-06:18,47,30
2016-10-06:19,42,30
2016-10-06:20,34,23
2016-10-06:21,36,21
2016-10-06:22,33,23
2016-10-06:23,41,18
2016-10-06:24,41,17
2016-10-07:01,43,21
2016-10-07:02,39,21
2016-10-07:03,31,15
2016-10-07:04,24,14
2016-10-07:05,23,13
2016-10-07:06,25,9
2016-10-07:07,14,8
2016-10-07:08,15,9
2016-10-07:09,13,1
2016-10-07:10,14,1
2016-10-07:11,24,8
2016-10-07:12,21,9
2016-10-07:13,25,13
2016-10-07:14,25,9
2016-10-07:15,22,5
2016-10-07:16,28,17
2016-10-07:17,34,17
2016-10-07:18,34,19
2016-10-07:19,28,13
2016-10-07:20,27,16
2016-10-07:21,26,8
2016-10-07:22,21,13
2016-10-07:23,19,15
2016-10-07:24,17,9
2016-10-08:01,15,13
2016-10-08:02,16,12
2016-10-08:03,15,3
2016-10-08:04,12,8
2016-10-08:05,6,3
2016-10-08:06,10,2
2016-10-08:07,9,7
2016-10-08:08,8,3
2016-10-08:09,12,1
2016-10-08:10,18,14
2016-10-08:11,15,2
2016-10-08:12,24,17
2016-10-08:13,20,6
2016-10-08:14,27,15
2016-10-08:15,33,18
2016-10-08:16,20,12
2016-10-08:17,36,18
2016-10-08:18,34,19
2016-10-08:19,33,26
2016-10-08:20,27,18
2016-10-08:21,27,18
2016-10-08:22,31,24
2016-10-08:23,31,12
2016-10-08:24,34,18
2016-10-09:01,34,14
2016-10-09:02,26,18
2016-10-09:03,21,12
2016-10-09:04,18,9
2016-10-09:05,14,10
2016-10-09:06,12,9
2016-10-09:07,13,10
2016-10-09:08,22,8
2016-10-09:09,8,2
2016-10-09:10,15,1
2016-10-09:11,18,4
2016-10-09:12,11,6
2016-10-09:13,18,10
2016-10-09:14,15,9
2016-10-09:15,18,10
2016-10-09:16,18,2
2016-10-09:17,19,17
2016-10-09:18,20,
2016-10-09:19,16,
2016-10-09:20,18,8
2016-10-09:21,17,
2016-10-09:22,28,10
2016-10-09:23,27,13
2016-10-09:24,32,13
2016-10-10:01,33,10
2016-10-10:02,32,12
2016-10-10:03,26,5
2016-10-10:04,32,12
2016-10-10:05,26,18
2016-10-10:06,29,11
2016-10-10:07,30,13
2016-10-10:08,30,9
2016-10-10:09,29,6
2016-10-10:10,31,8
2016-10-10:11,30,4
