time,pm10,pm2.5
2018-04-01:01,62,24
2018-04-01:02,65,24
2018-04-01:03,57,25
2018-04-01:04,49,31
2018-04-01:05,56,30
2018-04-01:06,61,28
2018-04-01:07,79,27
2018-04-01:08,79,30
2018-04-01:09,54,28
2018-04-01:10,69,22
2018-04-01:11,81,21
2018-04-01:12,70,27
2018-04-01:13,66,28
2018-04-01:14,72,31
2018-04-01:15,87,35
2018-04-01:16,104,38
2018-04-01:17,90,47
2018-04-01:18,116,48
2018-04-01:19,119,40
2018-04-01:20,102,39
2018-04-01:21,114,42
2018-04-01:22,119,49
2018-04-01:23,110,52
2018-04-01:24,98,42
2018-04-02:01,98,35
2018-04-02:02,84,31
2018-04-02:03,93,28
2018-04-02:04,99,36
2018-04-02:05,93,35
2018-04-02:06,88,33
2018-04-02:07,64,28
2018-04-02:08,90,29
2018-04-02:09,85,30
2018-04-02:10,79,23
2018-04-02:11,72,23
2018-04-02:12,91,23
2018-04-02:13,78,25
2018-04-02:14,111,43
2018-04-02:15,107,33
2018-04-02:16,94,26
2018-04-02:17,89,27
2018-04-02:18,101,21
2018-04-02:19,96,20
2018-04-02:20,88,25
2018-04-02:21,77,30
2018-04-02:22,74,22
2018-04-02:23,68,19
2018-04-02:24,66,20
2018-04-03:01,66,16
2018-04-03:02,60,17
2018-04-03:03,64,16
2018-04-03:04,54,14
2018-04-03:05,56,16
2018-04-03:06,56,13
2018-04-03:07,58,19
2018-04-03:08,51,16
2018-04-03:09,61,14
2018-04-03:10,71,12
2018-04-03:11,84,24
2018-04-03:12,100,25
2018-04-03:13,113,19
2018-04-03:14,112,27
2018-04-03:15,123,25
2018-04-03:16,128,21
2018-04-03:17,128,23
2018-04-03:18,130,25
2018-04-03:19,123,24
2018-04-03:20,119,25
2018-04-03:21,101,34
2018-04-03:22,74,30
2018-04-03:23,79,34
2018-04-03:24,72,35
2018-04-04:01,38,23
2018-04-04:02,19,18
2018-04-04:03,24,12
2018-04-04:04,15,4
2018-04-04:05,5,5
2018-04-04:06,5,3
2018-04-04:07,5,3
2018-04-04:08,11,3
2018-04-04:09,11,3
2018-04-04:10,7,3
2018-04-04:11,5,3
2018-04-04:12,27,6
2018-04-04:13,24,20
2018-04-04:14,36,14
2018-04-04:15,36,17
2018-04-04:16,5,6
2018-04-04:17,8,6
2018-04-04:18,20,10
2018-04-04:19,20,4
2018-04-04:20,17,8
2018-04-04:21,22,7
2018-04-04:22,14,5
2018-04-04:23,16,7
2018-04-04:24,24,3
2018-04-05:01,5,3
2018-04-05:02,12,3
2018-04-05:03,10,3
2018-04-05:04,11,3
2018-04-05:05,8,4
2018-04-05:06,24,7
2018-04-05:07,19,3
2018-04-05:08,15,3
2018-04-05:09,14,3
2018-04-05:10,10,3
2018-04-05:11,8,5
2018-04-05:12,19,7
2018-04-05:13,6,4
2018-04-05:14,9,7
2018-04-05:15,17,6
2018-04-05:16,13,8
