time,pm10,pm2.5
2017-05-01:01,100,57
2017-05-01:02,102,57
2017-05-01:03,103,58
2017-05-01:04,107,60
2017-05-01:05,112,66
2017-05-01:06,114,67
2017-05-01:07,116,69
2017-05-01:08,89,50
2017-05-01:09,81,38
2017-05-01:10,90,37
2017-05-01:11,78,41
2017-05-01:12,77,39
2017-05-01:13,74,39
2017-05-01:14,75,33
2017-05-01:15,71,35
2017-05-01:16,65,35
2017-05-01:17,86,47
2017-05-01:18,93,53
2017-05-01:19,102,60
2017-05-01:20,100,56
2017-05-01:21,104,59
2017-05-01:22,108,64
2017-05-01:23,110,63
2017-05-01:24,105,64
2017-05-02:01,108,65
2017-05-02:02,111,65
2017-05-02:03,103,62
2017-05-02:04,118,74
2017-05-02:05,119,75
2017-05-02:06,124,79
2017-05-02:07,142,89
2017-05-02:08,143,86
2017-05-02:09,130,73
2017-05-02:10,106,52
2017-05-02:11,96,47
2017-05-02:12,95,47
2017-05-02:13,88,42
2017-05-02:14,86,46
2017-05-02:15,94,47
2017-05-02:16,115,55
2017-05-02:17,113,49
2017-05-02:18,98,41
2017-05-02:19,84,33
2017-05-02:20,70,31
2017-05-02:21,65,29
2017-05-02:22,59,26
2017-05-02:23,53,22
2017-05-02:24,44,22
2017-05-03:01,46,20
2017-05-03:02,48,25
2017-05-03:03,47,26
2017-05-03:04,49,28
2017-05-03:05,51,26
2017-05-03:06,56,31
2017-05-03:07,54,29
2017-05-03:08,53,27
2017-05-03:09,58,31
2017-05-03:10,63,33
2017-05-03:11,73,33
2017-05-03:12,77,40
2017-05-03:13,78,38
2017-05-03:14,74,38
2017-05-03:15,70,38
2017-05-03:16,69,38
2017-05-03:17,94,53
2017-05-03:18,73,42
2017-05-03:19,74,37
2017-05-03:20,71,36
2017-05-03:21,68,36
2017-05-03:22,53,31
2017-05-03:23,62,36
2017-05-03:24,65,38
2017-05-04:01,68,41
2017-05-04:02,71,39
2017-05-04:03,68,41
2017-05-04:04,65,39
2017-05-04:05,62,37
2017-05-04:06,65,42
2017-05-04:07,66,41
2017-05-04:08,71,40
2017-05-04:09,68,39
2017-05-04:10,72,42
2017-05-04:11,60,36
2017-05-04:12,59,32
2017-05-04:13,59,34
2017-05-04:14,64,32
2017-05-04:15,55,31
2017-05-04:16,63,33
2017-05-04:17,66,36
2017-05-04:18,55,29
2017-05-04:19,54,29
2017-05-04:20,54,30
2017-05-04:21,55,31
2017-05-04:22,56,31
2017-05-04:23,58,31
2017-05-04:24,62,31
2017-05-05:01,63,30
2017-05-05:02,65,31
2017-05-05:03,61,29
2017-05-05:04,56,30
2017-05-05:05,55,32
2017-05-05:06,53,29
2017-05-05:07,52,28
2017-05-05:08,49,29
2017-05-05:09,49,30
2017-05-05:10,44,26
2017-05-05:11,33,24
2017-05-05:12,38,23
2017-05-05:13,40,27
2017-05-05:14,37,23
2017-05-05:15,30,23
2017-05-05:16,44,26
2017-05-05:17,38,20
2017-05-05:18,34,22
2017-05-05:19,35,24
2017-05-05:20,32,20
2017-05-05:21,27,
2017-05-05:22,26,22
2017-05-05:23,84,30
2017-05-05:24,204,43
2017-05-06:01,252,31
2017-05-06:02,269,21
2017-05-06:03,223,20
2017-05-06:04,205,18
2017-05-06:05,213,21
2017-05-06:06,223,22
2017-05-06:07,214,21
2017-05-06:08,212,20
2017-05-06:09,199,18
2017-05-06:10,197,22
2017-05-06:11,163,16
2017-05-06:12,165,17
2017-05-06:13,153,17
2017-05-06:14,158,15
2017-05-06:15,197,22
2017-05-06:16,152,21
2017-05-06:17,122,19
2017-05-06:18,108,20
2017-05-06:19,99,23
2017-05-06:20,88,19
2017-05-06:21,83,20
2017-05-06:22,80,20
2017-05-06:23,85,19
2017-05-06:24,80,20
2017-05-07:01,78,20
2017-05-07:02,75,19
2017-05-07:03,77,21
2017-05-07:04,75,19
2017-05-07:05,78,20
2017-05-07:06,79,17
2017-05-07:07,86,20
2017-05-07:08,93,19
2017-05-07:09,99,21
2017-05-07:10,106,19
2017-05-07:11,124,21
2017-05-07:12,129,27
2017-05-07:13,102,18
2017-05-07:14,92,19
2017-05-07:15,92,19
2017-05-07:16,88,21
2017-05-07:17,61,16
2017-05-07:18,51,13
2017-05-07:19,47,16
2017-05-07:20,44,17
2017-05-07:21,46,14
2017-05-07:22,49,19
2017-05-07:23,55,20
2017-05-07:24,64,22
2017-05-08:01,73,26
