time,pm10,pm2.5
2017-02-01:01,34,
2017-02-01:02,34,
2017-02-01:03,35,
2017-02-01:04,31,
2017-02-01:05,37,
2017-02-01:06,31,
2017-02-01:07,37,
2017-02-01:08,43,
2017-02-01:09,61,
2017-02-01:10,59,
2017-02-01:11,42,
2017-02-01:12,52,
2017-02-01:13,53,
2017-02-01:14,,
2017-02-01:15,,
2017-02-01:16,47,
2017-02-01:17,58,
2017-02-01:18,56,
2017-02-01:19,48,
2017-02-01:20,46,
2017-02-01:21,43,
2017-02-01:22,49,
2017-02-01:23,49,
2017-02-01:24,37,
2017-02-02:01,44,
2017-02-02:02,31,
2017-02-02:03,30,
2017-02-02:04,34,
2017-02-02:05,32,
2017-02-02:06,34,
2017-02-02:07,34,
2017-02-02:08,41,
2017-02-02:09,63,
2017-02-02:10,77,
2017-02-02:11,64,
2017-02-02:12,53,
2017-02-02:13,58,
2017-02-02:14,36,
2017-02-02:15,33,
2017-02-02:16,56,
2017-02-02:17,44,
2017-02-02:18,45,
2017-02-02:19,41,
2017-02-02:20,45,
2017-02-02:21,53,
2017-02-02:22,47,
2017-02-02:23,46,
2017-02-02:24,45,
2017-02-03:01,38,
2017-02-03:02,47,
2017-02-03:03,53,
2017-02-03:04,61,
2017-02-03:05,60,
2017-02-03:06,61,
2017-02-03:07,60,
2017-02-03:08,68,
2017-02-03:09,74,
2017-02-03:10,76,
2017-02-03:11,70,
2017-02-03:12,80,
2017-02-03:13,104,
2017-02-03:14,106,
2017-02-03:15,92,
2017-02-03:16,106,
2017-02-03:17,115,
2017-02-03:18,106,
2017-02-03:19,96,
2017-02-03:20,82,
2017-02-03:21,87,
2017-02-03:22,92,
2017-02-03:23,104,
2017-02-03:24,103,
2017-02-04:01,109,
2017-02-04:02,103,
2017-02-04:03,99,
2017-02-04:04,87,
2017-02-04:05,88,
2017-02-04:06,103,
2017-02-04:07,98,
2017-02-04:08,89,
2017-02-04:09,92,
2017-02-04:10,110,
2017-02-04:11,126,
2017-02-04:12,130,
2017-02-04:13,122,
2017-02-04:14,135,
2017-02-04:15,128,
2017-02-04:16,126,
2017-02-04:17,137,
2017-02-04:18,133,
2017-02-04:19,120,
2017-02-04:20,125,
2017-02-04:21,145,
2017-02-04:22,148,
2017-02-04:23,142,
2017-02-04:24,147,
2017-02-05:01,140,
2017-02-05:02,133,
2017-02-05:03,133,
2017-02-05:04,137,
2017-02-05:05,117,
2017-02-05:06,107,
2017-02-05:07,126,
2017-02-05:08,117,
2017-02-05:09,108,
2017-02-05:10,88,
2017-02-05:11,85,
2017-02-05:12,61,
2017-02-05:13,21,
2017-02-05:14,16,
2017-02-05:15,17,
2017-02-05:16,14,
2017-02-05:17,22,
2017-02-05:18,30,
2017-02-05:19,59,
2017-02-05:20,79,
2017-02-05:21,105,
2017-02-05:22,93,
2017-02-05:23,84,
2017-02-05:24,64,
2017-02-06:01,63,
2017-02-06:02,67,
2017-02-06:03,64,
2017-02-06:04,59,
2017-02-06:05,47,
2017-02-06:06,51,
2017-02-06:07,46,
2017-02-06:08,46,
2017-02-06:09,49,
2017-02-06:10,44,
2017-02-06:11,49,
2017-02-06:12,62,
2017-02-06:13,59,
2017-02-06:14,55,
2017-02-06:15,48,
2017-02-06:16,50,
2017-02-06:17,56,
2017-02-06:18,46,
2017-02-06:19,44,
2017-02-06:20,37,
2017-02-06:21,34,
2017-02-06:22,38,
2017-02-06:23,33,
2017-02-06:24,31,
2017-02-07:01,33,
2017-02-07:02,34,
2017-02-07:03,37,
2017-02-07:04,29,
2017-02-07:05,38,
2017-02-07:06,37,
2017-02-07:07,46,
2017-02-07:08,45,
2017-02-07:09,73,
