time,pm10,pm2.5
2017-09-01:01,34,24
2017-09-01:02,34,21
2017-09-01:03,26,19
2017-09-01:04,26,19
2017-09-01:05,24,16
2017-09-01:06,23,16
2017-09-01:07,20,12
2017-09-01:08,14,7
2017-09-01:09,11,5
2017-09-01:10,16,5
2017-09-01:11,13,5
2017-09-01:12,9,4
2017-09-01:13,11,6
2017-09-01:14,12,6
2017-09-01:15,18,9
2017-09-01:16,15,11
2017-09-01:17,21,16
2017-09-01:18,29,21
2017-09-01:19,24,18
2017-09-01:20,30,14
2017-09-01:21,37,13
2017-09-01:22,18,12
2017-09-01:23,23,16
2017-09-01:24,26,16
2017-09-02:01,26,14
2017-09-02:02,26,14
2017-09-02:03,23,15
2017-09-02:04,21,13
2017-09-02:05,22,15
2017-09-02:06,20,14
2017-09-02:07,21,15
2017-09-02:08,18,12
2017-09-02:09,17,8
2017-09-02:10,11,5
2017-09-02:11,11,6
2017-09-02:12,10,5
2017-09-02:13,10,6
2017-09-02:14,13,8
2017-09-02:15,14,9
2017-09-02:16,16,12
2017-09-02:17,16,12
2017-09-02:18,21,15
2017-09-02:19,28,20
2017-09-02:20,34,23
2017-09-02:21,28,20
2017-09-02:22,28,17
2017-09-02:23,33,19
2017-09-02:24,24,18
2017-09-03:01,27,20
2017-09-03:02,26,18
2017-09-03:03,26,20
2017-09-03:04,25,19
2017-09-03:05,25,21
2017-09-03:06,20,15
2017-09-03:07,13,12
2017-09-03:08,10,7
2017-09-03:09,9,4
2017-09-03:10,12,7
2017-09-03:11,12,8
2017-09-03:12,17,10
2017-09-03:13,19,14
2017-09-03:14,20,14
2017-09-03:15,26,18
2017-09-03:16,22,16
2017-09-03:17,26,21
2017-09-03:18,35,20
2017-09-03:19,42,24
2017-09-03:20,45,32
2017-09-03:21,39,32
2017-09-03:22,39,31
2017-09-03:23,38,31
2017-09-03:24,35,28
2017-09-04:01,33,29
2017-09-04:02,30,24
2017-09-04:03,31,25
2017-09-04:04,31,24
2017-09-04:05,31,27
