time,pm10,pm2.5
2018-04-01:01,69,34
2018-04-01:02,58,28
2018-04-01:03,59,31
2018-04-01:04,55,35
2018-04-01:05,60,31
2018-04-01:06,67,34
2018-04-01:07,64,31
2018-04-01:08,84,43
2018-04-01:09,93,40
2018-04-01:10,93,32
2018-04-01:11,82,28
2018-04-01:12,72,26
2018-04-01:13,63,25
2018-04-01:14,73,37
2018-04-01:15,90,42
2018-04-01:16,91,50
2018-04-01:17,98,58
2018-04-01:18,99,53
2018-04-01:19,107,50
2018-04-01:20,103,44
2018-04-01:21,104,47
2018-04-01:22,97,48
2018-04-01:23,87,45
2018-04-01:24,96,46
2018-04-02:01,91,41
2018-04-02:02,86,37
2018-04-02:03,85,36
2018-04-02:04,87,43
2018-04-02:05,82,43
2018-04-02:06,82,43
2018-04-02:07,83,44
2018-04-02:08,91,39
2018-04-02:09,85,38
2018-04-02:10,93,36
2018-04-02:11,86,28
2018-04-02:12,76,30
2018-04-02:13,95,30
2018-04-02:14,99,34
2018-04-02:15,85,31
2018-04-02:16,82,30
2018-04-02:17,74,26
2018-04-02:18,80,30
2018-04-02:19,73,26
2018-04-02:20,65,19
2018-04-02:21,61,20
2018-04-02:22,57,
2018-04-02:23,56,22
2018-04-02:24,57,20
2018-04-03:01,49,21
2018-04-03:02,52,22
2018-04-03:03,57,18
2018-04-03:04,52,20
2018-04-03:05,54,19
2018-04-03:06,49,17
2018-04-03:07,52,18
2018-04-03:08,56,25
2018-04-03:09,66,18
2018-04-03:10,68,19
2018-04-03:11,80,25
2018-04-03:12,88,25
2018-04-03:13,,
2018-04-03:14,106,33
2018-04-03:15,99,29
2018-04-03:16,92,28
2018-04-03:17,107,25
2018-04-03:18,105,29
2018-04-03:19,106,29
2018-04-03:20,81,26
2018-04-03:21,65,21
2018-04-03:22,52,20
2018-04-03:23,56,30
2018-04-03:24,53,35
2018-04-04:01,54,47
2018-04-04:02,53,35
2018-04-04:03,25,20
2018-04-04:04,7,7
2018-04-04:05,7,6
2018-04-04:06,5,6
2018-04-04:07,5,6
2018-04-04:08,12,7
2018-04-04:09,14,5
2018-04-04:10,21,6
2018-04-04:11,14,5
2018-04-04:12,22,3
2018-04-04:13,26,4
2018-04-04:14,22,4
2018-04-04:15,25,4
2018-04-04:16,24,8
2018-04-04:17,27,8
2018-04-04:18,22,6
2018-04-04:19,23,4
2018-04-04:20,25,6
2018-04-04:21,29,12
2018-04-04:22,23,12
2018-04-04:23,26,12
2018-04-04:24,19,8
2018-04-05:01,19,9
2018-04-05:02,11,7
2018-04-05:03,12,8
2018-04-05:04,12,6
2018-04-05:05,10,10
2018-04-05:06,,11
2018-04-05:07,,13
2018-04-05:08,8,9
2018-04-05:09,8,9
2018-04-05:10,14,7
2018-04-05:11,,11
2018-04-05:12,8,8
2018-04-05:13,9,7
2018-04-05:14,,12
2018-04-05:15,7,7
2018-04-05:16,,11
2018-04-05:17,9,7
2018-04-05:18,9,5
2018-04-05:19,15,10
2018-04-05:20,18,17
2018-04-05:21,16,12
2018-04-05:22,,11
2018-04-05:23,9,11
2018-04-05:24,10,8
2018-04-06:01,10,8
2018-04-06:02,,10
2018-04-06:03,,12
2018-04-06:04,,16
2018-04-06:05,6,6
2018-04-06:06,,12
2018-04-06:07,16,12
2018-04-06:08,17,10
2018-04-06:09,22,15
2018-04-06:10,65,19
2018-04-06:11,102,31
2018-04-06:12,114,34
2018-04-06:13,226,50
2018-04-06:14,353,71
2018-04-06:15,326,68
2018-04-06:16,279,47
2018-04-06:17,398,57
2018-04-06:18,266,43
2018-04-06:19,190,34
2018-04-06:20,154,33
2018-04-06:21,104,44
2018-04-06:22,90,59
2018-04-06:23,127,60
2018-04-06:24,75,52
2018-04-07:01,66,40
2018-04-07:02,54,31
2018-04-07:03,49,33
2018-04-07:04,41,36
2018-04-07:05,62,32
2018-04-07:06,82,39
2018-04-07:07,104,40
2018-04-07:08,108,40
2018-04-07:09,108,31
2018-04-07:10,95,31
2018-04-07:11,88,31
2018-04-07:12,63,20
2018-04-07:13,57,12
2018-04-07:14,51,13
2018-04-07:15,57,14
2018-04-07:16,52,14
2018-04-07:17,47,8
2018-04-07:18,,15
2018-04-07:19,35,15
2018-04-07:20,33,15
2018-04-07:21,32,15
2018-04-07:22,37,15
2018-04-07:23,,14
2018-04-07:24,35,14
2018-04-08:01,40,17
2018-04-08:02,28,11
2018-04-08:03,29,9
2018-04-08:04,26,14
2018-04-08:05,28,13
2018-04-08:06,32,15
2018-04-08:07,43,15
2018-04-08:08,36,15
2018-04-08:09,38,15
2018-04-08:10,37,13
2018-04-08:11,28,11
2018-04-08:12,34,15
2018-04-08:13,42,15
2018-04-08:14,46,16
2018-04-08:15,47,10
2018-04-08:16,47,18
2018-04-08:17,31,21
2018-04-08:18,33,21
2018-04-08:19,34,24
2018-04-08:20,34,34
2018-04-08:21,,32
2018-04-08:22,,31
2018-04-08:23,29,27
2018-04-08:24,,27
2018-04-09:01,31,31
2018-04-09:02,37,31
2018-04-09:03,37,29
2018-04-09:04,37,36
2018-04-09:05,45,37
2018-04-09:06,44,37
2018-04-09:07,43,37
2018-04-09:08,54,41
2018-04-09:09,74,46
2018-04-09:10,84,49
2018-04-09:11,74,39
2018-04-09:12,61,26
2018-04-09:13,62,35
2018-04-09:14,62,28
2018-04-09:15,56,30
2018-04-09:16,57,31
2018-04-09:17,56,
2018-04-09:18,63,32
2018-04-09:19,71,35
2018-04-09:20,84,40
2018-04-09:21,96,44
2018-04-09:22,87,44
2018-04-09:23,84,
2018-04-09:24,88,42
2018-04-10:01,85,56
2018-04-10:02,72,35
2018-04-10:03,66,41
2018-04-10:04,75,53
2018-04-10:05,71,42
2018-04-10:06,68,36
2018-04-10:07,75,38
2018-04-10:08,82,34
2018-04-10:09,72,29
2018-04-10:10,69,25
2018-04-10:11,68,22
2018-04-10:12,61,19
2018-04-10:13,76,13
2018-04-10:14,131,18
2018-04-10:15,107,12
2018-04-10:16,48,9
2018-04-10:17,50,11
2018-04-10:18,,13
2018-04-10:19,54,12
2018-04-10:20,42,11
2018-04-10:21,35,13
2018-04-10:22,38,12
2018-04-10:23,,
2018-04-10:24,42,26
2018-04-11:01,62,33
2018-04-11:02,66,29
2018-04-11:03,70,35
2018-04-11:04,83,39
2018-04-11:05,85,39
2018-04-11:06,94,43
2018-04-11:07,110,45
2018-04-11:08,135,53
2018-04-11:09,139,48
2018-04-11:10,110,40
2018-04-11:11,107,43
2018-04-11:12,101,42
2018-04-11:13,80,31
2018-04-11:14,59,21
2018-04-11:15,52,18
2018-04-11:16,51,14
2018-04-11:17,49,14
2018-04-11:18,53,10
2018-04-11:19,46,12
2018-04-11:20,42,7
2018-04-11:21,45,16
2018-04-11:22,48,13
2018-04-11:23,44,13
2018-04-11:24,44,12
2018-04-12:01,44,16
2018-04-12:02,45,15
2018-04-12:03,46,17
2018-04-12:04,44,14
2018-04-12:05,45,14
2018-04-12:06,48,19
2018-04-12:07,70,24
2018-04-12:08,89,29
2018-04-12:09,88,21
2018-04-12:10,70,18
2018-04-12:11,86,26
2018-04-12:12,71,16
2018-04-12:13,48,10
2018-04-12:14,59,16
2018-04-12:15,55,11
2018-04-12:16,46,11
2018-04-12:17,50,15
2018-04-12:18,55,14
2018-04-12:19,57,18
2018-04-12:20,39,12
2018-04-12:21,33,14
2018-04-12:22,38,12
2018-04-12:23,36,15
2018-04-12:24,37,13
2018-04-13:01,48,19
2018-04-13:02,38,11
2018-04-13:03,39,14
2018-04-13:04,39,17
2018-04-13:05,42,11
2018-04-13:06,43,18
2018-04-13:07,55,20
2018-04-13:08,78,28
2018-04-13:09,64,21
2018-04-13:10,58,17
2018-04-13:11,47,9
2018-04-13:12,36,10
2018-04-13:13,28,7
2018-04-13:14,33,11
2018-04-13:15,39,8
2018-04-13:16,31,15
2018-04-13:17,33,12
2018-04-13:18,40,13
2018-04-13:19,46,20
2018-04-13:20,62,31
2018-04-13:21,58,17
2018-04-13:22,51,9
2018-04-13:23,45,11
2018-04-13:24,39,14
2018-04-14:01,38,15
2018-04-14:02,36,11
2018-04-14:03,36,9
2018-04-14:04,30,12
2018-04-14:05,33,16
2018-04-14:06,24,17
2018-04-14:07,25,18
2018-04-14:08,20,17
2018-04-14:09,24,11
2018-04-14:10,24,14
2018-04-14:11,15,16
2018-04-14:12,12,11
2018-04-14:13,15,8
2018-04-14:14,16,13
2018-04-14:15,17,16
2018-04-14:16,15,13
2018-04-14:17,16,9
2018-04-14:18,17,14
2018-04-14:19,18,12
2018-04-14:20,25,11
2018-04-14:21,39,24
2018-04-14:22,41,31
2018-04-14:23,32,19
2018-04-14:24,26,11
2018-04-15:01,32,18
2018-04-15:02,38,19
2018-04-15:03,42,17
2018-04-15:04,48,25
2018-04-15:05,59,28
2018-04-15:06,60,28
2018-04-15:07,65,33
2018-04-15:08,81,36
2018-04-15:09,130,41
2018-04-15:10,153,35
2018-04-15:11,153,28
2018-04-15:12,131,24
2018-04-15:13,131,25
2018-04-15:14,147,25
2018-04-15:15,157,30
2018-04-15:16,98,27
2018-04-15:17,70,26
2018-04-15:18,58,24
2018-04-15:19,63,22
2018-04-15:20,65,27
2018-04-15:21,46,20
2018-04-15:22,46,24
2018-04-15:23,39,
2018-04-15:24,38,22
2018-04-16:01,40,24
2018-04-16:02,43,23
2018-04-16:03,39,27
2018-04-16:04,34,21
2018-04-16:05,38,28
2018-04-16:06,42,23
2018-04-16:07,53,33
2018-04-16:08,79,38
2018-04-16:09,77,35
2018-04-16:10,65,26
2018-04-16:11,51,18
2018-04-16:12,44,16
2018-04-16:13,42,17
2018-04-16:14,40,17
2018-04-16:15,45,18
2018-04-16:16,43,16
2018-04-16:17,50,
2018-04-16:18,57,26
2018-04-16:19,40,22
2018-04-16:20,51,23
2018-04-16:21,48,25
2018-04-16:22,52,27
2018-04-16:23,52,30
2018-04-16:24,50,30
2018-04-17:01,53,31
2018-04-17:02,47,27
2018-04-17:03,38,23
2018-04-17:04,37,23
2018-04-17:05,39,23
2018-04-17:06,41,27
2018-04-17:07,59,30
2018-04-17:08,79,35
2018-04-17:09,78,37
2018-04-17:10,76,42
2018-04-17:11,81,40
2018-04-17:12,54,29
2018-04-17:13,68,35
2018-04-17:14,84,43
2018-04-17:15,89,43
2018-04-17:16,83,34
2018-04-17:17,92,32
2018-04-17:18,88,
2018-04-17:19,100,39
2018-04-17:20,111,38
2018-04-17:21,110,37
2018-04-17:22,89,38
2018-04-17:23,70,
2018-04-17:24,77,35
2018-04-18:01,70,39
2018-04-18:02,63,33
2018-04-18:03,63,29
2018-04-18:04,63,30
2018-04-18:05,60,32
2018-04-18:06,63,32
2018-04-18:07,77,34
2018-04-18:08,94,38
2018-04-18:09,94,50
2018-04-18:10,84,45
2018-04-18:11,79,42
2018-04-18:12,69,40
2018-04-18:13,69,45
2018-04-18:14,85,50
2018-04-18:15,68,39
2018-04-18:16,52,28
2018-04-18:17,52,21
2018-04-18:18,77,33
2018-04-18:19,104,40
2018-04-18:20,119,41
2018-04-18:21,125,43
2018-04-18:22,128,43
2018-04-18:23,125,44
2018-04-18:24,115,41
2018-04-19:01,111,44
2018-04-19:02,109,42
2018-04-19:03,109,43
2018-04-19:04,103,45
2018-04-19:05,105,43
2018-04-19:06,98,44
2018-04-19:07,107,57
2018-04-19:08,113,49
2018-04-19:09,111,52
2018-04-19:10,70,33
2018-04-19:11,66,34
2018-04-19:12,47,35
2018-04-19:13,61,30
2018-04-19:14,55,23
2018-04-19:15,74,33
2018-04-19:16,94,42
2018-04-19:17,104,46
2018-04-19:18,115,45
2018-04-19:19,108,50
2018-04-19:20,107,52
2018-04-19:21,98,49
2018-04-19:22,94,42
2018-04-19:23,83,38
2018-04-19:24,74,33
2018-04-20:01,76,42
2018-04-20:02,65,30
2018-04-20:03,67,35
2018-04-20:04,64,35
2018-04-20:05,66,38
2018-04-20:06,69,37
2018-04-20:07,82,39
2018-04-20:08,102,49
2018-04-20:09,130,64
2018-04-20:10,114,59
2018-04-20:11,107,48
2018-04-20:12,109,55
2018-04-20:13,131,71
2018-04-20:14,127,62
2018-04-20:15,133,69
2018-04-20:16,170,97
2018-04-20:17,162,94
2018-04-20:18,166,89
2018-04-20:19,153,81
2018-04-20:20,158,82
2018-04-20:21,153,72
2018-04-20:22,140,66
2018-04-20:23,132,71
2018-04-20:24,126,66
2018-04-21:01,116,68
2018-04-21:02,111,68
2018-04-21:03,109,65
2018-04-21:04,102,63
2018-04-21:05,100,62
2018-04-21:06,103,62
2018-04-21:07,110,73
2018-04-21:08,126,81
2018-04-21:09,147,95
2018-04-21:10,124,69
2018-04-21:11,67,22
2018-04-21:12,61,23
2018-04-21:13,56,18
2018-04-21:14,40,14
2018-04-21:15,41,17
2018-04-21:16,47,22
2018-04-21:17,43,16
2018-04-21:18,38,13
2018-04-21:19,36,10
2018-04-21:20,35,13
2018-04-21:21,37,11
2018-04-21:22,38,17
2018-04-21:23,45,14
2018-04-21:24,43,16
2018-04-22:01,38,16
2018-04-22:02,34,12
2018-04-22:03,26,14
2018-04-22:04,34,16
2018-04-22:05,30,14
2018-04-22:06,32,13
2018-04-22:07,35,18
2018-04-22:08,48,20
2018-04-22:09,44,17
2018-04-22:10,54,24
2018-04-22:11,54,27
2018-04-22:12,50,17
2018-04-22:13,45,17
2018-04-22:14,47,16
2018-04-22:15,49,18
2018-04-22:16,61,22
2018-04-22:17,48,27
2018-04-22:18,46,26
2018-04-22:19,60,38
2018-04-22:20,46,28
2018-04-22:21,34,27
2018-04-22:22,35,24
2018-04-22:23,30,23
2018-04-22:24,25,18
2018-04-23:01,,17
2018-04-23:02,22,17
2018-04-23:03,,18
2018-04-23:04,17,16
2018-04-23:05,13,13
2018-04-23:06,13,13
2018-04-23:07,14,14
2018-04-23:08,14,10
2018-04-23:09,11,8
2018-04-23:10,7,9
2018-04-23:11,9,9
2018-04-23:12,7,10
2018-04-23:13,7,9
2018-04-23:14,8,7
2018-04-23:15,6,
2018-04-23:16,5,6
2018-04-23:17,5,6
2018-04-23:18,6,7
2018-04-23:19,7,9
2018-04-23:20,15,11
2018-04-23:21,10,7
2018-04-23:22,8,7
2018-04-23:23,6,5
2018-04-23:24,5,3
2018-04-24:01,5,8
2018-04-24:02,5,6
2018-04-24:03,5,3
2018-04-24:04,5,3
2018-04-24:05,5,3
2018-04-24:06,5,3
2018-04-24:07,5,3
2018-04-24:08,5,3
2018-04-24:09,12,3
2018-04-24:10,20,4
2018-04-24:11,19,5
2018-04-24:12,17,4
2018-04-24:13,16,3
2018-04-24:14,16,4
2018-04-24:15,10,4
2018-04-24:16,8,3
2018-04-24:17,16,6
2018-04-24:18,17,7
2018-04-24:19,23,9
2018-04-24:20,24,16
2018-04-24:21,19,15
2018-04-24:22,22,16
2018-04-24:23,32,16
2018-04-24:24,40,32
2018-04-25:01,38,18
2018-04-25:02,33,19
2018-04-25:03,36,27
2018-04-25:04,30,19
2018-04-25:05,28,18
2018-04-25:06,33,26
2018-04-25:07,44,26
2018-04-25:08,55,31
2018-04-25:09,55,27
2018-04-25:10,49,26
2018-04-25:11,42,26
2018-04-25:12,43,25
2018-04-25:13,48,30
2018-04-25:14,59,45
2018-04-25:15,51,42
2018-04-25:16,53,40
2018-04-25:17,61,41
2018-04-25:18,47,31
2018-04-25:19,42,27
2018-04-25:20,55,25
2018-04-25:21,51,27
2018-04-25:22,51,
2018-04-25:23,52,25
2018-04-25:24,51,27
2018-04-26:01,50,24
2018-04-26:02,51,28
2018-04-26:03,45,31
2018-04-26:04,38,25
2018-04-26:05,37,22
2018-04-26:06,35,21
2018-04-26:07,41,26
2018-04-26:08,76,43
2018-04-26:09,71,41
2018-04-26:10,56,42
2018-04-26:11,52,36
2018-04-26:12,57,36
2018-04-26:13,64,45
2018-04-26:14,60,38
2018-04-26:15,48,37
2018-04-26:16,47,38
2018-04-26:17,31,24
2018-04-26:18,42,28
2018-04-26:19,67,41
2018-04-26:20,58,37
2018-04-26:21,56,33
2018-04-26:22,36,21
2018-04-26:23,31,17
2018-04-26:24,33,21
2018-04-27:01,31,28
2018-04-27:02,34,23
2018-04-27:03,35,31
2018-04-27:04,36,23
2018-04-27:05,40,32
2018-04-27:06,39,29
2018-04-27:07,48,33
2018-04-27:08,57,37
2018-04-27:09,59,38
2018-04-27:10,61,40
2018-04-27:11,68,44
2018-04-27:12,75,51
2018-04-27:13,70,51
2018-04-27:14,71,48
2018-04-27:15,68,44
2018-04-27:16,77,52
2018-04-27:17,88,60
2018-04-27:18,91,68
2018-04-27:19,90,62
2018-04-27:20,80,51
2018-04-27:21,82,54
2018-04-27:22,101,71
2018-04-27:23,95,72
2018-04-27:24,98,77
2018-04-28:01,101,86
2018-04-28:02,85,70
2018-04-28:03,79,63
2018-04-28:04,92,76
2018-04-28:05,83,70
2018-04-28:06,79,71
2018-04-28:07,92,75
2018-04-28:08,105,82
2018-04-28:09,115,87
2018-04-28:10,91,53
2018-04-28:11,65,39
2018-04-28:12,53,26
2018-04-28:13,55,27
2018-04-28:14,50,27
2018-04-28:15,47,17
2018-04-28:16,30,12
2018-04-28:17,31,13
2018-04-28:18,41,20
2018-04-28:19,37,12
2018-04-28:20,35,13
2018-04-28:21,35,14
2018-04-28:22,46,23
2018-04-28:23,47,20
2018-04-28:24,43,20
2018-04-29:01,39,18
2018-04-29:02,40,22
2018-04-29:03,43,25
2018-04-29:04,37,21
2018-04-29:05,40,20
2018-04-29:06,35,22
2018-04-29:07,42,26
2018-04-29:08,50,30
2018-04-29:09,59,30
2018-04-29:10,50,22
2018-04-29:11,53,17
2018-04-29:12,54,24
2018-04-29:13,64,31
2018-04-29:14,71,41
2018-04-29:15,58,37
2018-04-29:16,63,34
2018-04-29:17,75,44
2018-04-29:18,68,46
2018-04-29:19,63,48
2018-04-29:20,72,43
2018-04-29:21,76,49
2018-04-29:22,79,54
2018-04-29:23,72,53
2018-04-29:24,75,49
2018-04-30:01,72,57
2018-04-30:02,69,53
2018-04-30:03,66,58
2018-04-30:04,78,65
2018-04-30:05,87,69
2018-04-30:06,93,76
2018-04-30:07,103,82
2018-04-30:08,119,87
2018-04-30:09,107,80
2018-04-30:10,101,78
2018-04-30:11,86,69
2018-04-30:12,91,65
2018-04-30:13,96,76
2018-04-30:14,87,68
2018-04-30:15,101,76
2018-04-30:16,117,90
2018-04-30:17,90,70
2018-04-30:18,80,59
2018-04-30:19,76,62
2018-04-30:20,80,56
2018-04-30:21,79,71
2018-04-30:22,80,67
2018-04-30:23,80,74
2018-04-30:24,71,66
