time,pm10,pm2.5
2017-04-01:01,15,14
2017-04-01:02,19,15
2017-04-01:03,9,10
2017-04-01:04,17,15
2017-04-01:05,24,12
2017-04-01:06,19,
2017-04-01:07,18,16
2017-04-01:08,20,10
2017-04-01:09,22,17
2017-04-01:10,25,17
2017-04-01:11,18,15
2017-04-01:12,18,14
2017-04-01:13,11,13
2017-04-01:14,12,11
2017-04-01:15,,19
2017-04-01:16,32,20
2017-04-01:17,29,24
2017-04-01:18,16,12
2017-04-01:19,35,17
2017-04-01:20,43,35
2017-04-01:21,47,28
2017-04-01:22,40,23
2017-04-01:23,16,14
2017-04-01:24,25,15
2017-04-02:01,22,15
2017-04-02:02,35,25
2017-04-02:03,34,25
2017-04-02:04,34,28
2017-04-02:05,37,34
2017-04-02:06,51,30
2017-04-02:07,32,21
2017-04-02:08,16,14
2017-04-02:09,39,24
2017-04-02:10,,29
2017-04-02:11,34,26
2017-04-02:12,40,28
2017-04-02:13,38,28
2017-04-02:14,60,33
2017-04-02:15,64,29
2017-04-02:16,69,34
2017-04-02:17,49,41
2017-04-02:18,71,60
2017-04-02:19,66,59
2017-04-02:20,72,59
2017-04-02:21,69,53
2017-04-02:22,83,53
2017-04-02:23,75,46
2017-04-02:24,69,43
2017-04-03:01,66,48
2017-04-03:02,65,46
2017-04-03:03,67,53
2017-04-03:04,73,50
2017-04-03:05,70,51
2017-04-03:06,65,53
2017-04-03:07,63,51
2017-04-03:08,82,55
2017-04-03:09,94,52
2017-04-03:10,81,76
2017-04-03:11,96,81
2017-04-03:12,84,67
2017-04-03:13,113,66
2017-04-03:14,103,35
2017-04-03:15,,
2017-04-03:16,82,32
2017-04-03:17,77,42
2017-04-03:18,75,38
2017-04-03:19,90,47
2017-04-03:20,75,54
2017-04-03:21,66,51
2017-04-03:22,70,46
2017-04-03:23,70,51
2017-04-03:24,64,48
2017-04-04:01,65,51
2017-04-04:02,75,55
2017-04-04:03,66,46
2017-04-04:04,59,41
2017-04-04:05,52,37
2017-04-04:06,63,43
2017-04-04:07,63,35
2017-04-04:08,75,33
2017-04-04:09,90,44
2017-04-04:10,78,38
2017-04-04:11,75,42
2017-04-04:12,66,53
2017-04-04:13,68,49
2017-04-04:14,63,34
2017-04-04:15,66,36
2017-04-04:16,63,22
2017-04-04:17,69,34
2017-04-04:18,69,44
2017-04-04:19,63,37
2017-04-04:20,62,39
2017-04-04:21,69,44
2017-04-04:22,94,41
2017-04-04:23,91,64
2017-04-04:24,75,57
2017-04-05:01,84,58
2017-04-05:02,102,68
2017-04-05:03,70,51
2017-04-05:04,44,31
2017-04-05:05,43,29
2017-04-05:06,39,27
2017-04-05:07,45,30
2017-04-05:08,60,31
2017-04-05:09,82,28
2017-04-05:10,67,29
2017-04-05:11,65,26
2017-04-05:12,52,22
2017-04-05:13,35,19
2017-04-05:14,37,18
2017-04-05:15,38,25
2017-04-05:16,41,41
2017-04-05:17,31,
2017-04-05:18,27,27
2017-04-05:19,32,19
2017-04-05:20,36,23
2017-04-05:21,29,18
2017-04-05:22,20,10
2017-04-05:23,17,10
2017-04-05:24,16,13
2017-04-06:01,22,9
2017-04-06:02,13,14
2017-04-06:03,26,15
2017-04-06:04,24,22
2017-04-06:05,28,21
2017-04-06:06,30,19
2017-04-06:07,21,17
2017-04-06:08,28,22
2017-04-06:09,21,18
2017-04-06:10,30,24
2017-04-06:11,24,22
2017-04-06:12,18,13
2017-04-06:13,19,17
2017-04-06:14,14,12
2017-04-06:15,24,19
2017-04-06:16,27,22
2017-04-06:17,27,
2017-04-06:18,21,17
2017-04-06:19,18,14
2017-04-06:20,21,19
2017-04-06:21,,27
2017-04-06:22,49,28
2017-04-06:23,45,33
2017-04-06:24,36,
2017-04-07:01,49,45
2017-04-07:02,51,41
2017-04-07:03,41,36
2017-04-07:04,35,30
2017-04-07:05,44,36
2017-04-07:06,42,32
2017-04-07:07,27,
2017-04-07:08,24,16
2017-04-07:09,26,22
2017-04-07:10,28,11
2017-04-07:11,23,14
2017-04-07:12,,15
2017-04-07:13,12,14
2017-04-07:14,18,14
2017-04-07:15,42,21
2017-04-07:16,,12
2017-04-07:17,63,31
2017-04-07:18,75,34
2017-04-07:19,67,42
2017-04-07:20,55,51
2017-04-07:21,27,
2017-04-07:22,64,33
2017-04-07:23,23,
2017-04-07:24,47,30
2017-04-08:01,73,37
2017-04-08:02,66,54
2017-04-08:03,53,40
2017-04-08:04,,30
2017-04-08:05,35,31
2017-04-08:06,37,28
2017-04-08:07,45,37
2017-04-08:08,61,40
2017-04-08:09,69,54
2017-04-08:10,66,45
2017-04-08:11,76,35
2017-04-08:12,71,34
2017-04-08:13,73,40
2017-04-08:14,65,52
2017-04-08:15,80,32
2017-04-08:16,64,37
2017-04-08:17,70,46
2017-04-08:18,88,42
2017-04-08:19,72,46
2017-04-08:20,61,40
2017-04-08:21,65,43
2017-04-08:22,62,41
2017-04-08:23,56,47
2017-04-08:24,53,
2017-04-09:01,90,47
2017-04-09:02,43,
2017-04-09:03,67,38
2017-04-09:04,68,39
2017-04-09:05,25,
2017-04-09:06,45,34
2017-04-09:07,51,37
2017-04-09:08,50,30
2017-04-09:09,51,40
2017-04-09:10,81,45
2017-04-09:11,56,28
2017-04-09:12,14,1
2017-04-09:13,15,9
2017-04-09:14,17,7
2017-04-09:15,15,13
2017-04-09:16,29,9
2017-04-09:17,32,15
2017-04-09:18,27,17
2017-04-09:19,20,
2017-04-09:20,21,15
2017-04-09:21,10,19
2017-04-09:22,16,
2017-04-09:23,29,21
2017-04-09:24,27,19
2017-04-10:01,27,25
2017-04-10:02,39,28
2017-04-10:03,35,30
2017-04-10:04,34,27
2017-04-10:05,39,26
2017-04-10:06,31,26
2017-04-10:07,32,25
2017-04-10:08,30,22
2017-04-10:09,34,17
2017-04-10:10,29,21
2017-04-10:11,30,17
2017-04-10:12,,15
2017-04-10:13,,4
2017-04-10:14,31,6
2017-04-10:15,,7
2017-04-10:16,21,4
2017-04-10:17,20,2
2017-04-10:18,15,8
2017-04-10:19,21,15
2017-04-10:20,20,15
2017-04-10:21,21,9
2017-04-10:22,47,27
2017-04-10:23,43,17
2017-04-10:24,44,20
2017-04-11:01,51,24
2017-04-11:02,20,10
2017-04-11:03,28,16
2017-04-11:04,,
2017-04-11:05,57,37
2017-04-11:06,50,33
2017-04-11:07,48,32
2017-04-11:08,32,20
2017-04-11:09,54,31
2017-04-11:10,50,28
2017-04-11:11,39,17
2017-04-11:12,52,25
2017-04-11:13,63,25
2017-04-11:14,77,33
2017-04-11:15,65,32
2017-04-11:16,60,24
2017-04-11:17,54,35
2017-04-11:18,69,48
2017-04-11:19,82,45
2017-04-11:20,97,36
2017-04-11:21,116,21
2017-04-11:22,100,17
2017-04-11:23,86,15
2017-04-11:24,81,18
2017-04-12:01,82,19
2017-04-12:02,84,26
2017-04-12:03,77,17
2017-04-12:04,66,16
2017-04-12:05,47,7
2017-04-12:06,45,14
2017-04-12:07,51,16
2017-04-12:08,51,10
2017-04-12:09,61,10
