time,pm10,pm2.5
2016-09-01:01,35,5
2016-09-01:02,28,9
2016-09-01:03,32,7
2016-09-01:04,28,9
2016-09-01:05,30,9
2016-09-01:06,19,7
2016-09-01:07,34,10
2016-09-01:08,53,24
2016-09-01:09,77,34
2016-09-01:10,76,33
2016-09-01:11,86,38
2016-09-01:12,101,40
2016-09-01:13,89,45
2016-09-01:14,104,38
2016-09-01:15,92,48
2016-09-01:16,95,40
2016-09-01:17,97,37
2016-09-01:18,78,32
2016-09-01:19,83,38
2016-09-01:20,88,32
2016-09-01:21,88,35
2016-09-01:22,89,44
2016-09-01:23,73,36
2016-09-01:24,72,32
2016-09-02:01,65,35
2016-09-02:02,69,37
2016-09-02:03,41,32
2016-09-02:04,19,
2016-09-02:05,57,20
2016-09-02:06,56,29
2016-09-02:07,40,23
2016-09-02:08,42,26
2016-09-02:09,,27
2016-09-02:10,,24
2016-09-02:11,31,21
2016-09-02:12,31,15
2016-09-02:13,23,17
2016-09-02:14,21,11
2016-09-02:15,14,10
2016-09-02:16,10,6
2016-09-02:17,18,6
2016-09-02:18,8,4
2016-09-02:19,18,9
2016-09-02:20,19,13
2016-09-02:21,28,9
2016-09-02:22,21,11
2016-09-02:23,22,14
2016-09-02:24,24,13
2016-09-03:01,23,15
2016-09-03:02,20,10
2016-09-03:03,18,10
2016-09-03:04,18,14
2016-09-03:05,21,13
2016-09-03:06,14,11
2016-09-03:07,15,10
2016-09-03:08,12,7
2016-09-03:09,15,11
2016-09-03:10,14,5
2016-09-03:11,,11
2016-09-03:12,11,4
2016-09-03:13,20,8
2016-09-03:14,12,10
2016-09-03:15,18,9
2016-09-03:16,19,8
2016-09-03:17,17,10
2016-09-03:18,23,12
2016-09-03:19,23,13
2016-09-03:20,34,12
2016-09-03:21,32,14
2016-09-03:22,34,19
2016-09-03:23,40,23
2016-09-03:24,35,23
2016-09-04:01,36,17
2016-09-04:02,29,20
2016-09-04:03,29,16
2016-09-04:04,28,10
2016-09-04:05,14,10
2016-09-04:06,11,7
2016-09-04:07,7,2
2016-09-04:08,11,6
2016-09-04:09,14,1
2016-09-04:10,5,
2016-09-04:11,16,8
2016-09-04:12,19,8
2016-09-04:13,16,9
2016-09-04:14,15,8
2016-09-04:15,26,13
2016-09-04:16,27,13
2016-09-04:17,28,18
2016-09-04:18,25,7
2016-09-04:19,22,9
2016-09-04:20,20,10
2016-09-04:21,11,9
2016-09-04:22,22,10
2016-09-04:23,17,10
2016-09-04:24,21,9
2016-09-05:01,20,7
2016-09-05:02,20,12
2016-09-05:03,20,9
2016-09-05:04,19,11
2016-09-05:05,23,11
2016-09-05:06,22,10
2016-09-05:07,21,13
2016-09-05:08,22,6
2016-09-05:09,26,14
2016-09-05:10,22,6
2016-09-05:11,23,11
2016-09-05:12,25,15
2016-09-05:13,38,12
2016-09-05:14,41,20
2016-09-05:15,31,11
2016-09-05:16,46,17
2016-09-05:17,41,24
2016-09-05:18,40,20
2016-09-05:19,35,16
2016-09-05:20,41,17
2016-09-05:21,43,10
2016-09-05:22,44,18
2016-09-05:23,49,18
2016-09-05:24,42,20
2016-09-06:01,43,19
2016-09-06:02,45,21
2016-09-06:03,38,23
2016-09-06:04,48,22
2016-09-06:05,43,18
2016-09-06:06,42,23
2016-09-06:07,44,20
2016-09-06:08,40,18
2016-09-06:09,47,24
2016-09-06:10,43,24
2016-09-06:11,43,19
2016-09-06:12,39,18
2016-09-06:13,39,17
2016-09-06:14,52,22
2016-09-06:15,74,37
2016-09-06:16,58,23
2016-09-06:17,50,28
2016-09-06:18,47,19
2016-09-06:19,87,34
2016-09-06:20,115,49
2016-09-06:21,110,48
2016-09-06:22,115,57
2016-09-06:23,104,55
2016-09-06:24,90,46
2016-09-07:01,89,47
2016-09-07:02,87,43
2016-09-07:03,91,46
2016-09-07:04,87,46
2016-09-07:05,82,41
2016-09-07:06,77,43
2016-09-07:07,84,38
2016-09-07:08,93,40
2016-09-07:09,99,44
2016-09-07:10,85,47
2016-09-07:11,79,40
2016-09-07:12,79,41
2016-09-07:13,81,37
2016-09-07:14,78,41
2016-09-07:15,68,31
2016-09-07:16,64,32
2016-09-07:17,83,33
2016-09-07:18,72,33
2016-09-07:19,63,29
2016-09-07:20,58,27
2016-09-07:21,50,28
2016-09-07:22,50,29
2016-09-07:23,52,24
2016-09-07:24,52,32
2016-09-08:01,50,26
2016-09-08:02,39,19
2016-09-08:03,27,23
2016-09-08:04,43,22
2016-09-08:05,40,19
2016-09-08:06,40,22
2016-09-08:07,41,25
2016-09-08:08,46,24
2016-09-08:09,46,22
2016-09-08:10,42,23
2016-09-08:11,53,21
2016-09-08:12,48,25
2016-09-08:13,58,24
2016-09-08:14,37,22
2016-09-08:15,27,13
2016-09-08:16,32,18
2016-09-08:17,32,16
2016-09-08:18,35,16
2016-09-08:19,48,25
2016-09-08:20,53,25
2016-09-08:21,84,32
2016-09-08:22,69,38
2016-09-08:23,70,36
2016-09-08:24,60,32
2016-09-09:01,39,26
2016-09-09:02,23,23
2016-09-09:03,36,22
2016-09-09:04,31,20
2016-09-09:05,49,22
2016-09-09:06,28,17
2016-09-09:07,51,17
2016-09-09:08,11,10
2016-09-09:09,51,15
2016-09-09:10,45,15
2016-09-09:11,41,18
2016-09-09:12,53,29
2016-09-09:13,49,29
2016-09-09:14,44,23
2016-09-09:15,,23
2016-09-09:16,43,27
2016-09-09:17,33,23
2016-09-09:18,36,15
2016-09-09:19,49,14
2016-09-09:20,54,21
2016-09-09:21,54,18
2016-09-09:22,47,15
2016-09-09:23,44,25
2016-09-09:24,43,24
2016-09-10:01,45,24
2016-09-10:02,45,20
2016-09-10:03,46,26
2016-09-10:04,36,22
2016-09-10:05,32,8
2016-09-10:06,23,17
2016-09-10:07,27,11
2016-09-10:08,20,10
2016-09-10:09,22,9
2016-09-10:10,20,14
2016-09-10:11,23,10
2016-09-10:12,25,7
2016-09-10:13,36,23
2016-09-10:14,47,23
2016-09-10:15,41,17
2016-09-10:16,39,27
2016-09-10:17,41,18
2016-09-10:18,40,23
2016-09-10:19,42,24
2016-09-10:20,52,21
2016-09-10:21,69,20
2016-09-10:22,66,34
2016-09-10:23,62,30
2016-09-10:24,51,30
2016-09-11:01,45,25
2016-09-11:02,48,25
2016-09-11:03,38,20
2016-09-11:04,35,18
2016-09-11:05,29,15
2016-09-11:06,34,16
2016-09-11:07,26,15
2016-09-11:08,29,14
2016-09-11:09,27,13
2016-09-11:10,27,11
2016-09-11:11,20,16
2016-09-11:12,32,18
2016-09-11:13,34,21
2016-09-11:14,34,20
2016-09-11:15,33,20
2016-09-11:16,29,15
