time,pm10,pm2.5
2018-01-01:01,51,
2018-01-01:02,64,
2018-01-01:03,49,
2018-01-01:04,43,
2018-01-01:05,42,
2018-01-01:06,42,
2018-01-01:07,39,
2018-01-01:08,44,
2018-01-01:09,48,
2018-01-01:10,43,
2018-01-01:11,54,
2018-01-01:12,48,
2018-01-01:13,60,
2018-01-01:14,59,
2018-01-01:15,68,
2018-01-01:16,79,
2018-01-01:17,67,
2018-01-01:18,73,
2018-01-01:19,59,
2018-01-01:20,69,
2018-01-01:21,70,
2018-01-01:22,61,
2018-01-01:23,61,
2018-01-01:24,55,
2018-01-02:01,55,
2018-01-02:02,56,
2018-01-02:03,50,
2018-01-02:04,54,
2018-01-02:05,52,
2018-01-02:06,51,
2018-01-02:07,53,
2018-01-02:08,58,
2018-01-02:09,63,
2018-01-02:10,84,
2018-01-02:11,92,
2018-01-02:12,72,
2018-01-02:13,55,
2018-01-02:14,51,
2018-01-02:15,37,
2018-01-02:16,47,
2018-01-02:17,40,
2018-01-02:18,39,
2018-01-02:19,29,
2018-01-02:20,25,
2018-01-02:21,28,
2018-01-02:22,32,
2018-01-02:23,34,
2018-01-02:24,34,
2018-01-03:01,34,
2018-01-03:02,39,
2018-01-03:03,38,
2018-01-03:04,42,
2018-01-03:05,41,
2018-01-03:06,48,
2018-01-03:07,51,
2018-01-03:08,57,
2018-01-03:09,55,
2018-01-03:10,50,
2018-01-03:11,55,
2018-01-03:12,44,
2018-01-03:13,41,
2018-01-03:14,52,
2018-01-03:15,43,
2018-01-03:16,47,
2018-01-03:17,52,
2018-01-03:18,50,
2018-01-03:19,42,
2018-01-03:20,45,
2018-01-03:21,32,
2018-01-03:22,34,
2018-01-03:23,37,
2018-01-03:24,39,
2018-01-04:01,37,
2018-01-04:02,38,
2018-01-04:03,39,
2018-01-04:04,38,
2018-01-04:05,38,
2018-01-04:06,40,
2018-01-04:07,39,
2018-01-04:08,47,
2018-01-04:09,45,
2018-01-04:10,54,
2018-01-04:11,56,
2018-01-04:12,43,
2018-01-04:13,46,
2018-01-04:14,64,
2018-01-04:15,,
2018-01-04:16,67,
2018-01-04:17,62,
2018-01-04:18,65,
2018-01-04:19,60,
2018-01-04:20,62,
2018-01-04:21,73,
2018-01-04:22,74,
2018-01-04:23,78,
2018-01-04:24,74,
2018-01-05:01,75,
2018-01-05:02,73,
2018-01-05:03,79,
2018-01-05:04,72,
2018-01-05:05,66,
2018-01-05:06,77,
2018-01-05:07,97,
2018-01-05:08,92,
2018-01-05:09,91,
2018-01-05:10,50,
2018-01-05:11,46,
2018-01-05:12,54,
2018-01-05:13,70,
2018-01-05:14,83,
2018-01-05:15,80,
2018-01-05:16,94,
2018-01-05:17,58,
2018-01-05:18,63,
2018-01-05:19,54,
2018-01-05:20,59,
2018-01-05:21,68,
2018-01-05:22,65,
2018-01-05:23,62,
2018-01-05:24,59,
2018-01-06:01,52,
2018-01-06:02,42,
2018-01-06:03,44,
2018-01-06:04,48,
2018-01-06:05,44,
2018-01-06:06,40,
2018-01-06:07,44,
2018-01-06:08,66,
2018-01-06:09,71,
2018-01-06:10,89,
2018-01-06:11,95,
2018-01-06:12,69,
2018-01-06:13,56,
2018-01-06:14,57,
2018-01-06:15,54,
2018-01-06:16,62,
2018-01-06:17,55,
2018-01-06:18,68,
2018-01-06:19,52,
2018-01-06:20,54,
2018-01-06:21,79,
2018-01-06:22,58,
2018-01-06:23,64,
2018-01-06:24,63,
2018-01-07:01,60,
2018-01-07:02,55,
2018-01-07:03,55,
2018-01-07:04,52,
2018-01-07:05,57,
2018-01-07:06,54,
2018-01-07:07,59,
2018-01-07:08,59,
2018-01-07:09,71,
2018-01-07:10,78,
2018-01-07:11,82,
2018-01-07:12,60,
2018-01-07:13,66,
2018-01-07:14,68,
2018-01-07:15,58,
2018-01-07:16,68,
2018-01-07:17,61,
2018-01-07:18,59,
2018-01-07:19,62,
2018-01-07:20,75,
2018-01-07:21,78,
2018-01-07:22,77,
2018-01-07:23,70,
