time,pm10,pm2.5
2019-09-01:01,14,7
2019-09-01:02,,10
2019-09-01:03,15,13
2019-09-01:04,27,13
2019-09-01:05,30,13
2019-09-01:06,25,12
2019-09-01:07,26,10
2019-09-01:08,26,11
2019-09-01:09,24,14
2019-09-01:10,25,14
2019-09-01:11,21,19
2019-09-01:12,23,14
2019-09-01:13,23,11
2019-09-01:14,21,13
2019-09-01:15,15,13
2019-09-01:16,16,9
2019-09-01:17,14,13
2019-09-01:18,14,10
2019-09-01:19,22,10
2019-09-01:20,14,11
2019-09-01:21,17,9
2019-09-01:22,16,13
2019-09-01:23,15,11
2019-09-01:24,17,9
2019-09-02:01,16,12
2019-09-02:02,16,11
2019-09-02:03,17,11
2019-09-02:04,16,11
2019-09-02:05,17,14
2019-09-02:06,12,12
2019-09-02:07,17,14
2019-09-02:08,15,14
2019-09-02:09,12,13
2019-09-02:10,17,13
2019-09-02:11,13,11
2019-09-02:12,18,9
2019-09-02:13,20,10
2019-09-02:14,23,12
2019-09-02:15,19,11
2019-09-02:16,19,13
2019-09-02:17,20,12
2019-09-02:18,17,12
2019-09-02:19,33,11
2019-09-02:20,33,9
2019-09-02:21,33,9
2019-09-02:22,31,12
2019-09-02:23,31,13
2019-09-02:24,39,13
2019-09-03:01,33,13
2019-09-03:02,33,10
2019-09-03:03,27,11
2019-09-03:04,16,16
2019-09-03:05,23,12
2019-09-03:06,17,14
2019-09-03:07,16,11
2019-09-03:08,18,16
2019-09-03:09,20,12
2019-09-03:10,14,11
2019-09-03:11,16,13
2019-09-03:12,18,10
2019-09-03:13,18,11
2019-09-03:14,17,9
2019-09-03:15,14,9
2019-09-03:16,13,7
2019-09-03:17,13,8
2019-09-03:18,11,7
2019-09-03:19,11,7
2019-09-03:20,8,5
2019-09-03:21,8,5
2019-09-03:22,8,3
2019-09-03:23,9,2
2019-09-03:24,6,1
2019-09-04:01,12,3
2019-09-04:02,8,4
2019-09-04:03,11,4
2019-09-04:04,11,3
2019-09-04:05,10,1
2019-09-04:06,6,1
2019-09-04:07,4,2
2019-09-04:08,9,2
2019-09-04:09,9,3
2019-09-04:10,7,3
2019-09-04:11,11,1
2019-09-04:12,13,2
2019-09-04:13,13,5
2019-09-04:14,,
2019-09-04:15,,5
2019-09-04:16,3,4
2019-09-04:17,21,1
2019-09-04:18,13,1
2019-09-04:19,13,3
2019-09-04:20,12,5
2019-09-04:21,14,5
2019-09-04:22,14,11
2019-09-04:23,13,8
2019-09-04:24,10,8
2019-09-05:01,12,5
2019-09-05:02,12,6
