time,pm10,pm2.5
2019-10-01:01,67,36
2019-10-01:02,67,35
2019-10-01:03,,
2019-10-01:04,,
2019-10-01:05,80,40
2019-10-01:06,,
2019-10-01:07,,
2019-10-01:08,76,38
2019-10-01:09,,
2019-10-01:10,,
2019-10-01:11,,
2019-10-01:12,,
2019-10-01:13,,
2019-10-01:14,,
2019-10-01:15,57,22
2019-10-01:16,45,22
2019-10-01:17,50,25
2019-10-01:18,,
2019-10-01:19,54,23
2019-10-01:20,55,28
2019-10-01:21,48,24
2019-10-01:22,48,24
2019-10-01:23,55,31
2019-10-01:24,62,40
2019-10-02:01,66,37
2019-10-02:02,65,33
2019-10-02:03,60,31
2019-10-02:04,60,23
2019-10-02:05,49,23
2019-10-02:06,43,23
2019-10-02:07,40,23
2019-10-02:08,43,24
2019-10-02:09,47,25
2019-10-02:10,49,24
2019-10-02:11,45,22
2019-10-02:12,47,17
2019-10-02:13,22,9
2019-10-02:14,21,7
2019-10-02:15,30,12
2019-10-02:16,21,12
2019-10-02:17,21,10
2019-10-02:18,14,3
2019-10-02:19,20,6
2019-10-02:20,13,6
2019-10-02:21,13,4
2019-10-02:22,12,3
2019-10-02:23,9,3
2019-10-02:24,9,1
2019-10-03:01,10,1
2019-10-03:02,14,2
2019-10-03:03,11,2
2019-10-03:04,10,1
2019-10-03:05,10,1
2019-10-03:06,14,2
2019-10-03:07,16,2
2019-10-03:08,14,5
2019-10-03:09,20,5
2019-10-03:10,15,3
2019-10-03:11,14,2
2019-10-03:12,13,2
2019-10-03:13,18,2
2019-10-03:14,16,3
2019-10-03:15,17,5
2019-10-03:16,17,5
2019-10-03:17,20,3
2019-10-03:18,21,5
2019-10-03:19,18,5
2019-10-03:20,18,9
2019-10-03:21,21,9
2019-10-03:22,21,9
2019-10-03:23,26,10
2019-10-03:24,26,8
2019-10-04:01,22,7
2019-10-04:02,19,9
2019-10-04:03,24,9
2019-10-04:04,21,9
2019-10-04:05,22,10
2019-10-04:06,24,9
2019-10-04:07,21,6
2019-10-04:08,24,9
2019-10-04:09,23,9
2019-10-04:10,31,9
2019-10-04:11,31,11
2019-10-04:12,,
2019-10-04:13,34,12
2019-10-04:14,40,17
2019-10-04:15,40,20
2019-10-04:16,43,25
2019-10-04:17,40,25
2019-10-04:18,40,
2019-10-04:19,32,21
2019-10-04:20,32,23
2019-10-04:21,88,23
2019-10-04:22,90,49
2019-10-04:23,90,45
2019-10-04:24,93,45
2019-10-05:01,93,45
2019-10-05:02,84,40
2019-10-05:03,82,34
2019-10-05:04,72,32
2019-10-05:05,75,31
2019-10-05:06,83,33
2019-10-05:07,84,36
2019-10-05:08,82,33
2019-10-05:09,77,30
2019-10-05:10,78,29
2019-10-05:11,69,29
2019-10-05:12,66,26
2019-10-05:13,66,23
2019-10-05:14,58,23
2019-10-05:15,55,19
2019-10-05:16,31,15
2019-10-05:17,17,5
2019-10-05:18,15,4
2019-10-05:19,15,4
2019-10-05:20,17,1
2019-10-05:21,12,1
2019-10-05:22,11,1
2019-10-05:23,11,3
2019-10-05:24,8,1
2019-10-06:01,12,1
2019-10-06:02,12,2
2019-10-06:03,14,2
2019-10-06:04,13,4
2019-10-06:05,16,4
2019-10-06:06,17,5
2019-10-06:07,15,5
2019-10-06:08,17,4
2019-10-06:09,18,7
2019-10-06:10,19,6
2019-10-06:11,17,5
2019-10-06:12,17,11
2019-10-06:13,19,4
2019-10-06:14,24,3
2019-10-06:15,27,4
2019-10-06:16,21,6
2019-10-06:17,22,6
2019-10-06:18,22,5
2019-10-06:19,24,6
2019-10-06:20,27,6
2019-10-06:21,27,6
2019-10-06:22,27,9
2019-10-06:23,25,8
2019-10-06:24,25,8
2019-10-07:01,23,8
2019-10-07:02,22,7
2019-10-07:03,20,7
2019-10-07:04,20,5
2019-10-07:05,21,5
2019-10-07:06,17,6
2019-10-07:07,21,6
2019-10-07:08,17,6
2019-10-07:09,18,5
2019-10-07:10,19,10
2019-10-07:11,17,7
2019-10-07:12,20,6
2019-10-07:13,12,6
2019-10-07:14,12,6
2019-10-07:15,17,5
2019-10-07:16,15,5
2019-10-07:17,15,4
2019-10-07:18,12,4
2019-10-07:19,16,4
2019-10-07:20,16,4
2019-10-07:21,16,4
2019-10-07:22,10,4
2019-10-07:23,15,8
2019-10-07:24,15,5
2019-10-08:01,16,4
2019-10-08:02,17,4
2019-10-08:03,18,8
2019-10-08:04,23,9
2019-10-08:05,27,9
2019-10-08:06,39,14
2019-10-08:07,32,14
2019-10-08:08,,19
2019-10-08:09,46,15
2019-10-08:10,43,14
2019-10-08:11,50,14
2019-10-08:12,43,19
2019-10-08:13,41,16
2019-10-08:14,32,9
2019-10-08:15,36,8
2019-10-08:16,36,6
2019-10-08:17,38,4
2019-10-08:18,31,4
2019-10-08:19,30,5
2019-10-08:20,30,4
2019-10-08:21,30,4
2019-10-08:22,24,
2019-10-08:23,24,5
2019-10-08:24,,5
2019-10-09:01,30,5
2019-10-09:02,26,5
2019-10-09:03,27,5
2019-10-09:04,27,6
2019-10-09:05,26,7
2019-10-09:06,26,7
2019-10-09:07,25,7
2019-10-09:08,32,6
2019-10-09:09,31,6
2019-10-09:10,37,9
2019-10-09:11,42,8
2019-10-09:12,40,10
2019-10-09:13,26,8
2019-10-09:14,25,6
2019-10-09:15,25,6
2019-10-09:16,33,5
2019-10-09:17,38,14
2019-10-09:18,37,8
2019-10-09:19,30,7
2019-10-09:20,30,7
2019-10-09:21,31,9
2019-10-09:22,31,10
2019-10-09:23,31,10
2019-10-09:24,30,12
2019-10-10:01,30,12
2019-10-10:02,28,10
2019-10-10:03,30,10
2019-10-10:04,27,9
2019-10-10:05,28,10
2019-10-10:06,31,10
2019-10-10:07,31,11
2019-10-10:08,36,14
2019-10-10:09,42,12
2019-10-10:10,48,15
2019-10-10:11,46,14
2019-10-10:12,47,14
2019-10-10:13,43,16
2019-10-10:14,45,12
2019-10-10:15,45,12
2019-10-10:16,41,16
2019-10-10:17,47,17
2019-10-10:18,46,17
2019-10-10:19,46,15
2019-10-10:20,42,18
2019-10-10:21,56,23
2019-10-10:22,60,23
2019-10-10:23,60,21
2019-10-10:24,,17
2019-10-11:01,43,15
2019-10-11:02,43,17
2019-10-11:03,40,15
2019-10-11:04,40,16
2019-10-11:05,48,16
2019-10-11:06,48,18
2019-10-11:07,54,22
2019-10-11:08,52,23
2019-10-11:09,59,23
2019-10-11:10,76,21
2019-10-11:11,69,24
2019-10-11:12,69,27
2019-10-11:13,68,23
2019-10-11:14,63,22
2019-10-11:15,40,17
2019-10-11:16,34,17
2019-10-11:17,40,13
2019-10-11:18,40,14
2019-10-11:19,34,13
2019-10-11:20,42,13
2019-10-11:21,37,14
2019-10-11:22,37,11
2019-10-11:23,34,11
2019-10-11:24,35,14
2019-10-12:01,32,14
2019-10-12:02,37,11
2019-10-12:03,35,13
2019-10-12:04,35,11
2019-10-12:05,30,11
2019-10-12:06,28,10
2019-10-12:07,36,11
2019-10-12:08,42,13
2019-10-12:09,36,12
2019-10-12:10,34,12
2019-10-12:11,40,9
2019-10-12:12,41,
2019-10-12:13,38,
2019-10-12:14,34,8
2019-10-12:15,33,8
2019-10-12:16,37,8
2019-10-12:17,37,10
2019-10-12:18,31,10
2019-10-12:19,30,7
2019-10-12:20,37,8
2019-10-12:21,37,8
2019-10-12:22,28,8
2019-10-12:23,24,6
2019-10-12:24,24,6
2019-10-13:01,25,6
2019-10-13:02,23,6
2019-10-13:03,21,6
2019-10-13:04,23,7
2019-10-13:05,24,7
2019-10-13:06,25,6
2019-10-13:07,27,5
2019-10-13:08,27,7
2019-10-13:09,28,6
2019-10-13:10,27,6
2019-10-13:11,26,6
2019-10-13:12,31,6
2019-10-13:13,27,7
2019-10-13:14,23,6
2019-10-13:15,23,10
2019-10-13:16,24,10
2019-10-13:17,27,7
2019-10-13:18,30,2
2019-10-13:19,28,8
2019-10-13:20,28,8
2019-10-13:21,34,12
2019-10-13:22,36,11
2019-10-13:23,36,11
2019-10-13:24,34,12
2019-10-14:01,34,12
2019-10-14:02,30,11
2019-10-14:03,33,11
2019-10-14:04,28,11
2019-10-14:05,30,11
2019-10-14:06,29,13
2019-10-14:07,37,24
2019-10-14:08,40,14
2019-10-14:09,50,18
2019-10-14:10,54,20
2019-10-14:11,58,22
2019-10-14:12,58,21
2019-10-14:13,58,21
2019-10-14:14,42,13
2019-10-14:15,,14
2019-10-14:16,27,10
2019-10-14:17,34,9
2019-10-14:18,38,9
2019-10-14:19,38,8
2019-10-14:20,47,11
2019-10-14:21,48,11
2019-10-14:22,48,10
2019-10-14:23,48,11
2019-10-14:24,48,11
2019-10-15:01,48,13
2019-10-15:02,48,10
2019-10-15:03,47,8
2019-10-15:04,45,8
2019-10-15:05,40,8
2019-10-15:06,30,8
2019-10-15:07,29,8
2019-10-15:08,21,7
2019-10-15:09,20,7
2019-10-15:10,16,5
2019-10-15:11,16,2
2019-10-15:12,14,3
2019-10-15:13,13,4
2019-10-15:14,15,4
2019-10-15:15,,
2019-10-15:16,19,5
2019-10-15:17,16,
2019-10-15:18,16,3
2019-10-15:19,21,7
2019-10-15:20,23,7
2019-10-15:21,23,9
2019-10-15:22,23,10
2019-10-15:23,26,10
2019-10-15:24,27,9
2019-10-16:01,24,9
2019-10-16:02,28,10
2019-10-16:03,30,11
2019-10-16:04,30,10
2019-10-16:05,26,12
2019-10-16:06,34,14
2019-10-16:07,38,17
2019-10-16:08,38,17
2019-10-16:09,40,17
2019-10-16:10,47,12
2019-10-16:11,39,14
2019-10-16:12,43,14
2019-10-16:13,43,14
2019-10-16:14,41,12
2019-10-16:15,46,18
2019-10-16:16,46,14
2019-10-16:17,45,13
2019-10-16:18,34,13
2019-10-16:19,33,13
2019-10-16:20,34,11
2019-10-16:21,34,11
2019-10-16:22,33,12
2019-10-16:23,42,16
2019-10-16:24,42,16
2019-10-17:01,42,17
2019-10-17:02,41,16
2019-10-17:03,36,12
2019-10-17:04,41,19
2019-10-17:05,40,19
2019-10-17:06,47,16
2019-10-17:07,46,17
2019-10-17:08,50,18
2019-10-17:09,56,23
2019-10-17:10,54,23
2019-10-17:11,50,18
2019-10-17:12,45,13
2019-10-17:13,33,11
2019-10-17:14,31,12
2019-10-17:15,31,12
2019-10-17:16,28,9
2019-10-17:17,23,8
2019-10-17:18,31,8
2019-10-17:19,30,10
2019-10-17:20,30,10
2019-10-17:21,33,13
2019-10-17:22,38,16
2019-10-17:23,38,16
2019-10-17:24,36,8
2019-10-18:01,36,8
2019-10-18:02,33,11
2019-10-18:03,29,14
2019-10-18:04,22,9
2019-10-18:05,21,8
2019-10-18:06,26,12
2019-10-18:07,27,9
2019-10-18:08,33,13
2019-10-18:09,32,12
2019-10-18:10,31,16
2019-10-18:11,28,9
2019-10-18:12,25,9
2019-10-18:13,25,8
2019-10-18:14,23,5
2019-10-18:15,22,8
2019-10-18:16,18,10
2019-10-18:17,19,6
2019-10-18:18,23,6
2019-10-18:19,23,10
2019-10-18:20,24,6
2019-10-18:21,27,10
2019-10-18:22,27,10
2019-10-18:23,28,7
2019-10-18:24,24,7
2019-10-19:01,23,7
2019-10-19:02,23,7
2019-10-19:03,18,8
2019-10-19:04,27,8
2019-10-19:05,22,8
2019-10-19:06,28,8
2019-10-19:07,31,9
2019-10-19:08,29,9
2019-10-19:09,33,12
2019-10-19:10,34,10
2019-10-19:11,34,8
2019-10-19:12,31,6
2019-10-19:13,27,6
2019-10-19:14,30,8
2019-10-19:15,31,8
2019-10-19:16,30,7
2019-10-19:17,32,7
2019-10-19:18,32,13
2019-10-19:19,39,12
2019-10-19:20,40,12
2019-10-19:21,41,15
2019-10-19:22,41,13
2019-10-19:23,39,13
2019-10-19:24,44,16
2019-10-20:01,42,16
2019-10-20:02,43,18
2019-10-20:03,39,18
2019-10-20:04,39,16
2019-10-20:05,40,18
2019-10-20:06,39,19
2019-10-20:07,42,22
2019-10-20:08,41,20
2019-10-20:09,43,23
2019-10-20:10,50,25
2019-10-20:11,54,29
2019-10-20:12,,29
2019-10-20:13,70,30
2019-10-20:14,53,29
2019-10-20:15,47,17
2019-10-20:16,47,19
2019-10-20:17,47,19
2019-10-20:18,46,19
2019-10-20:19,44,19
2019-10-20:20,40,13
2019-10-20:21,40,13
2019-10-20:22,43,17
2019-10-20:23,39,18
2019-10-20:24,39,18
2019-10-21:01,44,14
2019-10-21:02,43,17
2019-10-21:03,41,19
2019-10-21:04,44,19
2019-10-21:05,39,19
2019-10-21:06,38,16
2019-10-21:07,46,19
2019-10-21:08,49,19
2019-10-21:09,50,19
2019-10-21:10,54,19
2019-10-21:11,60,25
2019-10-21:12,65,24
2019-10-21:13,56,24
2019-10-21:14,55,22
2019-10-21:15,55,22
2019-10-21:16,49,22
2019-10-21:17,57,21
2019-10-21:18,57,22
2019-10-21:19,61,28
2019-10-21:20,61,28
2019-10-21:21,60,28
2019-10-21:22,58,28
2019-10-21:23,58,28
2019-10-21:24,59,25
2019-10-22:01,59,25
2019-10-22:02,58,27
2019-10-22:03,65,30
2019-10-22:04,63,33
2019-10-22:05,49,26
2019-10-22:06,55,21
2019-10-22:07,47,23
2019-10-22:08,59,27
2019-10-22:09,58,28
