time,pm10,pm2.5
2019-10-01:01,48,31
2019-10-01:02,46,32
2019-10-01:03,,
2019-10-01:04,,
2019-10-01:05,33,24
2019-10-01:06,,
2019-10-01:07,35,27
2019-10-01:08,38,29
2019-10-01:09,,
2019-10-01:10,40,25
2019-10-01:11,,
2019-10-01:12,34,18
2019-10-01:13,,
2019-10-01:14,,
2019-10-01:15,33,22
2019-10-01:16,33,25
2019-10-01:17,27,20
2019-10-01:18,,
2019-10-01:19,38,23
2019-10-01:20,35,22
2019-10-01:21,32,24
2019-10-01:22,34,25
2019-10-01:23,32,23
2019-10-01:24,23,17
2019-10-02:01,28,21
2019-10-02:02,30,22
2019-10-02:03,25,23
2019-10-02:04,24,18
2019-10-02:05,24,22
2019-10-02:06,24,24
2019-10-02:07,21,20
2019-10-02:08,29,22
2019-10-02:09,43,26
2019-10-02:10,40,19
2019-10-02:11,28,16
2019-10-02:12,22,13
2019-10-02:13,13,12
2019-10-02:14,13,10
2019-10-02:15,25,11
2019-10-02:16,30,11
2019-10-02:17,18,11
2019-10-02:18,23,12
2019-10-02:19,18,9
2019-10-02:20,17,8
2019-10-02:21,5,
2019-10-02:22,7,6
2019-10-02:23,5,5
2019-10-02:24,3,
2019-10-03:01,3,
2019-10-03:02,4,
2019-10-03:03,3,
2019-10-03:04,3,
2019-10-03:05,,7
2019-10-03:06,3,
2019-10-03:07,5,
2019-10-03:08,7,5
2019-10-03:09,9,8
2019-10-03:10,15,13
2019-10-03:11,16,8
2019-10-03:12,17,6
2019-10-03:13,7,4
2019-10-03:14,13,4
2019-10-03:15,12,5
2019-10-03:16,13,5
2019-10-03:17,15,9
2019-10-03:18,14,7
2019-10-03:19,14,8
2019-10-03:20,16,9
2019-10-03:21,12,8
2019-10-03:22,,12
2019-10-03:23,13,10
2019-10-03:24,16,11
2019-10-04:01,12,8
2019-10-04:02,13,8
2019-10-04:03,,13
2019-10-04:04,10,10
2019-10-04:05,8,8
2019-10-04:06,8,7
2019-10-04:07,9,8
2019-10-04:08,11,
2019-10-04:09,21,10
2019-10-04:10,18,15
2019-10-04:11,18,11
2019-10-04:12,18,11
2019-10-04:13,20,14
2019-10-04:14,33,18
2019-10-04:15,31,21
2019-10-04:16,48,28
2019-10-04:17,37,22
2019-10-04:18,27,15
2019-10-04:19,38,21
2019-10-04:20,36,28
2019-10-04:21,56,41
2019-10-04:22,65,44
2019-10-04:23,59,43
2019-10-04:24,64,42
2019-10-05:01,50,33
2019-10-05:02,50,31
2019-10-05:03,49,32
2019-10-05:04,46,29
2019-10-05:05,49,29
2019-10-05:06,49,31
2019-10-05:07,55,28
2019-10-05:08,55,32
2019-10-05:09,49,28
2019-10-05:10,53,24
2019-10-05:11,45,22
2019-10-05:12,55,23
2019-10-05:13,48,23
2019-10-05:14,41,21
2019-10-05:15,42,22
2019-10-05:16,35,13
2019-10-05:17,10,8
2019-10-05:18,7,4
2019-10-05:19,6,5
2019-10-05:20,6,3
2019-10-05:21,4,3
2019-10-05:22,3,3
2019-10-05:23,3,3
2019-10-05:24,4,4
2019-10-06:01,3,3
2019-10-06:02,6,5
2019-10-06:03,8,6
2019-10-06:04,9,6
2019-10-06:05,7,4
2019-10-06:06,9,5
2019-10-06:07,7,5
2019-10-06:08,8,4
2019-10-06:09,9,2
2019-10-06:10,9,4
2019-10-06:11,14,4
2019-10-06:12,11,3
2019-10-06:13,11,4
2019-10-06:14,7,5
2019-10-06:15,13,5
2019-10-06:16,10,6
2019-10-06:17,7,
2019-10-06:18,12,8
2019-10-06:19,14,8
2019-10-06:20,9,7
2019-10-06:21,8,7
2019-10-06:22,10,8
2019-10-06:23,9,7
2019-10-06:24,11,7
2019-10-07:01,14,9
2019-10-07:02,10,8
2019-10-07:03,10,7
2019-10-07:04,10,7
2019-10-07:05,9,6
2019-10-07:06,6,
2019-10-07:07,5,
2019-10-07:08,7,7
2019-10-07:09,18,8
2019-10-07:10,15,9
2019-10-07:11,14,11
2019-10-07:12,9,8
2019-10-07:13,7,6
2019-10-07:14,5,
2019-10-07:15,16,7
2019-10-07:16,15,8
2019-10-07:17,17,8
2019-10-07:18,9,9
2019-10-07:19,10,9
2019-10-07:20,13,6
2019-10-07:21,10,
2019-10-07:22,10,8
2019-10-07:23,8,7
2019-10-07:24,5,
2019-10-08:01,6,
2019-10-08:02,,10
2019-10-08:03,7,
2019-10-08:04,7,
2019-10-08:05,13,10
2019-10-08:06,18,11
2019-10-08:07,15,13
2019-10-08:08,20,15
2019-10-08:09,27,15
2019-10-08:10,39,17
2019-10-08:11,39,17
2019-10-08:12,39,17
2019-10-08:13,36,16
2019-10-08:14,30,11
2019-10-08:15,29,7
2019-10-08:16,34,12
2019-10-08:17,36,12
2019-10-08:18,29,10
2019-10-08:19,24,10
2019-10-08:20,23,10
2019-10-08:21,24,11
2019-10-08:22,26,11
2019-10-08:23,20,9
2019-10-08:24,21,9
2019-10-09:01,20,8
2019-10-09:02,17,10
2019-10-09:03,18,7
2019-10-09:04,18,9
2019-10-09:05,23,8
2019-10-09:06,23,8
2019-10-09:07,23,11
2019-10-09:08,18,9
2019-10-09:09,25,11
2019-10-09:10,32,10
2019-10-09:11,30,12
2019-10-09:12,26,10
2019-10-09:13,24,7
2019-10-09:14,21,8
2019-10-09:15,31,12
2019-10-09:16,42,13
2019-10-09:17,32,17
2019-10-09:18,30,12
2019-10-09:19,31,12
2019-10-09:20,23,12
2019-10-09:21,25,11
2019-10-09:22,27,15
2019-10-09:23,27,14
2019-10-09:24,24,11
2019-10-10:01,23,11
2019-10-10:02,23,11
2019-10-10:03,21,14
2019-10-10:04,20,13
2019-10-10:05,18,11
2019-10-10:06,19,12
2019-10-10:07,17,12
2019-10-10:08,25,12
2019-10-10:09,26,10
2019-10-10:10,30,14
2019-10-10:11,32,18
2019-10-10:12,40,15
2019-10-10:13,32,14
2019-10-10:14,29,16
2019-10-10:15,29,13
2019-10-10:16,28,11
2019-10-10:17,30,15
2019-10-10:18,37,19
2019-10-10:19,36,19
2019-10-10:20,39,18
2019-10-10:21,48,17
2019-10-10:22,53,19
2019-10-10:23,35,18
2019-10-10:24,32,
2019-10-11:01,33,17
2019-10-11:02,29,19
2019-10-11:03,36,19
2019-10-11:04,30,19
2019-10-11:05,31,18
2019-10-11:06,29,16
2019-10-11:07,36,20
2019-10-11:08,40,23
2019-10-11:09,40,16
2019-10-11:10,47,25
2019-10-11:11,47,19
2019-10-11:12,52,22
2019-10-11:13,42,17
2019-10-11:14,29,15
2019-10-11:15,27,15
2019-10-11:16,26,13
2019-10-11:17,,
2019-10-11:18,26,14
2019-10-11:19,27,15
2019-10-11:20,32,19
2019-10-11:21,29,17
2019-10-11:22,31,17
2019-10-11:23,22,14
2019-10-11:24,26,11
2019-10-12:01,21,12
2019-10-12:02,23,16
2019-10-12:03,22,10
2019-10-12:04,17,15
2019-10-12:05,21,14
2019-10-12:06,20,14
2019-10-12:07,21,14
2019-10-12:08,28,14
2019-10-12:09,32,12
2019-10-12:10,29,10
2019-10-12:11,33,12
2019-10-12:12,28,9
2019-10-12:13,30,8
2019-10-12:14,30,12
2019-10-12:15,26,10
2019-10-12:16,24,13
2019-10-12:17,22,9
2019-10-12:18,17,11
2019-10-12:19,21,8
2019-10-12:20,18,7
2019-10-12:21,17,7
2019-10-12:22,20,9
2019-10-12:23,16,9
2019-10-12:24,12,8
2019-10-13:01,15,8
2019-10-13:02,14,7
2019-10-13:03,13,7
2019-10-13:04,13,6
2019-10-13:05,17,9
2019-10-13:06,16,8
2019-10-13:07,13,9
2019-10-13:08,14,7
2019-10-13:09,18,8
2019-10-13:10,17,7
2019-10-13:11,17,7
2019-10-13:12,18,10
2019-10-13:13,17,7
2019-10-13:14,20,12
2019-10-13:15,16,9
2019-10-13:16,21,9
2019-10-13:17,18,9
2019-10-13:18,16,7
2019-10-13:19,17,7
2019-10-13:20,19,13
2019-10-13:21,18,12
2019-10-13:22,21,14
2019-10-13:23,,15
2019-10-13:24,22,15
2019-10-14:01,23,13
2019-10-14:02,19,15
2019-10-14:03,16,12
2019-10-14:04,19,11
2019-10-14:05,17,12
2019-10-14:06,19,11
2019-10-14:07,19,12
2019-10-14:08,24,14
2019-10-14:09,44,18
2019-10-14:10,65,17
2019-10-14:11,51,21
2019-10-14:12,49,25
2019-10-14:13,36,17
2019-10-14:14,27,18
2019-10-14:15,34,16
2019-10-14:16,30,18
2019-10-14:17,31,14
2019-10-14:18,29,16
2019-10-14:19,33,12
2019-10-14:20,39,13
2019-10-14:21,43,12
2019-10-14:22,41,15
2019-10-14:23,41,12
2019-10-14:24,39,14
2019-10-15:01,34,15
2019-10-15:02,40,11
2019-10-15:03,35,14
2019-10-15:04,37,13
2019-10-15:05,30,11
2019-10-15:06,21,7
2019-10-15:07,12,7
2019-10-15:08,8,5
2019-10-15:09,9,6
2019-10-15:10,9,5
2019-10-15:11,7,3
2019-10-15:12,5,4
2019-10-15:13,8,4
2019-10-15:14,6,6
2019-10-15:15,9,5
2019-10-15:16,8,6
2019-10-15:17,10,9
2019-10-15:18,16,6
2019-10-15:19,13,6
2019-10-15:20,19,8
2019-10-15:21,26,10
2019-10-15:22,,11
2019-10-15:23,16,11
2019-10-15:24,17,12
2019-10-16:01,14,9
2019-10-16:02,19,14
2019-10-16:03,,11
2019-10-16:04,14,11
2019-10-16:05,19,12
2019-10-16:06,14,11
2019-10-16:07,23,13
2019-10-16:08,17,14
2019-10-16:09,24,14
2019-10-16:10,28,12
2019-10-16:11,30,10
2019-10-16:12,28,14
2019-10-16:13,30,18
2019-10-16:14,41,19
2019-10-16:15,42,16
2019-10-16:16,35,17
2019-10-16:17,33,19
2019-10-16:18,31,16
2019-10-16:19,32,14
2019-10-16:20,27,14
2019-10-16:21,32,15
2019-10-16:22,,18
2019-10-16:23,32,17
2019-10-16:24,26,17
2019-10-17:01,26,15
2019-10-17:02,28,18
2019-10-17:03,26,18
2019-10-17:04,31,16
2019-10-17:05,33,19
2019-10-17:06,24,13
2019-10-17:07,24,13
2019-10-17:08,26,16
2019-10-17:09,28,18
2019-10-17:10,27,14
2019-10-17:11,29,12
2019-10-17:12,32,15
2019-10-17:13,23,15
2019-10-17:14,29,14
2019-10-17:15,20,13
2019-10-17:16,19,13
2019-10-17:17,17,12
2019-10-17:18,16,11
2019-10-17:19,22,12
2019-10-17:20,25,12
2019-10-17:21,26,15
2019-10-17:22,31,16
2019-10-17:23,24,16
2019-10-17:24,19,12
2019-10-18:01,19,11
2019-10-18:02,12,10
2019-10-18:03,12,12
2019-10-18:04,11,11
2019-10-18:05,13,9
2019-10-18:06,10,9
2019-10-18:07,13,8
2019-10-18:08,14,7
2019-10-18:09,17,8
2019-10-18:10,20,10
2019-10-18:11,16,8
2019-10-18:12,16,6
2019-10-18:13,10,8
2019-10-18:14,,
2019-10-18:15,13,9
2019-10-18:16,19,7
2019-10-18:17,14,6
2019-10-18:18,18,7
2019-10-18:19,17,8
2019-10-18:20,18,13
2019-10-18:21,18,9
2019-10-18:22,,7
2019-10-18:23,11,7
2019-10-18:24,11,5
2019-10-19:01,14,7
2019-10-19:02,11,6
2019-10-19:03,8,
2019-10-19:04,9,8
2019-10-19:05,17,11
2019-10-19:06,18,12
2019-10-19:07,15,14
2019-10-19:08,16,12
2019-10-19:09,16,11
2019-10-19:10,25,10
2019-10-19:11,16,8
2019-10-19:12,16,7
2019-10-19:13,15,7
2019-10-19:14,25,8
2019-10-19:15,25,12
2019-10-19:16,25,13
2019-10-19:17,21,12
2019-10-19:18,22,11
2019-10-19:19,26,13
2019-10-19:20,25,11
2019-10-19:21,25,12
2019-10-19:22,23,15
2019-10-19:23,26,18
2019-10-19:24,28,19
2019-10-20:01,31,21
2019-10-20:02,27,18
2019-10-20:03,27,18
2019-10-20:04,25,18
2019-10-20:05,26,17
2019-10-20:06,27,18
2019-10-20:07,25,18
2019-10-20:08,27,17
2019-10-20:09,27,18
2019-10-20:10,36,24
2019-10-20:11,38,29
2019-10-20:12,42,30
2019-10-20:13,38,24
2019-10-20:14,38,19
2019-10-20:15,27,16
2019-10-20:16,25,16
2019-10-20:17,27,17
2019-10-20:18,24,20
2019-10-20:19,34,21
2019-10-20:20,39,25
2019-10-20:21,38,22
2019-10-20:22,34,24
2019-10-20:23,35,20
2019-10-20:24,35,20
2019-10-21:01,29,21
2019-10-21:02,28,19
2019-10-21:03,23,19
2019-10-21:04,24,16
2019-10-21:05,24,17
2019-10-21:06,25,18
2019-10-21:07,24,16
2019-10-21:08,34,16
2019-10-21:09,34,20
2019-10-21:10,31,15
2019-10-21:11,32,16
2019-10-21:12,37,18
2019-10-21:13,37,22
2019-10-21:14,42,22
2019-10-21:15,34,17
2019-10-21:16,28,14
2019-10-21:17,41,18
2019-10-21:18,46,24
2019-10-21:19,54,32
2019-10-21:20,52,31
2019-10-21:21,46,27
2019-10-21:22,48,25
2019-10-21:23,45,29
2019-10-21:24,38,27
2019-10-22:01,41,22
2019-10-22:02,41,26
2019-10-22:03,33,25
2019-10-22:04,29,24
2019-10-22:05,30,20
2019-10-22:06,31,22
2019-10-22:07,30,20
2019-10-22:08,27,18
2019-10-22:09,40,24
2019-10-22:10,34,18
2019-10-22:11,28,17
2019-10-22:12,26,17
2019-10-22:13,31,16
2019-10-22:14,35,14
2019-10-22:15,24,12
2019-10-22:16,23,14
2019-10-22:17,29,13
2019-10-22:18,24,14
2019-10-22:19,33,15
2019-10-22:20,35,18
2019-10-22:21,33,21
2019-10-22:22,37,19
2019-10-22:23,33,19
2019-10-22:24,31,23
2019-10-23:01,29,18
2019-10-23:02,17,16
2019-10-23:03,20,16
2019-10-23:04,16,11
2019-10-23:05,17,11
2019-10-23:06,17,10
2019-10-23:07,14,12
2019-10-23:08,15,12
2019-10-23:09,12,11
2019-10-23:10,19,13
2019-10-23:11,15,11
2019-10-23:12,24,10
2019-10-23:13,14,9
2019-10-23:14,23,8
2019-10-23:15,20,9
2019-10-23:16,29,12
2019-10-23:17,34,11
2019-10-23:18,23,9
2019-10-23:19,21,13
2019-10-23:20,22,11
2019-10-23:21,22,14
2019-10-23:22,20,14
2019-10-23:23,21,11
2019-10-23:24,20,16
2019-10-24:01,21,13
2019-10-24:02,25,13
2019-10-24:03,24,13
2019-10-24:04,24,15
2019-10-24:05,22,15
2019-10-24:06,23,15
2019-10-24:07,24,16
2019-10-24:08,25,17
2019-10-24:09,33,20
2019-10-24:10,40,19
2019-10-24:11,41,20
2019-10-24:12,34,17
2019-10-24:13,32,16
2019-10-24:14,31,17
2019-10-24:15,30,16
2019-10-24:16,26,14
2019-10-24:17,26,13
2019-10-24:18,23,11
2019-10-24:19,19,13
2019-10-24:20,22,12
2019-10-24:21,16,10
2019-10-24:22,17,9
2019-10-24:23,19,11
2019-10-24:24,15,9
2019-10-25:01,14,10
2019-10-25:02,12,11
2019-10-25:03,18,9
2019-10-25:04,15,10
2019-10-25:05,16,12
2019-10-25:06,15,10
2019-10-25:07,17,9
2019-10-25:08,24,13
2019-10-25:09,30,16
2019-10-25:10,31,13
2019-10-25:11,29,12
2019-10-25:12,25,9
2019-10-25:13,23,11
2019-10-25:14,,11
2019-10-25:15,,13
2019-10-25:16,,14
2019-10-25:17,,18
2019-10-25:18,32,9
2019-10-25:19,24,13
2019-10-25:20,23,12
2019-10-25:21,24,18
2019-10-25:22,29,14
2019-10-25:23,26,18
2019-10-25:24,22,14
2019-10-26:01,18,11
2019-10-26:02,19,10
2019-10-26:03,16,13
2019-10-26:04,18,13
2019-10-26:05,24,17
2019-10-26:06,21,14
2019-10-26:07,20,12
2019-10-26:08,21,14
2019-10-26:09,26,15
2019-10-26:10,26,16
2019-10-26:11,26,16
2019-10-26:12,25,14
2019-10-26:13,22,15
2019-10-26:14,21,13
2019-10-26:15,32,16
2019-10-26:16,34,14
2019-10-26:17,33,11
2019-10-26:18,24,13
2019-10-26:19,22,13
2019-10-26:20,20,12
2019-10-26:21,22,13
2019-10-26:22,,11
2019-10-26:23,21,15
2019-10-26:24,23,13
2019-10-27:01,20,13
2019-10-27:02,20,15
2019-10-27:03,21,12
2019-10-27:04,15,11
2019-10-27:05,20,14
2019-10-27:06,23,16
2019-10-27:07,20,16
2019-10-27:08,27,14
2019-10-27:09,29,15
2019-10-27:10,29,15
2019-10-27:11,30,17
2019-10-27:12,26,14
2019-10-27:13,20,13
2019-10-27:14,26,15
2019-10-27:15,25,12
2019-10-27:16,26,12
2019-10-27:17,21,11
2019-10-27:18,22,11
2019-10-27:19,21,14
2019-10-27:20,22,12
2019-10-27:21,20,16
2019-10-27:22,26,20
2019-10-27:23,34,18
2019-10-27:24,24,18
2019-10-28:01,25,16
2019-10-28:02,27,18
2019-10-28:03,24,19
2019-10-28:04,26,19
2019-10-28:05,20,18
2019-10-28:06,21,16
2019-10-28:07,21,19
2019-10-28:08,28,20
2019-10-28:09,31,23
2019-10-28:10,38,22
2019-10-28:11,38,20
2019-10-28:12,31,18
2019-10-28:13,27,16
2019-10-28:14,29,23
2019-10-28:15,26,18
2019-10-28:16,29,18
2019-10-28:17,32,19
2019-10-28:18,33,16
2019-10-28:19,28,16
2019-10-28:20,27,15
2019-10-28:21,24,13
2019-10-28:22,,16
2019-10-28:23,26,19
2019-10-28:24,35,22
2019-10-29:01,46,24
2019-10-29:02,57,28
2019-10-29:03,123,27
2019-10-29:04,162,30
2019-10-29:05,161,25
2019-10-29:06,149,28
2019-10-29:07,142,27
2019-10-29:08,124,23
2019-10-29:09,118,25
2019-10-29:10,124,25
2019-10-29:11,136,26
2019-10-29:12,131,20
2019-10-29:13,133,24
2019-10-29:14,124,21
2019-10-29:15,120,22
2019-10-29:16,93,19
2019-10-29:17,68,16
2019-10-29:18,56,12
2019-10-29:19,49,12
2019-10-29:20,42,12
2019-10-29:21,35,13
2019-10-29:22,26,11
2019-10-29:23,23,11
2019-10-29:24,18,11
2019-10-30:01,21,9
2019-10-30:02,23,9
2019-10-30:03,18,8
2019-10-30:04,18,8
2019-10-30:05,15,7
2019-10-30:06,27,13
2019-10-30:07,24,11
2019-10-30:08,29,14
2019-10-30:09,28,13
2019-10-30:10,28,13
2019-10-30:11,30,15
2019-10-30:12,29,11
2019-10-30:13,27,9
2019-10-30:14,30,17
2019-10-30:15,42,19
2019-10-30:16,29,15
2019-10-30:17,25,12
2019-10-30:18,19,10
2019-10-30:19,24,10
2019-10-30:20,27,8
2019-10-30:21,29,12
2019-10-30:22,,11
2019-10-30:23,25,11
2019-10-30:24,28,11
2019-10-31:01,24,12
2019-10-31:02,30,11
2019-10-31:03,24,15
2019-10-31:04,26,12
2019-10-31:05,25,12
2019-10-31:06,27,11
2019-10-31:07,27,10
2019-10-31:08,28,13
2019-10-31:09,33,19
2019-10-31:10,35,17
2019-10-31:11,36,15
2019-10-31:12,42,17
2019-10-31:13,60,19
2019-10-31:14,88,23
2019-10-31:15,105,27
2019-10-31:16,123,30
2019-10-31:17,129,33
2019-10-31:18,136,31
2019-10-31:19,146,32
2019-10-31:20,162,39
2019-10-31:21,155,41
2019-10-31:22,140,39
2019-10-31:23,146,36
2019-10-31:24,141,38
