time,pm10,pm2.5
2017-07-01:01,58,
2017-07-01:02,51,
2017-07-01:03,64,
2017-07-01:04,49,
2017-07-01:05,48,
2017-07-01:06,53,
2017-07-01:07,53,
2017-07-01:08,59,
2017-07-01:09,53,
2017-07-01:10,60,
2017-07-01:11,52,
2017-07-01:12,64,
2017-07-01:13,61,
2017-07-01:14,61,
2017-07-01:15,56,
2017-07-01:16,67,
2017-07-01:17,83,
2017-07-01:18,80,
2017-07-01:19,38,
2017-07-01:20,19,
2017-07-01:21,8,
2017-07-01:22,24,
2017-07-01:23,31,
2017-07-01:24,32,
2017-07-02:01,37,
2017-07-02:02,40,
2017-07-02:03,45,
2017-07-02:04,19,
2017-07-02:05,22,
2017-07-02:06,23,
2017-07-02:07,31,
2017-07-02:08,29,
2017-07-02:09,34,
2017-07-02:10,28,
2017-07-02:11,28,
2017-07-02:12,34,
2017-07-02:13,26,
2017-07-02:14,32,
2017-07-02:15,28,
2017-07-02:16,37,
2017-07-02:17,33,
2017-07-02:18,40,
2017-07-02:19,38,
2017-07-02:20,33,
2017-07-02:21,37,
2017-07-02:22,24,
2017-07-02:23,12,
2017-07-02:24,15,
2017-07-03:01,13,
2017-07-03:02,5,
2017-07-03:03,5,
2017-07-03:04,22,
2017-07-03:05,30,
2017-07-03:06,18,
2017-07-03:07,25,
2017-07-03:08,37,
2017-07-03:09,35,
2017-07-03:10,32,
2017-07-03:11,26,
2017-07-03:12,37,
2017-07-03:13,42,
2017-07-03:14,35,
2017-07-03:15,19,
2017-07-03:16,30,
2017-07-03:17,32,
2017-07-03:18,33,
2017-07-03:19,37,
2017-07-03:20,47,
2017-07-03:21,44,
2017-07-03:22,39,
2017-07-03:23,28,
2017-07-03:24,26,
2017-07-04:01,38,
2017-07-04:02,35,
2017-07-04:03,29,
2017-07-04:04,37,
2017-07-04:05,26,
2017-07-04:06,26,
2017-07-04:07,33,
2017-07-04:08,36,
2017-07-04:09,48,
2017-07-04:10,47,
2017-07-04:11,59,
2017-07-04:12,51,
2017-07-04:13,45,
2017-07-04:14,34,
2017-07-04:15,67,
2017-07-04:16,48,
2017-07-04:17,56,
2017-07-04:18,65,
2017-07-04:19,55,
2017-07-04:20,54,
2017-07-04:21,61,
2017-07-04:22,50,
2017-07-04:23,45,
2017-07-04:24,37,
2017-07-05:01,33,
2017-07-05:02,34,
2017-07-05:03,36,
2017-07-05:04,33,
2017-07-05:05,37,
2017-07-05:06,44,
2017-07-05:07,41,
2017-07-05:08,53,
2017-07-05:09,49,
2017-07-05:10,46,
2017-07-05:11,58,
2017-07-05:12,54,
2017-07-05:13,51,
2017-07-05:14,58,
2017-07-05:15,66,
2017-07-05:16,63,
2017-07-05:17,67,
2017-07-05:18,71,
2017-07-05:19,81,
2017-07-05:20,62,
2017-07-05:21,37,
2017-07-05:22,53,
2017-07-05:23,62,
2017-07-05:24,59,
2017-07-06:01,47,
2017-07-06:02,56,
2017-07-06:03,55,
2017-07-06:04,59,
2017-07-06:05,49,
2017-07-06:06,52,
2017-07-06:07,51,
2017-07-06:08,63,
2017-07-06:09,78,
2017-07-06:10,73,
2017-07-06:11,89,
2017-07-06:12,77,
2017-07-06:13,62,
2017-07-06:14,62,
2017-07-06:15,62,
2017-07-06:16,62,
2017-07-06:17,65,
2017-07-06:18,,
2017-07-06:19,,
2017-07-06:20,,
2017-07-06:21,55,
2017-07-06:22,67,
2017-07-06:23,40,
2017-07-06:24,43,
2017-07-07:01,42,
2017-07-07:02,36,
2017-07-07:03,35,
2017-07-07:04,18,
2017-07-07:05,29,
2017-07-07:06,27,
2017-07-07:07,25,
2017-07-07:08,26,
2017-07-07:09,29,
2017-07-07:10,36,
2017-07-07:11,32,
2017-07-07:12,26,
2017-07-07:13,23,
2017-07-07:14,32,
2017-07-07:15,42,
2017-07-07:16,34,
2017-07-07:17,31,
2017-07-07:18,27,
2017-07-07:19,34,
2017-07-07:20,21,
2017-07-07:21,5,
2017-07-07:22,30,
2017-07-07:23,24,
2017-07-07:24,28,
2017-07-08:01,29,
2017-07-08:02,27,
2017-07-08:03,26,
2017-07-08:04,28,
2017-07-08:05,29,
2017-07-08:06,27,
2017-07-08:07,30,
2017-07-08:08,23,
2017-07-08:09,14,
2017-07-08:10,21,
2017-07-08:11,15,
2017-07-08:12,20,
2017-07-08:13,46,
2017-07-08:14,64,
2017-07-08:15,57,
2017-07-08:16,41,
2017-07-08:17,35,
2017-07-08:18,43,
2017-07-08:19,37,
2017-07-08:20,37,
2017-07-08:21,37,
2017-07-08:22,43,
2017-07-08:23,36,
2017-07-08:24,36,
2017-07-09:01,25,
2017-07-09:02,41,
2017-07-09:03,38,
2017-07-09:04,36,
2017-07-09:05,32,
2017-07-09:06,33,
2017-07-09:07,29,
2017-07-09:08,33,
2017-07-09:09,29,
2017-07-09:10,21,
2017-07-09:11,37,
2017-07-09:12,46,
2017-07-09:13,39,
2017-07-09:14,53,
2017-07-09:15,37,
2017-07-09:16,30,
2017-07-09:17,15,
2017-07-09:18,20,
2017-07-09:19,27,
2017-07-09:20,22,
2017-07-09:21,34,
2017-07-09:22,33,
2017-07-09:23,35,
2017-07-09:24,17,
2017-07-10:01,6,
2017-07-10:02,11,
2017-07-10:03,16,
2017-07-10:04,9,
2017-07-10:05,17,
2017-07-10:06,25,
2017-07-10:07,31,
2017-07-10:08,41,
2017-07-10:09,32,
2017-07-10:10,19,
2017-07-10:11,44,
2017-07-10:12,18,
2017-07-10:13,31,
