time,pm10,pm2.5
2019-12-01:01,27,16
2019-12-01:02,23,11
2019-12-01:03,28,18
2019-12-01:04,32,19
2019-12-01:05,32,17
2019-12-01:06,32,20
2019-12-01:07,33,20
2019-12-01:08,33,21
2019-12-01:09,38,21
2019-12-01:10,39,24
2019-12-01:11,40,26
2019-12-01:12,41,31
2019-12-01:13,44,31
2019-12-01:14,45,34
2019-12-01:15,45,36
2019-12-01:16,43,32
2019-12-01:17,41,31
2019-12-01:18,31,24
2019-12-01:19,31,26
2019-12-01:20,29,24
2019-12-01:21,31,24
2019-12-01:22,26,20
2019-12-01:23,26,18
2019-12-01:24,24,11
2019-12-02:01,23,13
2019-12-02:02,22,10
2019-12-02:03,26,15
2019-12-02:04,20,11
2019-12-02:05,15,7
2019-12-02:06,17,4
2019-12-02:07,15,3
2019-12-02:08,20,4
2019-12-02:09,18,5
2019-12-02:10,16,5
2019-12-02:11,19,5
2019-12-02:12,17,5
2019-12-02:13,18,5
2019-12-02:14,19,5
2019-12-02:15,27,7
2019-12-02:16,21,8
2019-12-02:17,21,7
2019-12-02:18,16,4
2019-12-02:19,14,3
2019-12-02:20,11,3
2019-12-02:21,12,2
2019-12-02:22,13,1
2019-12-02:23,12,2
2019-12-02:24,13,3
2019-12-03:01,13,3
2019-12-03:02,13,3
2019-12-03:03,12,4
2019-12-03:04,16,5
2019-12-03:05,15,4
2019-12-03:06,14,3
2019-12-03:07,16,4
2019-12-03:08,19,5
2019-12-03:09,26,7
2019-12-03:10,26,7
2019-12-03:11,23,9
2019-12-03:12,23,9
2019-12-03:13,18,10
2019-12-03:14,27,13
2019-12-03:15,31,16
2019-12-03:16,31,15
2019-12-03:17,30,16
2019-12-03:18,33,21
2019-12-03:19,36,20
2019-12-03:20,31,19
2019-12-03:21,31,17
2019-12-03:22,27,13
2019-12-03:23,27,14
2019-12-03:24,23,17
2019-12-04:01,22,14
2019-12-04:02,26,12
2019-12-04:03,23,9
2019-12-04:04,20,7
2019-12-04:05,17,6
2019-12-04:06,14,3
2019-12-04:07,18,6
2019-12-04:08,27,7
2019-12-04:09,24,7
2019-12-04:10,15,6
2019-12-04:11,21,6
2019-12-04:12,31,11
2019-12-04:13,29,12
2019-12-04:14,26,11
2019-12-04:15,27,13
2019-12-04:16,28,9
2019-12-04:17,34,10
2019-12-04:18,34,14
2019-12-04:19,34,11
2019-12-04:20,30,11
2019-12-04:21,31,12
2019-12-04:22,31,11
2019-12-04:23,26,11
2019-12-04:24,25,10
2019-12-05:01,24,9
2019-12-05:02,21,9
2019-12-05:03,20,8
2019-12-05:04,10,5
2019-12-05:05,10,4
2019-12-05:06,8,3
2019-12-05:07,9,1
2019-12-05:08,12,3
2019-12-05:09,17,5
2019-12-05:10,17,3
2019-12-05:11,16,3
2019-12-05:12,14,3
