time,pm10,pm2.5
2017-09-01:01,46,28
2017-09-01:02,38,24
2017-09-01:03,27,16
2017-09-01:04,21,12
2017-09-01:05,19,11
2017-09-01:06,17,9
2017-09-01:07,19,12
2017-09-01:08,19,7
2017-09-01:09,19,5
2017-09-01:10,20,6
2017-09-01:11,15,6
2017-09-01:12,18,7
2017-09-01:13,16,9
2017-09-01:14,14,8
2017-09-01:15,20,14
2017-09-01:16,25,16
2017-09-01:17,28,20
2017-09-01:18,28,19
2017-09-01:19,26,16
2017-09-01:20,25,16
2017-09-01:21,27,16
2017-09-01:22,26,15
2017-09-01:23,28,14
2017-09-01:24,26,14
2017-09-02:01,28,15
2017-09-02:02,26,15
2017-09-02:03,29,17
2017-09-02:04,28,15
2017-09-02:05,27,14
2017-09-02:06,23,13
2017-09-02:07,21,12
2017-09-02:08,17,7
2017-09-02:09,16,3
2017-09-02:10,19,6
2017-09-02:11,20,7
2017-09-02:12,18,8
2017-09-02:13,19,12
2017-09-02:14,17,9
2017-09-02:15,19,14
2017-09-02:16,18,11
2017-09-02:17,35,24
2017-09-02:18,40,24
2017-09-02:19,42,28
2017-09-02:20,36,24
2017-09-02:21,38,24
2017-09-02:22,40,26
2017-09-02:23,38,25
2017-09-02:24,44,31
2017-09-03:01,35,27
2017-09-03:02,36,28
2017-09-03:03,38,27
2017-09-03:04,36,27
2017-09-03:05,35,24
2017-09-03:06,30,17
2017-09-03:07,28,22
2017-09-03:08,24,17
2017-09-03:09,23,11
2017-09-03:10,23,11
2017-09-03:11,21,10
2017-09-03:12,22,12
2017-09-03:13,27,18
2017-09-03:14,24,16
2017-09-03:15,27,19
2017-09-03:16,29,22
2017-09-03:17,41,30
2017-09-03:18,44,31
2017-09-03:19,44,32
2017-09-03:20,45,32
2017-09-03:21,51,39
2017-09-03:22,46,32
2017-09-03:23,47,37
2017-09-03:24,39,26
2017-09-04:01,35,24
2017-09-04:02,38,28
2017-09-04:03,38,31
2017-09-04:04,39,32
2017-09-04:05,41,36
2017-09-04:06,37,29
2017-09-04:07,35,27
2017-09-04:08,29,18
2017-09-04:09,23,6
2017-09-04:10,23,8
2017-09-04:11,20,9
2017-09-04:12,20,10
2017-09-04:13,15,12
2017-09-04:14,16,12
2017-09-04:15,18,13
2017-09-04:16,15,10
2017-09-04:17,16,11
2017-09-04:18,22,16
2017-09-04:19,28,19
2017-09-04:20,32,21
2017-09-04:21,38,23
2017-09-04:22,35,24
2017-09-04:23,29,20
2017-09-04:24,20,12
2017-09-05:01,17,11
2017-09-05:02,22,14
2017-09-05:03,25,14
2017-09-05:04,22,14
2017-09-05:05,21,12
2017-09-05:06,21,13
2017-09-05:07,22,14
2017-09-05:08,20,12
2017-09-05:09,21,14
2017-09-05:10,23,12
2017-09-05:11,24,10
2017-09-05:12,28,14
2017-09-05:13,25,12
2017-09-05:14,23,13
2017-09-05:15,27,15
2017-09-05:16,28,14
2017-09-05:17,26,14
2017-09-05:18,24,13
2017-09-05:19,27,17
2017-09-05:20,30,16
2017-09-05:21,28,15
2017-09-05:22,32,16
2017-09-05:23,33,18
2017-09-05:24,26,14
2017-09-06:01,30,16
2017-09-06:02,31,23
2017-09-06:03,32,21
2017-09-06:04,27,17
2017-09-06:05,26,18
2017-09-06:06,28,17
2017-09-06:07,27,15
2017-09-06:08,28,16
2017-09-06:09,31,18
2017-09-06:10,30,20
2017-09-06:11,32,21
2017-09-06:12,33,23
2017-09-06:13,38,27
2017-09-06:14,46,35
2017-09-06:15,31,25
2017-09-06:16,35,23
2017-09-06:17,35,23
2017-09-06:18,21,14
2017-09-06:19,23,20
2017-09-06:20,23,18
2017-09-06:21,20,15
2017-09-06:22,20,14
2017-09-06:23,21,15
2017-09-06:24,19,15
2017-09-07:01,23,17
2017-09-07:02,22,16
2017-09-07:03,22,20
2017-09-07:04,20,18
2017-09-07:05,,19
2017-09-07:06,16,15
2017-09-07:07,18,15
2017-09-07:08,17,13
2017-09-07:09,21,13
2017-09-07:10,23,15
2017-09-07:11,23,9
2017-09-07:12,35,21
2017-09-07:13,34,23
2017-09-07:14,39,25
2017-09-07:15,45,31
2017-09-07:16,36,24
2017-09-07:17,40,27
2017-09-07:18,37,25
2017-09-07:19,42,31
2017-09-07:20,52,42
2017-09-07:21,64,60
2017-09-07:22,,64
2017-09-07:23,86,76
2017-09-07:24,,84
2017-09-08:01,,80
2017-09-08:02,,82
2017-09-08:03,,81
2017-09-08:04,81,80
2017-09-08:05,77,70
2017-09-08:06,71,69
2017-09-08:07,71,69
2017-09-08:08,,68
2017-09-08:09,61,51
2017-09-08:10,50,33
2017-09-08:11,54,31
2017-09-08:12,49,24
2017-09-08:13,38,25
2017-09-08:14,29,21
2017-09-08:15,27,22
2017-09-08:16,40,28
2017-09-08:17,,
2017-09-08:18,,
2017-09-08:19,21,18
2017-09-08:20,36,29
2017-09-08:21,47,35
2017-09-08:22,60,46
2017-09-08:23,82,66
2017-09-08:24,96,78
2017-09-09:01,107,87
2017-09-09:02,103,85
2017-09-09:03,98,79
2017-09-09:04,105,82
2017-09-09:05,92,69
2017-09-09:06,84,65
2017-09-09:07,97,78
2017-09-09:08,93,79
2017-09-09:09,71,59
2017-09-09:10,63,51
2017-09-09:11,58,52
2017-09-09:12,55,48
2017-09-09:13,60,52
2017-09-09:14,80,64
2017-09-09:15,57,46
2017-09-09:16,49,41
2017-09-09:17,50,40
2017-09-09:18,38,30
2017-09-09:19,43,33
2017-09-09:20,42,32
2017-09-09:21,43,36
2017-09-09:22,50,38
2017-09-09:23,53,43
2017-09-09:24,49,39
2017-09-10:01,71,53
2017-09-10:02,80,56
2017-09-10:03,76,55
2017-09-10:04,68,52
2017-09-10:05,66,50
2017-09-10:06,61,46
2017-09-10:07,56,43
2017-09-10:08,49,38
2017-09-10:09,45,37
2017-09-10:10,46,35
2017-09-10:11,49,38
2017-09-10:12,47,38
2017-09-10:13,53,41
2017-09-10:14,58,45
2017-09-10:15,53,41
2017-09-10:16,48,37
2017-09-10:17,47,37
2017-09-10:18,60,47
2017-09-10:19,63,50
2017-09-10:20,53,43
2017-09-10:21,59,50
2017-09-10:22,61,51
2017-09-10:23,57,47
2017-09-10:24,50,40
2017-09-11:01,56,44
2017-09-11:02,58,46
2017-09-11:03,56,46
2017-09-11:04,44,36
2017-09-11:05,33,27
2017-09-11:06,26,23
2017-09-11:07,25,22
2017-09-11:08,22,19
2017-09-11:09,20,17
2017-09-11:10,18,16
2017-09-11:11,14,11
2017-09-11:12,7,5
2017-09-11:13,15,11
2017-09-11:14,16,12
2017-09-11:15,19,13
2017-09-11:16,17,13
2017-09-11:17,15,12
2017-09-11:18,13,10
2017-09-11:19,16,11
2017-09-11:20,16,12
2017-09-11:21,15,10
2017-09-11:22,12,9
2017-09-11:23,13,9
2017-09-11:24,16,11
2017-09-12:01,18,14
2017-09-12:02,17,12
2017-09-12:03,16,12
2017-09-12:04,16,12
2017-09-12:05,22,14
2017-09-12:06,21,15
2017-09-12:07,26,17
2017-09-12:08,19,13
2017-09-12:09,18,12
2017-09-12:10,22,14
2017-09-12:11,36,28
2017-09-12:12,33,20
2017-09-12:13,31,20
2017-09-12:14,30,13
2017-09-12:15,39,16
2017-09-12:16,27,18
2017-09-12:17,20,13
2017-09-12:18,20,11
2017-09-12:19,27,12
2017-09-12:20,29,13
2017-09-12:21,27,12
2017-09-12:22,19,10
2017-09-12:23,16,8
2017-09-12:24,15,9
2017-09-13:01,18,12
2017-09-13:02,17,10
2017-09-13:03,15,10
2017-09-13:04,18,11
2017-09-13:05,21,11
2017-09-13:06,18,12
2017-09-13:07,33,14
2017-09-13:08,30,10
2017-09-13:09,23,6
2017-09-13:10,15,6
2017-09-13:11,26,14
2017-09-13:12,21,11
2017-09-13:13,20,12
2017-09-13:14,18,13
2017-09-13:15,19,15
2017-09-13:16,18,12
2017-09-13:17,20,13
2017-09-13:18,24,15
2017-09-13:19,24,15
2017-09-13:20,22,13
2017-09-13:21,21,12
2017-09-13:22,20,11
2017-09-13:23,27,14
2017-09-13:24,26,14
2017-09-14:01,28,16
2017-09-14:02,28,14
2017-09-14:03,28,16
2017-09-14:04,28,14
2017-09-14:05,29,16
2017-09-14:06,26,14
2017-09-14:07,26,14
2017-09-14:08,23,11
2017-09-14:09,19,7
2017-09-14:10,23,10
2017-09-14:11,26,11
2017-09-14:12,24,12
2017-09-14:13,22,12
2017-09-14:14,21,12
2017-09-14:15,31,16
2017-09-14:16,30,17
2017-09-14:17,28,15
2017-09-14:18,27,16
2017-09-14:19,22,14
2017-09-14:20,22,12
2017-09-14:21,16,12
2017-09-14:22,,12
2017-09-14:23,,14
2017-09-14:24,18,12
2017-09-15:01,20,13
2017-09-15:02,19,13
2017-09-15:03,18,14
2017-09-15:04,17,12
2017-09-15:05,17,11
2017-09-15:06,15,11
2017-09-15:07,15,8
2017-09-15:08,10,5
2017-09-15:09,9,3
2017-09-15:10,15,5
2017-09-15:11,14,6
2017-09-15:12,13,7
2017-09-15:13,14,7
2017-09-15:14,15,9
2017-09-15:15,14,6
2017-09-15:16,10,6
2017-09-15:17,13,7
2017-09-15:18,19,9
2017-09-15:19,15,7
2017-09-15:20,12,8
2017-09-15:21,13,7
2017-09-15:22,13,9
2017-09-15:23,14,7
2017-09-15:24,9,6
2017-09-16:01,10,6
2017-09-16:02,10,6
2017-09-16:03,8,4
2017-09-16:04,8,5
2017-09-16:05,10,5
2017-09-16:06,8,5
2017-09-16:07,6,4
2017-09-16:08,5,3
2017-09-16:09,5,3
2017-09-16:10,7,3
2017-09-16:11,12,3
2017-09-16:12,10,4
2017-09-16:13,9,4
2017-09-16:14,8,4
2017-09-16:15,8,5
2017-09-16:16,7,3
2017-09-16:17,9,4
2017-09-16:18,10,6
2017-09-16:19,14,9
2017-09-16:20,10,6
2017-09-16:21,12,7
2017-09-16:22,11,6
2017-09-16:23,11,6
2017-09-16:24,9,5
2017-09-17:01,8,4
2017-09-17:02,7,4
2017-09-17:03,9,5
2017-09-17:04,9,5
2017-09-17:05,10,4
2017-09-17:06,8,5
2017-09-17:07,8,3
2017-09-17:08,7,3
2017-09-17:09,6,3
2017-09-17:10,5,3
2017-09-17:11,5,3
2017-09-17:12,6,3
2017-09-17:13,8,5
2017-09-17:14,7,4
2017-09-17:15,11,4
2017-09-17:16,10,5
2017-09-17:17,8,5
2017-09-17:18,10,5
2017-09-17:19,11,6
2017-09-17:20,11,6
2017-09-17:21,9,7
2017-09-17:22,10,6
2017-09-17:23,10,7
2017-09-17:24,11,7
2017-09-18:01,10,4
2017-09-18:02,12,7
2017-09-18:03,13,5
2017-09-18:04,10,5
2017-09-18:05,10,6
2017-09-18:06,11,6
2017-09-18:07,13,9
2017-09-18:08,10,5
2017-09-18:09,8,3
2017-09-18:10,25,3
2017-09-18:11,18,4
2017-09-18:12,15,3
2017-09-18:13,28,14
2017-09-18:14,22,13
2017-09-18:15,20,12
2017-09-18:16,22,14
2017-09-18:17,45,15
2017-09-18:18,27,16
2017-09-18:19,27,17
