time,pm10,pm2.5
2018-11-01:01,43,20
2018-11-01:02,44,17
2018-11-01:03,40,20
2018-11-01:04,42,23
2018-11-01:05,42,21
2018-11-01:06,41,23
2018-11-01:07,38,26
2018-11-01:08,50,25
2018-11-01:09,65,27
2018-11-01:10,66,35
2018-11-01:11,57,31
2018-11-01:12,39,19
2018-11-01:13,38,20
2018-11-01:14,36,10
2018-11-01:15,,15
2018-11-01:16,21,
2018-11-01:17,26,18
2018-11-01:18,32,23
2018-11-01:19,40,28
2018-11-01:20,49,37
2018-11-01:21,45,33
2018-11-01:22,49,30
2018-11-01:23,51,36
2018-11-01:24,51,38
2018-11-02:01,46,39
2018-11-02:02,48,32
2018-11-02:03,48,29
2018-11-02:04,45,34
2018-11-02:05,40,29
2018-11-02:06,39,28
2018-11-02:07,41,29
2018-11-02:08,38,30
2018-11-02:09,43,30
2018-11-02:10,47,34
2018-11-02:11,52,42
2018-11-02:12,49,46
2018-11-02:13,43,37
2018-11-02:14,31,19
2018-11-02:15,28,20
2018-11-02:16,38,23
2018-11-02:17,32,26
2018-11-02:18,45,32
2018-11-02:19,50,34
2018-11-02:20,78,
2018-11-02:21,79,
2018-11-02:22,,
2018-11-02:23,64,
2018-11-02:24,58,48
2018-11-03:01,56,50
2018-11-03:02,50,40
2018-11-03:03,55,49
2018-11-03:04,66,50
2018-11-03:05,58,44
2018-11-03:06,49,42
2018-11-03:07,50,39
2018-11-03:08,50,42
2018-11-03:09,53,43
2018-11-03:10,57,49
2018-11-03:11,70,52
2018-11-03:12,63,51
2018-11-03:13,71,56
2018-11-03:14,63,56
2018-11-03:15,42,33
2018-11-03:16,51,42
2018-11-03:17,61,51
2018-11-03:18,58,48
2018-11-03:19,56,50
2018-11-03:20,55,51
2018-11-03:21,73,67
2018-11-03:22,76,75
2018-11-03:23,86,78
2018-11-03:24,84,84
2018-11-04:01,81,80
2018-11-04:02,77,73
2018-11-04:03,69,65
2018-11-04:04,54,48
2018-11-04:05,48,44
2018-11-04:06,45,44
2018-11-04:07,44,36
2018-11-04:08,48,42
2018-11-04:09,54,48
2018-11-04:10,60,48
2018-11-04:11,65,58
2018-11-04:12,45,44
2018-11-04:13,34,29
2018-11-04:14,28,21
2018-11-04:15,25,20
2018-11-04:16,13,10
2018-11-04:17,,24
2018-11-04:18,30,27
2018-11-04:19,42,36
2018-11-04:20,46,44
2018-11-04:21,44,39
2018-11-04:22,43,34
2018-11-04:23,46,41
2018-11-04:24,47,43
2018-11-05:01,,45
2018-11-05:02,46,46
2018-11-05:03,49,49
2018-11-05:04,55,49
2018-11-05:05,,50
2018-11-05:06,,55
2018-11-05:07,54,
2018-11-05:08,58,51
2018-11-05:09,59,50
2018-11-05:10,62,52
2018-11-05:11,70,56
2018-11-05:12,81,66
2018-11-05:13,80,68
2018-11-05:14,53,42
2018-11-05:15,42,35
2018-11-05:16,45,
2018-11-05:17,53,37
2018-11-05:18,60,40
2018-11-05:19,85,67
2018-11-05:20,85,71
2018-11-05:21,92,79
2018-11-05:22,89,76
2018-11-05:23,83,72
2018-11-05:24,88,85
2018-11-06:01,94,84
2018-11-06:02,91,81
2018-11-06:03,83,76
2018-11-06:04,76,71
2018-11-06:05,76,68
2018-11-06:06,77,63
2018-11-06:07,72,62
2018-11-06:08,69,56
2018-11-06:09,66,59
2018-11-06:10,83,64
2018-11-06:11,95,81
2018-11-06:12,115,98
2018-11-06:13,142,129
2018-11-06:14,134,127
2018-11-06:15,95,89
2018-11-06:16,104,
2018-11-06:17,148,94
2018-11-06:18,141,96
2018-11-06:19,134,84
2018-11-06:20,134,89
2018-11-06:21,137,89
2018-11-06:22,126,87
2018-11-06:23,121,78
2018-11-06:24,116,76
2018-11-07:01,102,68
2018-11-07:02,82,56
2018-11-07:03,80,58
2018-11-07:04,82,59
2018-11-07:05,87,60
2018-11-07:06,94,68
2018-11-07:07,87,65
2018-11-07:08,85,64
2018-11-07:09,65,51
2018-11-07:10,60,43
2018-11-07:11,63,45
2018-11-07:12,62,41
2018-11-07:13,62,43
2018-11-07:14,60,44
2018-11-07:15,62,42
2018-11-07:16,62,40
2018-11-07:17,70,54
2018-11-07:18,79,54
2018-11-07:19,48,35
2018-11-07:20,48,35
2018-11-07:21,45,29
2018-11-07:22,33,22
2018-11-07:23,22,17
2018-11-07:24,15,9
2018-11-08:01,14,10
2018-11-08:02,12,7
2018-11-08:03,10,6
2018-11-08:04,,7
2018-11-08:05,10,5
2018-11-08:06,7,5
2018-11-08:07,11,10
2018-11-08:08,10,7
2018-11-08:09,9,7
2018-11-08:10,16,6
2018-11-08:11,12,5
2018-11-08:12,15,7
2018-11-08:13,13,10
2018-11-08:14,12,8
2018-11-08:15,13,5
2018-11-08:16,12,4
2018-11-08:17,11,5
2018-11-08:18,12,4
2018-11-08:19,17,10
2018-11-08:20,17,10
2018-11-08:21,12,6
2018-11-08:22,9,8
2018-11-08:23,11,8
2018-11-08:24,9,5
2018-11-09:01,17,4
2018-11-09:02,16,5
2018-11-09:03,16,9
2018-11-09:04,,
2018-11-09:05,41,19
2018-11-09:06,50,28
2018-11-09:07,21,9
2018-11-09:08,12,6
2018-11-09:09,15,6
2018-11-09:10,19,9
2018-11-09:11,21,8
2018-11-09:12,20,
2018-11-09:13,39,22
2018-11-09:14,93,52
2018-11-09:15,87,51
2018-11-09:16,67,34
2018-11-09:17,67,36
2018-11-09:18,74,46
2018-11-09:19,75,40
2018-11-09:20,75,39
2018-11-09:21,72,41
2018-11-09:22,66,38
2018-11-09:23,66,39
2018-11-09:24,69,43
2018-11-10:01,65,38
2018-11-10:02,68,42
2018-11-10:03,66,43
2018-11-10:04,67,40
2018-11-10:05,66,43
2018-11-10:06,71,43
2018-11-10:07,68,42
2018-11-10:08,67,42
2018-11-10:09,73,45
2018-11-10:10,75,50
2018-11-10:11,76,48
2018-11-10:12,83,50
2018-11-10:13,82,45
2018-11-10:14,56,32
2018-11-10:15,52,26
2018-11-10:16,60,32
2018-11-10:17,58,35
2018-11-10:18,69,35
2018-11-10:19,87,51
2018-11-10:20,103,60
2018-11-10:21,102,61
2018-11-10:22,110,60
2018-11-10:23,98,56
2018-11-10:24,100,57
2018-11-11:01,92,53
2018-11-11:02,96,58
2018-11-11:03,91,55
2018-11-11:04,88,53
2018-11-11:05,82,52
2018-11-11:06,78,48
2018-11-11:07,78,48
2018-11-11:08,81,50
2018-11-11:09,81,52
2018-11-11:10,88,55
2018-11-11:11,91,58
2018-11-11:12,90,54
2018-11-11:13,78,43
2018-11-11:14,78,49
2018-11-11:15,63,36
2018-11-11:16,70,41
2018-11-11:17,50,26
2018-11-11:18,38,20
2018-11-11:19,30,16
2018-11-11:20,30,14
2018-11-11:21,26,13
2018-11-11:22,24,15
2018-11-11:23,20,11
2018-11-11:24,18,10
2018-11-12:01,16,8
2018-11-12:02,18,8
2018-11-12:03,17,7
2018-11-12:04,15,9
2018-11-12:05,16,7
2018-11-12:06,18,8
2018-11-12:07,16,8
2018-11-12:08,23,11
2018-11-12:09,30,14
2018-11-12:10,39,17
2018-11-12:11,55,23
2018-11-12:12,51,26
2018-11-12:13,50,23
2018-11-12:14,46,21
2018-11-12:15,45,19
2018-11-12:16,46,24
2018-11-12:17,39,22
2018-11-12:18,39,18
2018-11-12:19,38,14
2018-11-12:20,46,23
2018-11-12:21,52,23
2018-11-12:22,47,24
2018-11-12:23,56,27
2018-11-12:24,48,24
2018-11-13:01,46,26
2018-11-13:02,45,25
2018-11-13:03,40,22
2018-11-13:04,41,23
2018-11-13:05,47,25
2018-11-13:06,51,26
2018-11-13:07,55,26
2018-11-13:08,60,29
2018-11-13:09,65,32
2018-11-13:10,72,39
2018-11-13:11,,
2018-11-13:12,,
2018-11-13:13,,
2018-11-13:14,20,8
2018-11-13:15,32,14
2018-11-13:16,28,14
2018-11-13:17,33,18
2018-11-13:18,40,22
2018-11-13:19,32,18
2018-11-13:20,38,17
2018-11-13:21,48,
2018-11-13:22,39,17
2018-11-13:23,36,17
2018-11-13:24,40,21
2018-11-14:01,50,25
2018-11-14:02,46,25
2018-11-14:03,39,20
2018-11-14:04,37,18
2018-11-14:05,39,19
2018-11-14:06,43,19
2018-11-14:07,45,20
2018-11-14:08,54,25
2018-11-14:09,56,26
2018-11-14:10,39,21
2018-11-14:11,39,14
2018-11-14:12,29,16
2018-11-14:13,29,22
2018-11-14:14,30,18
2018-11-14:15,30,19
2018-11-14:16,40,21
2018-11-14:17,40,23
2018-11-14:18,48,27
2018-11-14:19,50,26
2018-11-14:20,50,27
2018-11-14:21,46,31
2018-11-14:22,,27
2018-11-14:23,40,25
2018-11-14:24,43,24
