time,pm10,pm2.5
2017-11-01:01,33,
2017-11-01:02,40,
2017-11-01:03,44,
2017-11-01:04,36,
2017-11-01:05,22,
2017-11-01:06,33,
2017-11-01:07,45,
2017-11-01:08,45,
2017-11-01:09,41,
2017-11-01:10,50,
2017-11-01:11,44,
2017-11-01:12,56,
2017-11-01:13,67,
2017-11-01:14,78,
2017-11-01:15,63,
2017-11-01:16,62,
2017-11-01:17,60,
2017-11-01:18,69,
2017-11-01:19,66,
2017-11-01:20,60,
2017-11-01:21,56,
2017-11-01:22,57,
2017-11-01:23,57,
2017-11-01:24,51,
2017-11-02:01,42,
2017-11-02:02,38,
2017-11-02:03,42,
2017-11-02:04,35,
2017-11-02:05,43,
2017-11-02:06,40,
2017-11-02:07,44,
2017-11-02:08,53,
2017-11-02:09,63,
2017-11-02:10,66,
2017-11-02:11,,
2017-11-02:12,73,
2017-11-02:13,110,
2017-11-02:14,113,
2017-11-02:15,116,
2017-11-02:16,102,
2017-11-02:17,82,
2017-11-02:18,75,
2017-11-02:19,64,
2017-11-02:20,76,
2017-11-02:21,62,
2017-11-02:22,87,
2017-11-02:23,77,
2017-11-02:24,71,
2017-11-03:01,59,
2017-11-03:02,57,
2017-11-03:03,50,
2017-11-03:04,39,
2017-11-03:05,48,
2017-11-03:06,44,
2017-11-03:07,52,
2017-11-03:08,62,
2017-11-03:09,68,
2017-11-03:10,97,
2017-11-03:11,91,
2017-11-03:12,81,
2017-11-03:13,60,
2017-11-03:14,53,
2017-11-03:15,51,
2017-11-03:16,62,
2017-11-03:17,36,
2017-11-03:18,44,
2017-11-03:19,54,
2017-11-03:20,49,
2017-11-03:21,44,
2017-11-03:22,56,
2017-11-03:23,61,
2017-11-03:24,51,
2017-11-04:01,57,
2017-11-04:02,57,
2017-11-04:03,60,
2017-11-04:04,63,
2017-11-04:05,74,
2017-11-04:06,71,
2017-11-04:07,86,
2017-11-04:08,68,
2017-11-04:09,80,
2017-11-04:10,76,
2017-11-04:11,63,
2017-11-04:12,75,
2017-11-04:13,82,
2017-11-04:14,75,
2017-11-04:15,71,
2017-11-04:16,96,
2017-11-04:17,80,
2017-11-04:18,80,
2017-11-04:19,74,
2017-11-04:20,81,
2017-11-04:21,80,
2017-11-04:22,82,
