time,pm10,pm2.5
2017-06-01:01,36,
2017-06-01:02,30,
2017-06-01:03,33,
2017-06-01:04,25,
2017-06-01:05,26,
2017-06-01:06,50,
2017-06-01:07,46,
2017-06-01:08,36,
2017-06-01:09,41,
2017-06-01:10,42,
2017-06-01:11,53,
2017-06-01:12,54,
2017-06-01:13,59,
2017-06-01:14,54,
2017-06-01:15,62,
2017-06-01:16,57,
2017-06-01:17,49,
2017-06-01:18,43,
2017-06-01:19,60,
2017-06-01:20,78,
2017-06-01:21,72,
2017-06-01:22,50,
2017-06-01:23,57,
2017-06-01:24,51,
2017-06-02:01,68,
2017-06-02:02,46,
2017-06-02:03,44,
2017-06-02:04,29,
2017-06-02:05,22,
2017-06-02:06,28,
2017-06-02:07,31,
2017-06-02:08,32,
2017-06-02:09,26,
2017-06-02:10,21,
2017-06-02:11,37,
2017-06-02:12,40,
2017-06-02:13,50,
2017-06-02:14,41,
2017-06-02:15,44,
2017-06-02:16,32,
2017-06-02:17,51,
2017-06-02:18,49,
2017-06-02:19,43,
2017-06-02:20,29,
2017-06-02:21,41,
2017-06-02:22,23,
2017-06-02:23,24,
2017-06-02:24,18,
2017-06-03:01,24,
2017-06-03:02,29,
2017-06-03:03,25,
2017-06-03:04,27,
2017-06-03:05,27,
2017-06-03:06,26,
2017-06-03:07,35,
2017-06-03:08,27,
2017-06-03:09,47,
2017-06-03:10,32,
2017-06-03:11,66,
2017-06-03:12,58,
2017-06-03:13,43,
2017-06-03:14,45,
2017-06-03:15,46,
2017-06-03:16,50,
2017-06-03:17,47,
2017-06-03:18,45,
2017-06-03:19,31,
2017-06-03:20,43,
2017-06-03:21,43,
2017-06-03:22,50,
2017-06-03:23,58,
2017-06-03:24,52,
2017-06-04:01,41,
2017-06-04:02,43,
2017-06-04:03,44,
2017-06-04:04,41,
2017-06-04:05,43,
2017-06-04:06,40,
2017-06-04:07,45,
2017-06-04:08,32,
2017-06-04:09,55,
2017-06-04:10,22,
2017-06-04:11,44,
2017-06-04:12,31,
2017-06-04:13,46,
2017-06-04:14,37,
2017-06-04:15,35,
2017-06-04:16,41,
2017-06-04:17,36,
2017-06-04:18,34,
2017-06-04:19,26,
2017-06-04:20,31,
2017-06-04:21,28,
2017-06-04:22,36,
2017-06-04:23,30,
2017-06-04:24,25,
2017-06-05:01,33,
2017-06-05:02,24,
2017-06-05:03,19,
2017-06-05:04,20,
2017-06-05:05,32,
2017-06-05:06,27,
2017-06-05:07,33,
2017-06-05:08,24,
2017-06-05:09,50,
2017-06-05:10,36,
2017-06-05:11,61,
2017-06-05:12,63,
2017-06-05:13,51,
2017-06-05:14,52,
2017-06-05:15,53,
2017-06-05:16,56,
2017-06-05:17,34,
2017-06-05:18,47,
2017-06-05:19,40,
2017-06-05:20,52,
2017-06-05:21,60,
2017-06-05:22,71,
2017-06-05:23,51,
2017-06-05:24,46,
2017-06-06:01,35,
2017-06-06:02,29,
2017-06-06:03,19,
2017-06-06:04,17,
2017-06-06:05,19,
2017-06-06:06,18,
2017-06-06:07,24,
2017-06-06:08,21,
2017-06-06:09,32,
2017-06-06:10,42,
2017-06-06:11,39,
2017-06-06:12,59,
2017-06-06:13,55,
2017-06-06:14,47,
2017-06-06:15,49,
2017-06-06:16,49,
2017-06-06:17,68,
2017-06-06:18,44,
2017-06-06:19,16,
2017-06-06:20,30,
2017-06-06:21,32,
2017-06-06:22,20,
2017-06-06:23,6,
2017-06-06:24,10,
2017-06-07:01,8,
2017-06-07:02,7,
2017-06-07:03,5,
2017-06-07:04,8,
2017-06-07:05,8,
2017-06-07:06,14,
2017-06-07:07,12,
2017-06-07:08,19,
