time,pm10,pm2.5
2019-05-01:01,21,11
2019-05-01:02,21,11
2019-05-01:03,21,10
2019-05-01:04,22,11
2019-05-01:05,24,13
2019-05-01:06,23,13
2019-05-01:07,25,17
2019-05-01:08,27,16
2019-05-01:09,32,19
2019-05-01:10,33,19
2019-05-01:11,37,23
2019-05-01:12,51,30
2019-05-01:13,56,32
2019-05-01:14,47,26
2019-05-01:15,47,26
2019-05-01:16,56,29
2019-05-01:17,62,33
2019-05-01:18,61,30
2019-05-01:19,71,29
2019-05-01:20,75,29
2019-05-01:21,83,29
2019-05-01:22,94,20
2019-05-01:23,92,19
2019-05-01:24,83,18
2019-05-02:01,87,17
2019-05-02:02,79,17
2019-05-02:03,75,19
2019-05-02:04,70,18
2019-05-02:05,67,18
2019-05-02:06,63,18
2019-05-02:07,62,18
2019-05-02:08,61,18
2019-05-02:09,61,17
2019-05-02:10,46,12
2019-05-02:11,39,12
2019-05-02:12,33,10
2019-05-02:13,31,9
2019-05-02:14,29,9
2019-05-02:15,29,8
2019-05-02:16,33,10
2019-05-02:17,37,8
2019-05-02:18,41,13
2019-05-02:19,36,12
2019-05-02:20,26,10
2019-05-02:21,22,10
2019-05-02:22,28,11
2019-05-02:23,28,12
2019-05-02:24,33,13
2019-05-03:01,38,15
2019-05-03:02,39,15
2019-05-03:03,37,17
2019-05-03:04,35,16
2019-05-03:05,35,17
2019-05-03:06,33,15
2019-05-03:07,35,17
2019-05-03:08,39,16
2019-05-03:09,41,16
2019-05-03:10,40,16
2019-05-03:11,44,21
2019-05-03:12,46,21
2019-05-03:13,50,23
2019-05-03:14,50,23
2019-05-03:15,62,31
2019-05-03:16,66,29
2019-05-03:17,61,28
2019-05-03:18,56,29
2019-05-03:19,68,38
2019-05-03:20,78,43
2019-05-03:21,88,51
2019-05-03:22,84,48
2019-05-03:23,90,49
2019-05-03:24,86,50
2019-05-04:01,91,54
2019-05-04:02,86,53
2019-05-04:03,100,60
2019-05-04:04,99,63
2019-05-04:05,97,61
2019-05-04:06,84,55
2019-05-04:07,90,60
2019-05-04:08,90,60
2019-05-04:09,106,66
2019-05-04:10,100,77
2019-05-04:11,97,92
2019-05-04:12,92,55
2019-05-04:13,85,50
2019-05-04:14,71,38
2019-05-04:15,73,38
2019-05-04:16,73,40
2019-05-04:17,71,36
2019-05-04:18,54,29
2019-05-04:19,53,25
2019-05-04:20,50,26
2019-05-04:21,52,30
2019-05-04:22,56,33
2019-05-04:23,65,37
2019-05-04:24,90,59
2019-05-05:01,124,87
2019-05-05:02,107,74
2019-05-05:03,82,59
2019-05-05:04,76,52
2019-05-05:05,77,52
2019-05-05:06,73,51
2019-05-05:07,72,49
2019-05-05:08,65,43
2019-05-05:09,67,41
2019-05-05:10,70,44
2019-05-05:11,71,47
2019-05-05:12,63,38
2019-05-05:13,50,30
2019-05-05:14,48,27
2019-05-05:15,39,17
2019-05-05:16,41,17
2019-05-05:17,42,20
2019-05-05:18,39,22
2019-05-05:19,39,23
2019-05-05:20,43,25
2019-05-05:21,46,26
2019-05-05:22,55,29
2019-05-05:23,63,28
2019-05-05:24,47,15
2019-05-06:01,31,8
2019-05-06:02,25,7
2019-05-06:03,22,7
2019-05-06:04,20,6
2019-05-06:05,16,5
2019-05-06:06,18,5
2019-05-06:07,20,7
2019-05-06:08,21,7
2019-05-06:09,24,10
2019-05-06:10,21,9
2019-05-06:11,24,12
2019-05-06:12,24,10
2019-05-06:13,25,10
2019-05-06:14,25,12
2019-05-06:15,23,9
2019-05-06:16,22,7
2019-05-06:17,22,7
2019-05-06:18,26,7
2019-05-06:19,33,8
2019-05-06:20,36,10
2019-05-06:21,37,11
2019-05-06:22,37,9
2019-05-06:23,36,8
2019-05-06:24,36,8
2019-05-07:01,34,8
2019-05-07:02,32,8
2019-05-07:03,31,8
2019-05-07:04,31,10
2019-05-07:05,32,11
2019-05-07:06,30,10
2019-05-07:07,29,10
2019-05-07:08,35,11
2019-05-07:09,41,14
2019-05-07:10,43,15
2019-05-07:11,46,18
2019-05-07:12,47,18
2019-05-07:13,57,20
2019-05-07:14,48,15
2019-05-07:15,42,13
2019-05-07:16,43,16
2019-05-07:17,49,20
2019-05-07:18,46,19
2019-05-07:19,44,20
2019-05-07:20,44,20
2019-05-07:21,39,15
2019-05-07:22,33,16
2019-05-07:23,34,14
2019-05-07:24,31,14
2019-05-08:01,31,13
2019-05-08:02,30,14
2019-05-08:03,29,15
2019-05-08:04,27,13
2019-05-08:05,27,12
2019-05-08:06,27,13
2019-05-08:07,30,15
2019-05-08:08,31,13
2019-05-08:09,35,13
2019-05-08:10,36,13
2019-05-08:11,40,17
2019-05-08:12,44,19
2019-05-08:13,47,22
2019-05-08:14,48,21
2019-05-08:15,50,21
2019-05-08:16,52,22
2019-05-08:17,54,22
2019-05-08:18,55,23
2019-05-08:19,55,23
2019-05-08:20,57,25
2019-05-08:21,62,30
2019-05-08:22,61,28
2019-05-08:23,58,30
2019-05-08:24,52,28
2019-05-09:01,51,24
2019-05-09:02,54,26
2019-05-09:03,55,28
2019-05-09:04,50,25
2019-05-09:05,48,25
2019-05-09:06,48,25
2019-05-09:07,47,24
2019-05-09:08,43,21
2019-05-09:09,37,18
2019-05-09:10,39,18
2019-05-09:11,43,21
2019-05-09:12,37,16
2019-05-09:13,35,14
2019-05-09:14,37,15
2019-05-09:15,37,15
2019-05-09:16,35,14
2019-05-09:17,34,14
2019-05-09:18,38,16
2019-05-09:19,41,14
2019-05-09:20,25,14
2019-05-09:21,29,16
2019-05-09:22,29,15
2019-05-09:23,26,15
2019-05-09:24,28,14
2019-05-10:01,35,18
2019-05-10:02,38,21
2019-05-10:03,43,24
2019-05-10:04,43,26
2019-05-10:05,46,28
2019-05-10:06,45,29
2019-05-10:07,48,30
2019-05-10:08,40,22
2019-05-10:09,42,23
2019-05-10:10,54,23
2019-05-10:11,56,27
2019-05-10:12,59,31
2019-05-10:13,69,36
2019-05-10:14,92,36
2019-05-10:15,83,46
2019-05-10:16,86,43
2019-05-10:17,85,41
2019-05-10:18,62,31
2019-05-10:19,52,26
2019-05-10:20,46,23
2019-05-10:21,40,22
2019-05-10:22,42,22
2019-05-10:23,38,21
2019-05-10:24,37,21
2019-05-11:01,40,24
2019-05-11:02,37,23
2019-05-11:03,38,24
2019-05-11:04,40,25
2019-05-11:05,43,26
2019-05-11:06,48,31
2019-05-11:07,51,33
2019-05-11:08,59,38
2019-05-11:09,61,40
2019-05-11:10,60,36
2019-05-11:11,68,39
2019-05-11:12,73,38
2019-05-11:13,73,34
2019-05-11:14,70,32
2019-05-11:15,69,30
2019-05-11:16,74,38
2019-05-11:17,62,31
2019-05-11:18,61,30
2019-05-11:19,54,28
2019-05-11:20,57,28
2019-05-11:21,52,25
2019-05-11:22,38,17
2019-05-11:23,33,15
2019-05-11:24,26,14
2019-05-12:01,27,15
2019-05-12:02,30,17
2019-05-12:03,29,18
2019-05-12:04,30,17
2019-05-12:05,33,19
2019-05-12:06,35,23
2019-05-12:07,49,29
2019-05-12:08,51,30
2019-05-12:09,45,25
2019-05-12:10,39,24
2019-05-12:11,37,22
2019-05-12:12,38,26
2019-05-12:13,40,29
2019-05-12:14,45,30
2019-05-12:15,54,35
2019-05-12:16,52,33
2019-05-12:17,59,41
2019-05-12:18,73,47
2019-05-12:19,73,44
2019-05-12:20,72,41
