star_score,score_reple,writer_id,write_date
10,재밌으면 추천을 재미없으면 비추천,문덕현(mdh0****),2020.01.22 09:16
10,Vip시사회로 어제 보고 왔습니다.기대 1도 안했는데 만족 100진짜 최고에요!! 아이부터 어른까지 다 볼수있고시나리오가 너무 탄탄하네요,kind****,2020.01.22 10:33
10,윌스미스 X 톰홀랜드 조합 미쳣음ㅋㅋㅋㅋ걍 실사영화야,쿄쿄(bb_0****),2020.01.22 11:02
10,VIP 시사회로 먼저 봤는데 역시 윌스미스 X 톰 홀랜드 조합은 꿀 이네요 너무 재밌습니다,Abc123(fowe****),2020.01.22 09:30
10,톰홀랜드의 한류사랑 ㅋㅋㅋ,hoki****,2020.01.22 10:16
10,한미일 케미가 상당히 잘 어울렸습니다. ㅋㅋㅋ,Crona(ekfa****),2020.01.22 11:36
10,뻥안치고 진짜 재밌었음ㅋㅋㅌㅋ신박하고 신선해씀,블루포레스트(shin****),2020.01.22 17:18
10,진짜 되게 기대했던 것보다 완전 재밌었음ㅋㅋㅋㅋ둘 쿵짝이 너무 잘맞던데ㅋㅋㅋ,시무룩(simu****),2020.01.22 17:18
10,윌스미스 톰홀랜드 캐미가 애니에서도 통했다,Siwana(cine****),2020.01.22 17:17
8,재미있으려고 보는 영화라면 굳감동찾으려고 보는영화라면 글쌔?오락영화로서는 10점만점이 8점 드립니다 !!!,손오공(khjk****),2020.01.22 10:50
10,애니메이션인줄 알고 갔다가 잘만든 실사영화한편 보고 나옴,actorDH(gosu****),2020.01.22 13:32
10,생각보다 너무 재밌어서 시간가는줄 몰랐던것 같아요,희홍설(pass****),2020.01.22 13:21
10,이거 보면 비둘기가 다르게 보임 ㅋㅋ,꾸꾸까까(jrth****),2020.01.22 18:58
10,월터의 가치관을 통해 성장하는 랜스,과다행복증(wkqe****),2020.01.22 18:04
10,아이들이 재밌대요 우리말 보고 왔어요,응가공쥬(min5****),2020.01.22 16:00
10,한국어 한국드라마 트와이스 까지 ㅋㅋㅋㅋ 헐리웃 영화 아니고 진심 그냥 한국 로컬 영화인줄!,그대의 사랑(bim1****),2020.01.22 15:16
9,해외여행하며 미리봤는데 재미있었어요!,윤지(cyj0****),2020.01.22 09:44
10,이 영화 한국 헌정 영화입니까?ㅋㅋㅋ 한국인이 보면 좋아할 수 밖에 없는 핵폭탄급 유머 장면 가득!,여보세요오(glf1****),2020.01.22 17:13
10,매력이 엄청난 영화 ㅋㅋ,동키호테(zdte****),2020.01.22 17:13
10,트와이스 노래 나올줄은 몰랐다~영화 재밌었어요!,별종(dkfn****),2020.01.22 18:06
10,솔직히 겨울왕국보다 재밌게 봤음ㅋㅋㅋㅋ 디즈니 영화인 것만으로도 1월 흥행 복병 다크호스 예상,박지리(gspu****),2020.01.22 19:13
10,신선한 첩보 액션 애니메이션?ㅎㅎ,이진하(bt4q****),2020.01.22 13:49
10,스토리도 억지스럽지 않고 액션 또한 최고.. 애니를 이렇게나 재밌게 보다니...,베스킨라빈스31(raqs****),2020.01.22 13:18
10,애니가 아니고 .감독이 스파이 영화 를만들어버림 . 진심 영상미 기술에 찬사를...대단하다..,테란(dark****),2020.01.22 15:10
10,윌스미스랑 톰홀랜드 애니화 ㅋㅋ월터의 선한 마음 덕분에 따뜻한 웃음을 지을 수 있었다,신현지(word****),2020.01.22 14:30
10,설날 아이들과 함께 보기 좋은 가족 영화! 강추!!,박 지영(tudu****),2020.01.22 13:19
10,시사회로 먼저 봤는데 개재밌음 ㅋㅋ,벚꽃의계절(twic****),2020.01.22 15:12
10,애니가 이렇게 재밌는줄 몰랐당.,s10ozulwk(4iut****),2020.01.22 14:25
