star_score,score_reple,writer_id,write_date
8,감독 사진을 왜 저런걸썼지. 딜러냐.중고차알아볼뻔,9팀이승환FC(lees****),2019.10.21 10:17
9,이승환 댓글 줜나 웃기네 ㅋㅋㅋㅋ,파이파이파이(ehfk****),2019.11.10 17:36
10,영화 재밌으면 추천 재미없으면 비추천,문덕현(mdh0****),2020.01.22 09:15
10,시간순삭당함 ㅋㅋㅋ 탐정부터 권상우 코믹연기 물오른듯 ㅋㅋㅋ 가족들 데리고가서 또 보고싶다,센스브이(sens****),2020.01.22 10:18
10,ㅋㅋㅋ 재밌다 입소문날지도,현대인(urci****),2020.01.22 09:27
10,히트맨이 재밌으면 공감 미스터주가 재밌으면 비공 눌러주세요,dofl****,2020.01.22 12:11
10,설정부터 너무 웃긴뎈ㅋㅋ 영화 진짜 재미있어요 유쾌함,임림(lhj0****),2020.01.22 10:14
10,라스 때문에 봤는데 영화도 너무 웃겨욬ㅋㅋㅋ권상우 너무 짠내남ㅠ,별명(fine****),2020.01.22 10:27
10,와 진짜 기대 1도 안 하고 봤는데 엄청 웃고 나왔음 2시간 순삭 설에 가족들이랑 한번 더 볼꺼임ㅋ,얏홍(shah****),2020.01.22 11:46
10,너무 재미있어욬ㅋㅋㅋ아침에 좀 졸릴 때 봤는데 잠 다 깨는 코미디였음. 주말에 가족들 보라고 예매해줄거임..ㅎㅎ,minmin(ssg8****),2020.01.22 10:13
10,명절엔 역시 가족과 함께 코미디,wjdw****,2020.01.22 10:21
10,발라버려에서 뒤집어졌음 ㅋㅋㅋ 간만에 제대로 웃고 나옴,쥬니(vlwk****),2020.01.22 10:21
10,ㅋㅋㅋㅋ진짜계속웃다가나옴ㅋㅋㅋㅋ배우들 티키타카무엇ㅋㅋㅋㅋ꼭영화관에서봐야됨ㅋㅋㅋㅋ,미셸(jihy****),2020.01.22 10:21
10,웃음타율 매우 높음ㅋㅋㅋ관객들 다 빵빵 터지는 영화!! 설날에 보러가세요=3,스(zoof****),2020.01.22 11:44
10,배우들 케미가 좋네여 극한직업 엑시트부터 히트맨까지 최근 한국 코미디 영화들 모두 빵빵 터져줘서 내 배꼽 맨날 호강함 ㅋㅋㅋ,조승상(tfc6****),2020.01.22 10:21
10,누구나 쉽게 볼 수 있는 코미디!,동글(ocar****),2020.01.22 09:40
